Mphi g si norm mntot
7.458284440421174277e-02 1.323538070466710910e-02 2.601908719321027519e+00 7.201796820973991764e+00 1.090811445412941949e-01
6.241994381554383686e+00 6.917351658499816536e-02 2.312643358920193126e+00 7.813364137397202924e+00 7.961659609721449815e-02
3.822800184150289660e+00 2.013328464021909431e-03 2.447634540733497399e+00 7.674291377340674458e+00 1.006644744486710208e-01
4.305742783536015139e+00 2.765394067857371990e-02 2.396703333929928181e+00 8.708311836495111535e+00 9.478987310392450460e-02
4.297063441918052895e+00 7.043339027794449925e-03 2.430127032042897373e+00 7.103774242016132057e+00 9.800047264772650257e-02
4.946088555657095043e+00 7.666337563001029975e-02 2.152200790213913528e+00 8.108662175629575586e+00 6.042660375656214861e-02
2.774999250627823955e+01 5.333919387737044993e-01 2.031061217607051717e+00 7.746385931961213167e+00 1.469822017979722784e-01
5.222154312016842326e+00 5.378541308255886666e-02 2.455946859637803570e+00 7.368113167809107189e+00 7.381633103494540660e-02
6.062494941036200125e+00 1.198362993907393370e-01 2.065954928673249924e+00 7.430754574415924019e+00 6.507697191828606953e-02
5.308737404116755876e+00 5.869534147673791113e-02 2.320074587754763051e+00 7.546883000454689849e+00 6.553565775424713413e-02
6.586746811550374225e+00 7.101598677065511234e-02 2.290559404646471453e+00 8.078266963067687101e+00 7.081620005289585018e-02
2.582588031388453587e+01 4.712622552925944119e-01 2.237799237293776944e+00 8.406615137076720146e+00 8.499992953689987363e-02
5.949834064915410226e-01 3.455768139072885881e-02 3.103731051888543035e+00 1.927371458587113295e+01 1.072335458969399247e-01
3.867620296452282780e+00 1.319009368781539271e-03 2.411776701536484602e+00 8.052172434257453659e+00 9.070775376055748018e-02
7.358109809013544833e+00 9.858399746156755461e-02 2.341272828971198372e+00 8.064763510108765132e+00 6.830279227707072853e-02
2.055146737446813887e+01 4.588365706427082191e-01 2.051310682808095365e+00 7.528675410243864441e+00 1.063414164445847521e-01
6.514784739072911002e+00 1.067739875546661332e-01 2.081381263581281615e+00 7.848254435813410979e+00 8.536709064128863989e-02
5.975607153275650063e+00 9.940851401040097512e-02 2.042345732534215585e+00 6.875674967523979220e+00 6.523137758737269920e-02
5.816990362021855709e+00 8.391746045684748967e-02 2.226686797462547940e+00 8.314732723138302362e+00 7.778143214966734553e-02
5.088450068454543285e+00 3.803473087492072885e-02 2.348425806563327889e+00 6.949309422784823553e+00 9.488765693327122497e-02
5.864041567002402644e+00 6.549007190452001137e-02 2.213626393756657151e+00 7.976403557236889874e+00 1.283527509756845486e-01
5.928950439871145228e+00 5.071705999109703267e-02 2.395693433138893269e+00 7.696462553768222747e+00 8.310301003611089699e-02
6.053207326771750552e+00 8.247064903191404783e-02 2.162842139665886787e+00 9.004829830267294000e+00 1.456641529584647432e-01
5.627682404539051664e-01 1.725969982134482883e-02 2.669896582328289192e+00 6.960259833022398368e+00 1.016340752133663566e-01
5.839129236279170243e+00 8.260441240668671414e-02 2.293367567206872515e+00 7.550005887059954901e+00 6.461846638913028296e-02
5.512380593916935467e+00 6.672033968809484850e-02 2.131700486336181921e+00 6.593637412719735913e+00 1.356616470475485170e-01
4.032121632744960493e+01 7.861333470277460655e-01 2.060087083760476556e+00 6.748495951066220577e+00 1.329490745182790312e-01
2.571218764949236757e+01 3.937045295849820326e-01 2.333919537312199477e+00 9.019314231528751336e+00 1.244669667113424416e-01
6.020965883920641470e-01 3.613918268720999610e-02 2.985242410516856459e+00 1.880238661427008751e+01 1.357604214778094232e-01
5.411516132488780606e+00 6.216092240554234316e-02 2.296912740269288822e+00 7.186295983200184700e+00 7.588544173222996903e-02
5.792637457939302514e+00 1.066444067895798292e-01 2.087889324232059529e+00 7.529131533080613892e+00 6.417259524568330598e-02
2.632645004343284967e+01 1.114538879092447370e-04 2.513032723179821737e+00 7.179672804351055149e+00 6.376864670201499996e-02
4.208770812464538835e+01 8.582224943499288106e-01 2.064416143859251651e+00 8.211671305829312928e+00 1.009936348495878433e-01
4.640528184259363087e+00 1.554936045061748595e-02 2.537513585474336253e+00 6.084115398183945089e+00 1.058429701708114845e-01
6.029741404155875450e+00 5.488425936038595493e-02 2.337739387781954115e+00 7.124937638015651942e+00 8.144124270139370403e-02
6.511906392102026153e+00 8.554270154203814924e-02 2.305287009535847975e+00 7.001799552873401389e+00 6.587104640797496191e-02
3.887011278678387943e-02 2.561742913388817544e-02 3.073290485663261684e+00 1.939690039302039537e+01 9.756433868234332119e-02
6.654416387836927793e-01 2.942332333806328692e-02 2.919858352930996936e+00 1.350066863290454222e+01 1.347689628174549847e-01
5.469704595165205241e+00 4.576111467280399858e-02 2.443350978432221599e+00 6.994310128833070905e+00 1.346692700699944067e-01
5.499421674604874077e-01 2.439455235541405226e-02 3.002565520846209868e+00 1.108913277416896115e+01 8.835548539441646920e-02
5.617600494592690730e+00 1.089887848739372195e-01 2.044038234619489192e+00 8.185228917282662664e+00 6.051314971926796682e-02
2.964386923503304350e-01 2.030390063831258307e-02 2.926148561119005009e+00 1.276637188274776413e+01 6.459389241919866187e-02
1.034414562836187379e+00 2.621722795471357888e-04 2.535104505816188514e+00 7.681253179364590622e+00 1.414702465266286513e-01
4.490616819149786387e-01 2.308698884764754169e-02 2.838737337232871916e+00 1.047868048047032019e+01 9.195438148942397527e-02
5.370204648897611399e+00 5.551959603284871425e-02 2.136465721697094811e+00 8.115055525230921774e+00 7.128653712128785180e-02
4.022040372948481490e+00 1.590653740776681998e-03 2.572654788653390590e+00 5.488191576150855511e+00 8.696063073973839264e-02
5.174086541717313636e+00 2.543910008096612191e-02 2.441494614705299160e+00 6.470233623522361199e+00 1.251652629629789737e-01
6.199615055171879829e-01 2.928888483841315254e-02 3.069770195913318567e+00 1.517339672943524498e+01 9.532185232802134478e-02
4.405306220365818604e+01 9.004239314950686079e-01 2.232709687908152052e+00 8.860209424754607710e+00 7.275140223008413898e-02
6.666667900137604796e+00 6.323446406728776281e-02 2.346288476644298182e+00 7.614706438926518217e+00 1.288576626079503407e-01
5.270672742066728311e+00 1.562548710400287399e-03 2.417996986241184754e+00 7.739269869990216044e+00 1.444709156525372795e-01
5.633129225763053860e+00 4.157438729223701668e-02 2.390361216721927029e+00 6.579541218142039405e+00 1.052045707652557172e-01
6.062617655886830548e+00 6.947700686666562209e-02 2.469294862786461930e+00 7.108309090928623952e+00 6.675853566604111888e-02
5.660467421856318904e-01 1.322597578041172575e-02 2.512593019560278584e+00 8.822808382666810445e+00 8.500097631025316236e-02
5.647063287252363395e+00 9.278311440486347941e-03 2.363586380898744288e+00 8.136686416467856731e+00 1.260769010774824284e-01
5.845539762926998256e-02 2.134431279537953377e-02 2.887837578912272107e+00 1.031435905478263493e+01 1.454020454433911924e-01
5.862401280586491126e+00 9.798332269746112821e-02 2.074305242951804296e+00 7.660394765746064039e+00 6.832723287045411320e-02
5.471942528081353174e+00 8.080485196279242610e-02 2.239345713001194671e+00 7.726853126685469419e+00 8.431891569423290156e-02
5.157551208398252207e+00 4.802812368272505600e-02 2.417740675721828492e+00 7.965386201000203670e+00 7.471987876308729126e-02
6.879799491079241491e+00 1.076444468117610381e-01 2.288281020081772699e+00 7.416839253464365456e+00 6.003029693534819855e-02
5.314277356017649723e+00 2.075022053426277963e-02 2.472524324669864271e+00 7.244521770887881296e+00 1.211979013097285451e-01
5.165573353116862387e-01 2.769112665243066845e-02 2.843168345978712708e+00 1.869100179072560408e+01 8.445878091141140187e-02
4.921900042495718886e+00 2.439429254353013554e-02 2.382114565077356083e+00 7.833509213860698317e+00 1.311632169951865712e-01
3.027554102230819311e+01 5.737081429348516171e-01 2.160471944053446336e+00 8.408095641578213986e+00 7.667487318680983599e-02
6.338357174746589440e-01 3.059989740043627879e-02 3.092491825897274005e+00 1.274979211393340606e+01 9.717947089760009538e-02
4.858558159279154687e+00 5.337005701854535822e-02 2.421508628604563285e+00 7.573200564620595543e+00 6.571081209473327023e-02
7.075928121726613451e-01 1.143146714978678091e-02 2.663435961384351902e+00 7.479658597165551370e+00 1.188517235348283685e-01
6.492085201453791754e+00 1.016807550516107828e-01 2.116914585484916067e+00 8.657486817719725281e+00 8.782526997806119895e-02
