Mphi g si norm
5.085470794018614321e-02 1.911865934179112284e-02 2.863788715356674786e+00 9.838727994669278942e+00
4.294695123837676931e+01 1.484931369865608725e-03 2.448075945705353806e+00 8.405842446186664318e+00
3.216067201378842999e-02 2.015957717169454197e-02 2.883380533809833945e+00 9.533082387556785164e+00
6.992858543603606147e-01 3.481470305550438821e-02 3.039886715708997045e+00 1.503920868446464176e+01
6.004778556883269225e+00 6.168519625916705357e-02 2.387560615512722251e+00 7.692124706813922685e+00
6.556332468696919591e+01 9.465716339921627087e-01 2.286298217252729970e+00 6.963532070041771327e+00
3.688854113353670638e-02 2.496615238478583354e-02 3.054925405646852887e+00 1.225932063382793480e+01
2.863667333721167196e+01 4.875640619603950343e-01 2.225559737518131964e+00 8.176405101049642354e+00
4.107641005884674712e+01 6.819885714574513980e-01 2.283082133459754637e+00 8.424710746953827822e+00
5.443396179191126866e-02 2.393442219645303820e-02 2.970364119977652262e+00 1.251128361344582451e+01
1.035875069815801186e-01 2.686031131292081903e-02 2.947677679425062536e+00 1.320649930144282180e+01
6.257573065734348461e+01 9.076088100298499439e-01 2.290189913058116478e+00 8.328200052015013455e+00
6.009064768421079172e+00 6.532644483450558703e-02 2.180810294775163971e+00 7.280449471243335857e+00
6.388209230026231644e+00 7.551647482638701447e-02 2.344562963134062095e+00 7.920824638657709471e+00
6.906918023620638447e-01 3.428325203311114594e-02 2.968494332029193217e+00 1.504583566147986318e+01
6.989190235083105662e+00 7.749246499862330606e-02 2.240149559217821995e+00 8.641091797921829354e+00
5.289310862272927238e+00 3.787426655815892551e-02 2.330902686136522295e+00 8.300359334204568285e+00
3.409656232534278786e+01 6.223601761547453703e-01 2.125386501308181852e+00 7.684861262701659257e+00
2.486317007688242653e-01 2.368711016092262325e-02 2.747155472141911137e+00 1.076819893783762971e+01
4.650102064112036915e-02 2.077315089337626944e-02 2.786874461301668049e+00 1.182015655823591693e+01
7.734224160624536992e+00 6.614197886977761509e-02 2.350075663989914521e+00 7.193145886183200943e+00
5.507777357236689042e+00 1.421680556762700432e-03 2.365983439687235013e+00 7.765161390257698137e+00
7.331718482921219859e+00 5.859549691802704019e-02 2.402535650317902061e+00 8.153215764774568441e+00
7.152750958737851938e+00 1.050569420557195266e-01 2.090120767250277289e+00 9.066941204964861001e+00
3.300355469101448591e+01 6.604022206315931509e-01 2.021853094548792029e+00 8.019755612370630615e+00
7.591923093397389799e+00 3.986339809503194886e-02 2.339321413659916526e+00 8.074011958979385284e+00
6.420470983103983897e+00 7.678312808709503168e-02 2.291778221492571710e+00 8.077821357180710038e+00
5.762965040268702488e+00 5.084466689288762165e-02 2.395636561131489817e+00 7.227459580051166732e+00
6.769063556432835860e+00 7.752728221503911443e-02 2.210745814224907679e+00 8.684302013274676213e+00
4.237012769235656862e+01 6.630510759590527714e-01 2.275368087084693069e+00 8.143089814382975078e+00
