weight logl norm alpha beta
5.208954559231168071e-110 -2.596398130612101909e+02 9.175320727707787505e-01 8.904868400054755107e-02 2.840570481354348642e-01
9.355293403864336966e-110 -2.590517499138693438e+02 9.699955768312674698e-01 7.719240475803822443e-01 3.397405455057899148e-01
1.762860471005930776e-106 -2.515079141070990545e+02 8.049689363293114353e-01 7.768713475957066406e-01 2.695369942245420258e-01
2.224742638072354187e-104 -2.466675404378139262e+02 5.805150288693197158e-01 1.862260875124210902e-02 2.238147675421927607e-01
1.450523818144562840e-103 -2.447901718403770985e+02 9.987509372611818037e-01 7.828936718954920826e-01 3.930499549058821263e-01
7.925136469328700639e-103 -2.430895570457462611e+02 8.180907701314635849e-01 8.283490904079471306e-02 3.080139194275125503e-01
3.852402950327379258e-96 -2.276903038379619204e+02 7.232110572647422186e-01 6.129322996398633983e-02 3.777852686711429264e-01
8.845737688730655633e-96 -2.268565652085950717e+02 8.129376241714608708e-01 8.445137311655472878e-01 4.349644641425878255e-01
6.224671857240094033e-95 -2.249028951142485369e+02 9.485069295288901525e-01 1.756354214165130045e-01 2.212903895870235171e-01
9.114205090464811564e-95 -2.245190816461309851e+02 9.169285790738331832e-01 2.254889412105631763e-01 8.387249959594833548e-03
1.755376175968320206e-93 -2.215585624762951795e+02 4.950249021013934936e-01 7.308380857860303781e-01 2.502215144215913512e-02
2.334871116194271817e-93 -2.212707889624186350e+02 6.882289106364037901e-01 7.905681805944875240e-02 3.115293025909851021e-01
6.228322123520820789e-93 -2.202871386810670629e+02 9.559779175050834299e-01 8.567415578942763066e-01 5.551861402686482094e-01
1.095375040944651518e-92 -2.197200637547579447e+02 3.811238701529167106e-01 1.869140242580324962e-02 4.739118370085648735e-02
1.821946851464675051e-91 -2.169061698415615638e+02 8.600152444386269801e-01 6.378039702916508125e-01 9.774763456810042772e-02
3.500564801599205681e-91 -2.162506511421755420e+02 6.247526574305231062e-01 5.809341008896806713e-02 3.421968472057037580e-01
6.448895534237536372e-91 -2.156371665883939954e+02 2.012833733899488386e-03 3.730533685222923168e-01 2.663078264036136122e-01
9.188181053992776749e-91 -2.152806574794200287e+02 3.875784271965665440e-03 8.454010942432257369e-01 9.839214337977294500e-01
9.723441467877218495e-91 -2.152215358532484402e+02 9.163769766115671400e-01 9.972274746676923485e-02 5.248204722573085457e-01
2.079493044231531475e-90 -2.144588662412715792e+02 8.649099896696478273e-01 1.268338363429668547e-01 3.741628887290222583e-01
2.208513362727909141e-89 -2.120935856809231552e+02 8.929254478954706808e-01 2.388916757187995454e-01 1.938583779429237097e-02
1.193127393361701210e-88 -2.104042422690987735e+02 6.235192312108228663e-03 6.365281194727788749e-01 7.168940015017108980e-01
1.355316709127917436e-88 -2.102742850298612609e+02 9.205773515197226420e-01 2.217437081911515229e-01 1.245107541416099473e-01
6.976261149438063462e-88 -2.086333070692366505e+02 9.637209505368943274e-01 9.680755806262053564e-02 6.511497054908368387e-01
1.707779708674301054e-87 -2.077355409866989362e+02 8.217786621789843204e-01 8.702043199496624082e-01 5.213473026024203483e-01
3.039194970515402749e-87 -2.071566424295424724e+02 6.526259048957636644e-01 1.054472741556318205e-01 2.588625819341411338e-01
3.575197604516273852e-87 -2.069917146489521826e+02 9.407440796253146997e-01 6.676370528771901069e-01 2.032318091193184850e-01
5.064913849848723963e-87 -2.066408979689195462e+02 7.100105721674730974e-01 2.146685359924782599e-02 6.656140830196209945e-01
2.343231422574683194e-86 -2.051066190780135514e+02 7.478153869636744444e-01 7.440465291019182636e-01 2.282341976841922859e-01
2.551282419793604875e-85 -2.027164687690964797e+02 8.560286519029863816e-01 4.090924700394360514e-02 8.221715744016658833e-01
4.101689802737757820e-85 -2.022391658757628647e+02 7.559919464114354115e-01 1.605407783472893035e-01 2.096053171787519709e-01
6.703086703219707875e-84 -1.994429116962996034e+02 7.452011331413196382e-01 9.505505853798150717e-01 6.565543401201940910e-01
2.767252354707747354e-83 -1.980225398273819621e+02 6.510729209725968358e-01 9.489205616432697665e-01 5.828872926543433586e-01
3.102165196036052271e-83 -1.979057944075625812e+02 7.505667328136400585e-03 9.573622240152560581e-01 8.474840460382954133e-01
5.497133087444417571e-82 -1.950285829330823617e+02 4.915911475359080463e-03 9.925037405357397535e-01 4.867013547140441876e-01
8.267576520982876858e-82 -1.946179682111224736e+02 1.239737871942525604e-02 4.305418177785345080e-01 5.564466230809758107e-01
3.226821338126149111e-81 -1.932537269927557020e+02 8.976177988016975640e-03 4.893613804927300359e-01 1.185132721329537064e-01
3.932711274670798990e-81 -1.930533954598079163e+02 8.595434926054881242e-01 1.242215239419667272e-01 5.293720628468915335e-01
4.017319120742165328e-80 -1.907270246518264116e+02 6.954647799288915522e-01 1.028128668176344629e-01 4.290829465123234820e-01
7.382651063070161660e-80 -1.901160066498572405e+02 7.084178526198567916e-01 9.081442268889294844e-03 8.695343544632395671e-01
1.143490700085529707e-79 -1.896759687520116131e+02 9.795944141498672542e-01 1.136641818910693047e-01 7.646580124757292873e-01
2.006447752216799291e-79 -1.891111884824869946e+02 6.005835825857258614e-01 6.026322064174349791e-02 4.798665172841455329e-01
1.389669769032390342e-78 -1.871734031179335602e+02 1.059629909042214546e-02 1.701189321933334053e-01 2.654028246308959282e-02
5.602961781060699446e-78 -1.857766739132112832e+02 1.434688264302674821e-02 3.959737952059128041e-02 7.432531280891678804e-01
6.601569956150190818e-78 -1.856101617677254865e+02 1.707808674837496543e-02 5.591139813883783116e-02 9.688212807421476835e-01
1.124348440862119988e-77 -1.850751804634224982e+02 9.837990146263433378e-01 2.937426136702705470e-01 1.376314261246279758e-01
1.124253091953232081e-76 -1.827701801777253934e+02 2.826709959944059269e-01 3.887065837629544163e-02 4.911930505136119507e-02
4.902106114166502925e-75 -1.789925490496441967e+02 2.262923448304965390e-02 1.453698681896117284e-01 9.711299527274337429e-01
2.068292589275149113e-74 -1.775504054578247235e+02 6.944217147870108686e-01 1.773564881149921613e-01 2.403035081539389717e-01
2.211136271224413998e-74 -1.774811223553633681e+02 4.363518686149737702e-01 1.037829090695902012e-01 1.494931669452441714e-01
5.161080889145059583e-74 -1.766309828564413351e+02 6.301159187060496603e-01 6.070518749371667244e-02 6.358234027093822016e-01
1.202829198201711706e-73 -1.757823673486142866e+02 9.708097338277916766e-01 4.722892984627816704e-01 3.377066395045769109e-02
1.037368536052076639e-72 -1.736252714497954059e+02 3.941171080403998994e-01 2.298544164329408002e-02 4.165039520773996529e-01
1.211522209469351552e-72 -1.734675811093366065e+02 8.268081132177969028e-01 1.048440120102043238e-01 7.627714955405195951e-01
6.152575171233472952e-72 -1.718400879814439293e+02 8.037374738270663954e-01 2.610479349865530985e-01 1.117988107303411471e-01
8.665553039618172229e-72 -1.714951029569820378e+02 1.303111482392457221e-01 9.711733555881780777e-01 8.899509645538516978e-02
1.371301460858569212e-71 -1.710336133493240993e+02 2.097820752139734068e-02 4.458450058404794802e-02 5.075307631410267417e-01
1.399489496333948890e-71 -1.710107660850102889e+02 2.181693766053904859e-02 2.352344628370931501e-01 4.416009925788935142e-01
2.464495530909661442e-71 -1.704423864758809941e+02 7.716322103475078409e-01 7.962678803209499723e-02 8.329631784348323631e-01
6.206482393997363156e-71 -1.695162793163904666e+02 7.831376004374858146e-01 9.114446927045427582e-01 6.534052034385924301e-01
5.052506029882594505e-70 -1.674169041529221147e+02 8.687115367916131703e-01 7.019486615253789363e-01 2.823473303348579266e-01
7.694509657891147970e-70 -1.669937814735732786e+02 6.061504600042042501e-01 1.105807467898358709e-01 4.579516595128747536e-01
5.404006198554944844e-69 -1.650420628565401557e+02 3.265035640894076163e-02 5.098792505886048376e-01 9.776332315418767571e-01
1.156142547071421689e-68 -1.642790292574108264e+02 8.353038091130493559e-01 1.674032106500421557e-01 5.657753792445652241e-01
1.919177246047536702e-68 -1.637697217541581267e+02 9.855929316420036779e-01 7.619288543272133563e-01 4.789343204645896135e-01
2.045259891331002064e-68 -1.637035934630288807e+02 7.556751919743397439e-01 8.999155118006295639e-01 6.183590760504171779e-01
4.170781550978971745e-68 -1.629885148901278455e+02 3.324737404559241494e-02 3.047255570609098685e-01 8.219979186471350063e-01
9.105628765143876139e-68 -1.622052255627517923e+02 4.912622075922390419e-02 1.320794058041041552e-02 9.884518352864879454e-02
6.719119332041225065e-67 -1.602040761435128218e+02 7.595548942679012372e-01 7.316090256430451966e-01 2.772766294455878411e-01
7.626357134035207339e-67 -1.600749229462326753e+02 4.739113792940405911e-01 1.628470900573838476e-01 1.059433543650623033e-01
1.366094520745576170e-66 -1.594894921906565344e+02 1.235654637040343173e-01 1.015480409769364822e-02 3.289480579425374529e-02
4.391590679067320668e-66 -1.583192566417557430e+02 8.627121959892958269e-01 6.522538440975610419e-01 2.089459910481205052e-01
5.124614366160528428e-66 -1.581623928681200368e+02 9.050743167199351014e-01 7.026130618460166843e-01 3.242995133336837865e-01
7.377438340978417365e-66 -1.577955216745983478e+02 2.631092729444417522e-02 3.190545604559699155e-01 2.094852688185001588e-01
7.860221768989397229e-66 -1.577296333237589749e+02 3.917937199851181385e-01 8.576065641506226411e-01 2.244226337234730417e-01
9.459773870698399303e-66 -1.575418996656397894e+02 5.480066843195849913e-01 1.389649246598319010e-01 3.376579135645096930e-01
1.778464679844318165e-65 -1.569081125990026351e+02 2.938418066324288702e-02 6.103989479223310699e-01 5.189678339167096421e-01
5.688388587251373902e-65 -1.557429360444974122e+02 4.837989084004877816e-01 8.964066923785893870e-01 3.912347111986775872e-01
1.599336779197309067e-64 -1.547066889283883313e+02 8.429763569685219116e-01 1.328611056557669201e-01 8.457427780358407476e-01
2.120080598274614541e-64 -1.544223238526828084e+02 8.628860451061736159e-01 2.850027513169894888e-01 2.183734018405842914e-01
1.085870561265150028e-63 -1.527863108398178156e+02 4.310526756371824142e-02 3.411240495160661190e-01 9.254524102847984102e-01
2.058214266838310427e-63 -1.521443541196017577e+02 8.982961662407142889e-01 9.777162381339813413e-01 9.436640512587095575e-01
2.380340512876277342e-63 -1.519964493156174967e+02 3.573143779803789055e-02 1.383284620857309077e-01 4.579397226668144860e-01
5.686399874726451226e-63 -1.511231155287562444e+02 7.865656459293266511e-01 1.663137870618839331e-01 6.396266908038328314e-01
5.779704199420053547e-63 -1.511043403609002667e+02 1.109006048159071334e-01 4.413989306469223717e-02 9.977651968222200907e-03
7.410659541343999736e-63 -1.508532734234279360e+02 3.513624784581174110e-01 6.691386986837044581e-02 3.622231472461374668e-01
8.107686222745416804e-63 -1.507608803375738944e+02 5.924920568194839143e-01 6.440849822719565410e-01 2.488717569647547201e-02
2.608545301750609261e-62 -1.495898150624069274e+02 6.778588791956635662e-01 8.659128460089111634e-01 5.094422445367691177e-01
5.999566418170996323e-62 -1.487544205697312805e+02 8.855049948448860953e-01 4.041398718891916486e-01 4.664069835299422540e-02
6.446691976399129366e-62 -1.486800406453422170e+02 2.215620049719159157e-01 9.295096232417432436e-02 2.003477633372063860e-02
8.087093318868094534e-62 -1.484508383992950371e+02 8.299649641018621571e-01 2.460644722928110317e-01 3.538156281568695105e-01
1.065601730554152033e-61 -1.481724830348947819e+02 6.397648182769344327e-02 1.000861450544490161e-01 1.106844392094241680e-02
1.169221003155958780e-61 -1.480771849619241607e+02 7.737625232994517210e-01 8.405352182860815757e-01 5.334054651393346225e-01
2.276729650162379758e-61 -1.474082826303982472e+02 9.648885351992765314e-01 1.576130816775482835e-01 9.705927817606156971e-01
2.773683202795121997e-61 -1.472083465666538018e+02 6.543764602474833048e-02 8.736073228846885641e-02 6.582831280966927601e-02
3.089434891669948415e-61 -1.470980344884861495e+02 3.896879299522959528e-02 7.047259793132357730e-01 9.162371176294490382e-01
3.481101745176876271e-61 -1.469761738425930844e+02 7.790023718863924307e-01 2.017078098443791934e-01 4.945047227336065720e-01
1.350802201260302755e-60 -1.456177389475964787e+02 9.609952331913935719e-01 1.759096117951052252e-01 8.958334173597145567e-01
1.463103206536244471e-60 -1.455353779227180553e+02 9.263906064847359234e-01 1.982228534326242464e-01 7.431940491378322688e-01
1.925827678581269142e-60 -1.452580817484903832e+02 7.093078008428524983e-01 8.872617737714113550e-01 5.924390662219595205e-01
8.674616244468586072e-60 -1.437505364988163592e+02 6.109867075728643293e-01 8.675899840721978951e-02 8.375569771935023056e-01
1.325594257273656363e-59 -1.433239916387784092e+02 1.366039601103437029e-01 5.508950471219131728e-02 1.203735878330731701e-01
1.680920349705072845e-59 -1.430840110231098663e+02 6.820271774058098702e-01 1.580914635286069236e-01 6.055285595319178649e-01
9.641245395700669592e-59 -1.413348022030244238e+02 1.548430475782560656e-01 8.957801131405340733e-02 9.644792983370953365e-03
1.204599394767954727e-58 -1.411096203415405341e+02 2.896489288843077103e-01 8.316828949849353059e-02 2.838353763102570149e-01
1.703044855161816270e-58 -1.407608496604912887e+02 5.586158334544940596e-01 2.180394485255575665e-01 1.740797437407377579e-01
2.341030530723150224e-58 -1.404401761705659339e+02 5.576938201021686137e-02 4.062277650755274916e-02 4.294869072778592090e-01
3.988667444919001781e-58 -1.399048101993182058e+02 9.318896597977813778e-01 8.545089735358943894e-01 7.060209231839092991e-01
6.106192944259479834e-58 -1.394764639077950221e+02 8.680542609099640705e-01 7.098994064925130409e-01 3.526301552365010972e-01
6.275940337087323387e-58 -1.394465440724271446e+02 2.704922768786856002e-01 5.357181205657901568e-02 3.704657764517630403e-01
1.322946810091271960e-57 -1.386983206274278189e+02 4.434876424424668562e-01 6.980757840484297372e-02 6.621290551147674952e-01
1.008693538817316537e-56 -1.366644412471428325e+02 9.102879846748102022e-02 1.177560808241571166e-01 2.805830895998651098e-02
1.094225776605813010e-56 -1.365805501548854011e+02 6.248558616719244174e-01 1.187776189392848458e-01 7.908205190159538489e-01
3.597312361689790956e-56 -1.353879102143002910e+02 5.032041298151268549e-01 1.118169268847546416e-01 6.129442894601995206e-01
6.590584682944871430e-56 -1.347799551474135740e+02 1.214668905448423875e-01 1.084570173991775688e-01 2.940824306029166113e-02
8.734844965738090367e-56 -1.344957770199448248e+02 7.112882488194682828e-02 3.101996070246781922e-02 4.547005327493186533e-01
1.521430291431934248e-55 -1.339383612481335888e+02 7.606804862098157649e-01 2.956078182591063142e-01 2.065546564049510758e-01
1.940283633179856582e-55 -1.336926779566930179e+02 4.444376337271747079e-01 7.635855557974280394e-02 6.989261244327046319e-01
3.103868035005001665e-54 -1.309177779418362775e+02 3.153221917590800505e-01 8.658763245466322145e-01 1.934729627742090008e-01
3.193538465822875974e-54 -1.308867974897745512e+02 7.134780874840807030e-02 6.416963736652114836e-02 6.667974682339432579e-01
3.809676500810911679e-54 -1.307078827511475652e+02 5.622606854780298757e-02 4.951677697810995538e-01 7.523887372000328533e-01
4.454470759827187762e-54 -1.305490187717880417e+02 4.835593042937990083e-01 7.511821024578978490e-01 1.483524170301687706e-01
5.896096253246816123e-54 -1.302661365488263243e+02 5.857106501674810284e-01 7.471323830819048828e-01 2.270440403227496073e-01
7.568325901724246823e-54 -1.300139551348110274e+02 7.632846282118453951e-01 8.424964091477983308e-01 5.731625762591433526e-01
1.071333769569883743e-53 -1.296639375499261746e+02 8.121127064115779559e-01 1.966107412276515420e-01 7.783740865708429491e-01
1.776561896163936608e-53 -1.291556619582569851e+02 8.450447787095605179e-02 1.242154044944765445e-02 9.231152652080615306e-01
4.452527590906620103e-53 -1.282343700028787055e+02 5.579872840341204565e-02 5.184767579522990832e-01 6.850309175059495770e-01
6.834671767714038907e-53 -1.278033334890211279e+02 3.926135217664604715e-01 1.701679205560493457e-01 2.307337282976335002e-01
1.168985378430583350e-52 -1.272641206681161208e+02 6.902239530813550905e-01 7.810362660171547011e-01 3.858771752963756629e-01
1.719872134070392626e-52 -1.268755068953643672e+02 2.611375992075526398e-02 8.438978942258800187e-01 8.134982118700895271e-02
3.230546265559156240e-52 -1.262426055973704706e+02 9.431753612091915429e-01 6.539619341038399591e-01 3.409775649315219814e-01
4.172091315890334102e-52 -1.259843394180732759e+02 2.496609083611268654e-01 1.587508053557388221e-01 5.660334385506726740e-02
1.299284697235135076e-51 -1.248458578696377543e+02 7.540359208414196823e-01 2.066080688974823998e-01 6.982736969255673998e-01
1.675244794110787751e-51 -1.245892124494389464e+02 7.911519690558033169e-01 6.379628359409307281e-01 2.054173078672695274e-01
1.722859112284632060e-51 -1.245586865644153391e+02 7.944734759862914775e-02 1.266904840346755323e-01 7.778419856548814959e-01
2.367103653861018967e-51 -1.242385046289641934e+02 6.674867920937233023e-01 7.491514014786595510e-01 3.095144422215535540e-01
6.780852644582138399e-51 -1.231835688969422762e+02 4.221705998402448534e-01 4.929380952557316231e-02 9.482558528889568628e-01
1.418577432148093358e-50 -1.224429320956601117e+02 2.221719696440922487e-01 1.391891857606686322e-03 7.693066933155645604e-01
3.884059739370271583e-50 -1.214332057255823685e+02 7.979842603712410387e-01 5.770818323353547052e-01 1.304177540946989122e-01
5.782407189779885397e-50 -1.210327665919762268e+02 6.834500712406299527e-02 5.614040047051572779e-01 9.471345823132958364e-01
6.539689825974316408e-50 -1.209071969196581335e+02 7.357498282108005938e-01 6.693607888089937452e-01 2.233904469970903195e-01
7.366689099327050633e-50 -1.207856182917729910e+02 7.447849903101488866e-02 4.810236249857818835e-01 9.913612152090802709e-01
7.866156159321828522e-50 -1.207175171305252519e+02 8.317543692664677302e-01 7.898838871545903473e-01 5.373167750008919219e-01
7.936615877840184075e-50 -1.207060996842354399e+02 7.337609349278073623e-02 2.105754817396240375e-01 5.473814802716945316e-01
1.194452645699236374e-49 -1.202948135204067626e+02 3.925968042877302500e-01 1.068080590802111818e-01 6.243036467708987791e-01
4.975363436647578182e-49 -1.188655031432526243e+02 1.025317960140412765e-01 8.004903730123169581e-02 9.150352007207390725e-01
5.424842337927632286e-49 -1.187765127269163941e+02 1.130594530842431444e-01 5.108839161659073369e-02 6.949885331445352366e-01
1.292310745963669628e-48 -1.179059845789004299e+02 4.388641783165273536e-01 2.292412996698873773e-01 1.466522073232712220e-01
1.753802974599245603e-48 -1.175981299123436372e+02 7.348416612107327994e-01 6.290717889476451496e-01 1.641092960221570696e-01
2.209899121620424081e-48 -1.173644696026311607e+02 1.710845204009896481e-01 1.713160747424276042e-01 2.817161685217139944e-02
2.616506381621023272e-48 -1.171930764849748385e+02 5.750617107813021933e-01 2.567678164528450768e-01 2.367900366228723463e-01
3.190870502051568074e-48 -1.169921227065672298e+02 7.866642869077389300e-02 4.359093630372841144e-01 8.988562680147722528e-01
5.300607062294864848e-48 -1.164820951167388898e+02 1.553634110341957086e-01 3.123492879124967203e-02 7.126926375173153749e-01
5.363527757638393752e-48 -1.164677945484669266e+02 3.860494853149128991e-01 8.491547074805871897e-02 7.976287420109307025e-01
5.556496471236751343e-48 -1.164299486922194404e+02 4.439845964089083052e-01 7.301584729552756947e-02 9.921972778733514353e-01
1.312213714634867600e-47 -1.155681158082907700e+02 1.027177900823109669e-01 1.234517536330171916e-01 3.719256027387942698e-01
1.382493441095133688e-47 -1.155134426676312245e+02 2.644422523945473280e-01 8.285884959202495237e-01 9.051289329027800701e-02
1.918569184247085124e-47 -1.151832516861095144e+02 8.106300591648351039e-01 9.632280110583117949e-01 9.620800076571995874e-01
2.527303090856878725e-47 -1.149051786156054646e+02 1.580076245932854340e-01 1.304450042399363241e-02 9.143402409977617884e-01
2.947467963123436480e-47 -1.147488848935983583e+02 6.596263653807686866e-01 7.704505369725340724e-01 3.669692049815301838e-01
5.938852081660174720e-47 -1.140458155153461632e+02 6.271297973264289283e-01 6.684388032135851754e-01 1.497664166888931225e-01
7.261399954361642318e-47 -1.138422587363728979e+02 7.132368420834297451e-01 2.823702162787653513e-01 3.674013321851129499e-01
1.911356015208420197e-46 -1.128719333390395150e+02 5.392639687062161791e-02 7.198468766782071260e-01 5.584424910591794244e-01
2.164272185731555295e-46 -1.127451621527418837e+02 7.182416553109938206e-02 2.821524769012998535e-01 2.946210479448131414e-01
7.208663562824421025e-46 -1.115394627095210751e+02 2.502328688821334746e-01 4.309901930795900782e-02 8.570926328344850020e-01
7.689549015439643535e-46 -1.114723841485940028e+02 9.793251738275572382e-01 3.036389103089305319e-01 7.247060218221049732e-01
8.101436388400761677e-46 -1.114177049069470087e+02 9.853382979807209230e-01 3.025737744725789380e-01 7.391770270099848883e-01
8.312041491792748970e-46 -1.113895410392267138e+02 1.265899139125077344e-01 9.747339518250031087e-02 6.283453635833178286e-01
9.362360915019098003e-46 -1.112680487916109797e+02 8.888824363595168032e-01 4.568267773361436301e-01 1.782348233983165331e-01
1.223306750987261894e-45 -1.109981035480871867e+02 6.035176675788258560e-01 2.002726782224190094e-01 6.715870798476095693e-01
1.344793371368837039e-45 -1.109009208177944004e+02 8.570893080590846758e-01 5.366099494466280984e-01 1.680822748301766811e-01
1.601451819911914757e-45 -1.107237505865477090e+02 8.417502180410043611e-01 3.622777998220682028e-01 2.821076895212248914e-01
1.714932846789860474e-45 -1.106527872683507212e+02 8.149795141861626568e-02 3.610250669841807980e-01 6.414225889945591730e-01
2.125252664516889568e-45 -1.104357704955538964e+02 9.593381458095547876e-01 3.162938687370226987e-01 6.507748326742655021e-01
3.330447862805222371e-45 -1.099840544035274235e+02 1.080442229452025504e-01 1.941041978416345737e-01 8.789372724784254576e-01
4.872848450532783352e-45 -1.096009825282626053e+02 3.140096609880770329e-01 9.589840948723238334e-02 7.144624784773319082e-01
5.639856340133063682e-45 -1.094523025982333024e+02 3.312521289580450112e-02 9.144427946893254333e-01 1.136861056968618833e-02
6.620334202971140697e-45 -1.092895153393041170e+02 6.937070746511910802e-01 2.814245849520726761e-01 3.959597572323969583e-01
7.118694351835854219e-45 -1.092144368607542333e+02 9.294902892240708425e-01 9.202202633393746778e-01 9.896635821477438588e-01
7.470711441188286650e-45 -1.091636709574173096e+02 9.121374680070257757e-01 4.864784527276609927e-01 2.055095221862277555e-01
1.357272729051722147e-44 -1.085640987587537580e+02 5.700152079103237845e-02 4.843975390587712537e-01 1.669880009638751162e-01
1.698410674581063656e-44 -1.083373831823493418e+02 3.297146062322222626e-01 2.108382349355092389e-01 1.571411858307267817e-01
2.760286000828184741e-44 -1.078492418009682297e+02 5.958629500912000498e-01 2.016286161652078857e-01 7.013075025852925082e-01
3.343245562200557815e-44 -1.076551340384381774e+02 8.009887331763207996e-01 3.095740898221661652e-01 4.677445537270904508e-01
1.136176929011936906e-43 -1.064293219502819170e+02 1.070965595684810756e-01 1.850174372950328383e-01 3.389846486282642735e-01
2.774724064254771088e-43 -1.055339396998734713e+02 1.443206068904538952e-01 1.344197202734443986e-01 4.495537162088659722e-01
2.867169851360831190e-43 -1.054986655770908470e+02 4.379292168866920631e-01 1.608220936229400877e-01 6.709304120677135330e-01
3.343106025540555096e-43 -1.053425906832014647e+02 2.435970760583560102e-01 7.127457066720654932e-02 8.635162031186087717e-01
3.472993402056559588e-43 -1.053019741318451850e+02 7.421376796919626484e-01 7.547144051786986996e-01 4.318893967001021794e-01
4.633238096840710350e-43 -1.050112350092045688e+02 4.719595700467995592e-01 2.488178987264150210e-01 2.340576399139981945e-01
5.711314359752800725e-43 -1.047995418230479601e+02 5.888348455285548066e-01 5.803108402274839150e-01 6.320806058963013285e-03
8.876979110898495408e-43 -1.043560296969110368e+02 1.607843309921908048e-01 9.867513558970719689e-02 9.593043703324225513e-01
1.121080153778386367e-42 -1.041201132692627880e+02 1.678544374799821881e-01 9.185274457230485634e-02 9.537702479314720261e-01
1.549773347923910693e-42 -1.037937972197360637e+02 7.396049622464819784e-01 2.800230343156809854e-01 5.719105880873991410e-01
2.773048885390566852e-42 -1.032094585172882688e+02 9.745771714586488610e-01 6.262802182404184625e-01 4.031906828938168763e-01
2.876487684124259545e-42 -1.031703359170660832e+02 1.108045749582731165e-01 3.144479855930323309e-01 8.971935392604409865e-01
3.172190877745125921e-42 -1.030699834350331088e+02 2.534846669814987408e-01 8.627527580852974998e-01 1.532002774467609019e-01
3.308425435762143741e-42 -1.030254335357864193e+02 1.360838743034568088e-01 1.806913034982043920e-01 9.795764407302667287e-01
3.338150519931235973e-42 -1.030139889957567476e+02 9.876546232835925476e-01 6.114759206195942154e-01 3.952849815056304061e-01
