norm alpha beta
2.440996849608990882e+00 2.750349954872302938e+00 4.994075831797010201e-01
2.817288675484854732e+00 2.763958929420930133e+00 5.136350898578142532e-01
3.135139693996903620e+00 2.531779224261742733e+00 3.444508852366833240e-01
2.474511828110319556e+00 2.625391662975725016e+00 2.803565202918222310e-01
3.114102531036778032e+00 2.792881997344810685e+00 6.357242596781508270e-01
2.820472859546023336e+00 2.792699164026791081e+00 6.659516914959378031e-01
2.667989689267556308e+00 2.681245823118144855e+00 4.081757268227069746e-01
2.671345475907366041e+00 2.777340814134724223e+00 4.985756427120363043e-01
3.618006199698424741e+00 2.646297200123639115e+00 7.681707656721588062e-01
3.326517570258060719e+00 2.728766834866897639e+00 6.602263844363567280e-01
3.083745411862970798e+00 2.739669838913732391e+00 5.276451512638096197e-01
2.894518655410547758e+00 2.638671257748569143e+00 4.018729315877127561e-01
2.803835568016292079e+00 2.700760191903746943e+00 4.091968128545426242e-01
2.545216442683596814e+00 2.530348391783751705e+00 1.920198283065749911e-01
2.746278390018967563e+00 2.649152017145083082e+00 3.772097189014849694e-01
2.633463840194056438e+00 2.913709529198795778e+00 7.285514816749601996e-01
2.793770630877816075e+00 2.956388666756518013e+00 8.651535666682685921e-01
3.276298787711505067e+00 2.792716112471948176e+00 8.780878976664869828e-01
2.572057661035543674e+00 2.658255979760214771e+00 1.852678657629425185e-01
3.371149347429995835e+00 2.604971415501097010e+00 4.440854948289840176e-01
2.662660697375883956e+00 2.676853595521492934e+00 3.734489110461678418e-01
2.522584842242806769e+00 2.627656634315397532e+00 4.441969739028874264e-01
2.499699542733968105e+00 2.753710906469343467e+00 3.831793660452582073e-01
2.656428335551109576e+00 2.795279943575606829e+00 3.723812484342199358e-01
2.864944867889474889e+00 2.813300147754880243e+00 5.749154518434564931e-01
2.832466942420425848e+00 2.826704434319195602e+00 5.996338587026316391e-01
3.268396331479927586e+00 2.840825509723970299e+00 7.690310473317139017e-01
3.084644859165355690e+00 2.770727233760823527e+00 8.461004875478685960e-01
2.781370444743921588e+00 2.583764213316724234e+00 3.062176461735371946e-01
3.591742029726242791e+00 2.643935045110682669e+00 5.346588308464629291e-01
2.566625981521908351e+00 2.586144927244896863e+00 2.300201686316363237e-01
3.290764456304658747e+00 2.762982907162335966e+00 6.846774472394561162e-01
2.533428122306979002e+00 2.624565565309927351e+00 3.642974583783643583e-01
2.871436394356153166e+00 2.746122137990259393e+00 5.840131591984861759e-01
2.609143149173228426e+00 2.772283270099597630e+00 4.332804857006515853e-01
2.576793396186120688e+00 2.700979264804814761e+00 5.246028256548095348e-01
3.020088109016480615e+00 2.716555039860722331e+00 5.194465859937148489e-01
2.774114258527439425e+00 2.543604879050526790e+00 3.453488916624232186e-01
2.581211935908429123e+00 2.802695019756768158e+00 6.004643172105089688e-01
2.509634128541141873e+00 2.634934779638236968e+00 3.350909268789402096e-01
2.805493765621267066e+00 2.790229759609717419e+00 5.356839565441431361e-01
2.856689943408289967e+00 2.624084706002807188e+00 3.305708912172193870e-01
2.817468959562537734e+00 2.772181893872947889e+00 7.428523111683366098e-01
2.441340132562519916e+00 2.643855430842169341e+00 2.513064880744450558e-01
2.649740856266831646e+00 2.667075244430411551e+00 3.179579507688121698e-01
2.968686627074211604e+00 2.775756480843562191e+00 7.363499706966843972e-01
3.271184381440921385e+00 2.792499403167698624e+00 6.148982537641041191e-01
3.051084420670344688e+00 2.937817577771778765e+00 7.640993766955564981e-01
2.706560679607025843e+00 2.696548070268504294e+00 4.575127043181226316e-01
3.289561624631247128e+00 2.864741577909518444e+00 6.714885377852224391e-01
2.290156088033822535e+00 2.678715737481272008e+00 4.764460731393549420e-01
2.955435408607722803e+00 2.625576537932044818e+00 3.921466226485549877e-01
2.464099227370160516e+00 2.768950429662644375e+00 2.574031813665756396e-01
2.603522795554022107e+00 2.690490436907083449e+00 4.729841185924290037e-01
2.733408270774236648e+00 2.701514734356192271e+00 5.585485300221253446e-01
2.254433846000964081e+00 2.605239122945074204e+00 1.984852598451787298e-01
2.495600449473907023e+00 2.881494168989363835e+00 6.238490379829735311e-01
2.579877620562696094e+00 2.846772988383039493e+00 5.739869855311497959e-01
3.512141693428987299e+00 2.581811676831755165e+00 6.705496586812987880e-01
3.066501444893990680e+00 2.642296696686204704e+00 3.391159749649698130e-01
2.519934742752226065e+00 2.752205691603798243e+00 3.669654590360177382e-01
2.934328707981944451e+00 2.724103677389479117e+00 5.743556622063806794e-01
2.397028888563032645e+00 2.778418895032030100e+00 5.219581439643818932e-01
2.793826032611528287e+00 2.759688994723490385e+00 4.866465825934620515e-01
2.297013128776378199e+00 2.545039419123003022e+00 1.716650614197826885e-01
2.956814592822783805e+00 2.969957866517125566e+00 1.011781694373473428e+00
2.972768740108659102e+00 2.708254904069554492e+00 5.889851916962974832e-01
2.565539465826820020e+00 2.981615659404303287e+00 7.802510742461522542e-01
2.521646811210770611e+00 2.885804839802641020e+00 5.651758401117993325e-01
2.483082410645045535e+00 2.630104281884024786e+00 2.884390638047799604e-01
2.882544444965478014e+00 2.642316151724454443e+00 4.112341091193525422e-01
2.695068610588363001e+00 2.555956013850848585e+00 2.845867860516263503e-01
2.831195715030335958e+00 2.811840003978177460e+00 5.354032658156128166e-01
2.536714587835998014e+00 2.773045842365295943e+00 4.041745335742533696e-01
2.663219865994621571e+00 2.717718956077471937e+00 3.856070497116394491e-01
2.206971765572130817e+00 2.850755060497554449e+00 5.045179164614309597e-01
2.073565296011612880e+00 2.883906465066012892e+00 3.453511781973566119e-01
2.226356364432073853e+00 2.636791882350112637e+00 2.042039249349025254e-01
2.194895447163227153e+00 2.846590580784390756e+00 4.775770697889641370e-01
2.453135410890934232e+00 2.880983223589374198e+00 6.693847908471036723e-01
2.995081229081284935e+00 2.791444436911029392e+00 5.936259746594245712e-01
3.309224187974983522e+00 2.669860603356030371e+00 4.189430595685724179e-01
2.818217769482946444e+00 2.628702820389871242e+00 3.915791268187617802e-01
3.026344389687921854e+00 2.669843803053704612e+00 5.416620959312378192e-01
2.288304064868976528e+00 2.789198129359994116e+00 5.660678080790301214e-01
2.840692650736135860e+00 2.743579873389076607e+00 6.600601945631416889e-01
3.781666762587005959e+00 2.723499851008067019e+00 6.701227622850242094e-01
2.862446416407494532e+00 2.706472798015168379e+00 4.862481373622531411e-01
3.404709713738291565e+00 2.686488857267185004e+00 5.725499010341499329e-01
2.847859059049751895e+00 2.578538606672287958e+00 3.791222795694579317e-01
2.576048499192686414e+00 2.774369651146979976e+00 3.625620444852037938e-01
2.521049878553982104e+00 2.841174166056079642e+00 5.986897623321484341e-01
2.407997440028152969e+00 2.796642550137623751e+00 4.659383342814120144e-01
3.093373522816278420e+00 2.760346268028965433e+00 6.415051365225487023e-01
2.536714587835998014e+00 2.773045842365295943e+00 4.041745335742533696e-01
2.924021924078934020e+00 2.743052674565358728e+00 4.508155892924480823e-01
2.860614034586420384e+00 2.580407807895297889e+00 3.645187337272140504e-01
2.864130763220896103e+00 2.489769140945137238e+00 2.440420386911306139e-01
2.960660234336968344e+00 2.680298637244950211e+00 5.023209983628196262e-01
2.487104487006289943e+00 2.558138140085760348e+00 2.822413856122099052e-01
3.490340389631974904e+00 2.552502073807090710e+00 4.495252247470564733e-01
