weight logl norm alpha beta
6.448895534237536372e-91 -2.156371665883939954e+02 1.199270539656049350e-01 1.932633421305730792e+00 4.361463482852397378e-01
9.188181053992776749e-91 -2.152806574794200287e+02 1.383702642924601045e-01 3.113502735608064231e+00 1.476686079006707786e+00
9.723441467877218495e-91 -2.152215358532484402e+02 9.172132068454514453e+00 1.249306868666923087e+00 8.109896847730974079e-01
2.079493044231531475e-90 -2.144588662412715792e+02 8.662608897729512591e+00 1.317084590857417137e+00 5.925361886570823522e-01
2.208513362727909141e-89 -2.120935856809231552e+02 8.939961934165159718e+00 1.597229189296998975e+00 7.810946480172394069e-02
1.193127393361701210e-88 -2.104042422690987735e+02 1.617284038898714749e-01 2.591320298681947243e+00 1.089496302177480835e+00
1.355316709127917436e-88 -2.102742850298612609e+02 9.213715780045253823e+00 1.554359270477878807e+00 2.305405935053344013e-01
6.976261149438063462e-88 -2.086333070692366505e+02 9.640837410315253209e+00 1.242018895156551395e+00 9.941670729617134716e-01
1.707779708674301054e-87 -2.077355409866989362e+02 8.235608755571945494e+00 3.175510799874155854e+00 8.059535887735095327e-01
3.039194970515402749e-87 -2.071566424295424724e+02 6.560996458468060233e+00 1.263618185389079551e+00 4.253507438045046052e-01
3.575197604516273852e-87 -2.069917146489521826e+02 9.413366388290615561e+00 2.669092632192975323e+00 3.446861232230117866e-01
5.064913849848723963e-87 -2.066408979689195462e+02 7.129104664457983631e+00 1.053667133998119620e+00 1.015140420378450425e+00
2.343231422574683194e-86 -2.051066190780135514e+02 7.503372330940377033e+00 2.860116322754795881e+00 3.809395866420787757e-01
2.551282419793604875e-85 -2.027164687690964797e+02 8.574683653839565878e+00 1.102273117509859013e+00 1.242148782882415592e+00
4.101689802737757820e-85 -2.022391658757628647e+02 7.584320269473210807e+00 1.401351945868223314e+00 3.539277099091903134e-01
6.703086703219707875e-84 -1.994429116962996034e+02 7.477491218099064696e+00 3.376376463449537901e+00 1.002003793174281343e+00
2.767252354707747354e-83 -1.980225398273819621e+02 6.545621917628708708e+00 3.372301404108174250e+00 8.951865743487978921e-01
3.102165196036052271e-83 -1.979057944075625812e+02 1.743061065485503880e-01 3.393405560038140312e+00 1.278851866755528421e+00
5.497133087444417571e-82 -1.950285829330823617e+02 1.486675236060548966e-01 3.481259351339349273e+00 7.557169643353640609e-01
8.267576520982876858e-82 -1.946179682111224736e+02 2.227340493223100570e-01 2.076354544446336270e+00 8.568476034674149533e-01
3.226821338126149111e-81 -1.932537269927557020e+02 1.888641620813680810e-01 2.223403451231825034e+00 2.218442445927828466e-01
3.932711274670798990e-81 -1.930533954598079163e+02 8.609480576794332762e+00 1.310553809854916762e+00 8.175894911279927291e-01
