Mphi g si norm
1.850122276637699570e-01 2.066702124781903335e-02 2.775039990765029163e+00 8.100140620694030957e+00
7.822929137679658362e-01 9.605572579837148069e-04 2.457065109610512721e+00 7.158459769756714053e+00
7.723476869442119641e-01 2.668122933814386782e-02 3.016032269351164974e+00 9.291437213147238694e+00
8.358723650832913799e-02 2.320800514122677710e-02 2.813912065166253029e+00 1.154987838569036640e+01
5.108960224569568709e+01 6.348078805986302475e-01 2.160302816383806057e+00 1.535798213662182476e+01
1.105098715059177561e+00 1.660780647994438916e-04 2.583052897780365509e+00 6.718957410554714293e+00
7.182356247684356099e-01 2.233766023158505892e-02 2.738672427153990618e+00 8.811239675699800600e+00
7.231533104340713836e-01 2.651240462984149129e-02 2.927069137400051702e+00 9.975906795416218387e+00
7.463318584473997985e-01 2.559275686848423020e-02 2.852952571650217983e+00 1.110729886767734875e+01
8.585553793630937292e-02 2.071699935884309743e-02 2.812471996711250810e+00 1.038786707400796416e+01
5.676496741878769153e-02 3.001461551137447892e-02 3.156058838294207192e+00 1.717379242109695525e+01
1.354016558541117077e-01 2.896547385486305387e-02 3.076344852078134018e+00 1.451923820093964856e+01
3.652424455071855647e+01 4.683454964209703975e-01 2.083805304849438489e+00 1.726179205107720449e+01
9.345078364547276806e-01 1.822200029079962258e-02 2.871364084763959656e+00 6.656338371591225211e+00
5.494035502563681117e-01 7.257120846612353723e-04 2.598121808756325812e+00 5.980900254157601736e+00
4.572730325495498249e+01 5.623472874615119688e-01 2.134620056556555845e+00 1.786718741268426314e+01
9.859848322436021162e-02 2.255519467564905123e-02 2.848047499749562395e+00 1.254208615609077881e+01
3.258897363070094588e-01 2.296242158977127024e-02 2.697048541194388971e+00 1.059490993985911089e+01
6.707026735339290724e+00 3.538602183962335449e-03 2.424276584125495848e+00 8.447224346398453321e+00
7.486545847076938598e-01 3.406336113685694278e-02 3.088055897502413494e+00 1.665560074131438029e+01
6.726392119161232586e+00 1.082028763187246889e-02 2.531118220264227503e+00 8.004028741219798349e+00
7.615375775365108568e-01 1.562742162860504547e-02 2.725580062166824913e+00 6.545496274853502605e+00
7.209337373431036478e-02 2.212287250530210053e-02 2.720618681273426986e+00 1.357999271888993142e+01
7.886425538383441403e-01 6.523471569606448467e-04 2.525948932196480534e+00 8.729941922965032575e+00
1.047871286134445912e+00 3.360457666214969005e-04 2.627050677021371516e+00 6.944533544148812965e+00
6.103550343575926185e+00 4.495614982309288805e-03 2.371575079431011979e+00 8.006248159645995344e+00
6.878912045234239159e+00 1.565304080891124702e-02 2.432088194046047924e+00 7.752984127953362226e+00
5.968672260930660656e+01 7.365328049255865928e-01 2.152211635090266473e+00 1.577544140466518741e+01
9.155506575223602006e-01 3.695334337724221624e-03 2.593252293966638256e+00 6.856197240208097732e+00
2.971562985967069181e+01 3.872222807599854377e-01 2.281988800398661255e+00 1.481573675001095935e+01
2.711704224607610070e-01 1.932004574653057097e-02 2.676514530804667835e+00 8.471284030620086725e+00
7.315149822453449746e-02 2.137815291133115733e-02 2.782872266883070989e+00 1.048733676344606103e+01
