,M_phi,g,si
count,30000.0,30000.0,30000.0
mean,385.5245509320496,0.3891200878599363,2.9226665026086023
std,322.0478356184735,0.31911904058582097,0.09362425984040673
min,0.34955705655540864,0.00017654850534992717,2.0214328452926473
25%,60.99973327942844,0.053809255439067206,2.9025578460462764
50%,350.0554670530265,0.3324901017380498,2.9520917812836927
75%,655.7496932518845,0.6777912587740945,2.9800243093672316
max,999.8248537276712,0.999881191680954,2.999983325323651
