,M_phi,g,si,norm
count,4500.0,4500.0,4500.0,4500.0
mean,142.99319983751656,0.15081025298974085,2.5012169005378326,3.171793975361382e-18
std,255.52534986716302,0.21338373248809006,0.26269971919625434,3.2346542266455678e-18
min,0.1125707009920825,0.0001009582599817,2.042398816881,2.1502495672208518e-19
25%,1.0702001638669243,0.0059322519005626,2.298306419228779,5.411160741635618e-19
50%,18.63533858499389,0.04960549980827665,2.5520731091287847,1.2442182252920085e-18
75%,238.74013196815213,0.1819457732591041,2.717133683211155,6.688657608383348e-18
max,964.5225786748488,0.9794657032970204,2.9952771451418383,9.907233268769075e-18
