norm si1 si2 E_break
2.185123558397193744e+00 1.067698334907831725e+00 3.009532877651577287e+00 2.229824325429307646e+04
2.476156484540708025e+00 1.290822871810632266e+00 3.460588268508780097e+00 4.833507737020909553e+04
2.056739403397571220e+00 1.803567444878134252e+00 3.135224653746615964e+00 4.063036813683752553e+04
2.263396972306302768e+00 1.333712432422224925e+00 3.012234980526029116e+00 3.557698926015628967e+04
2.270935627479403696e+00 1.524565657368741611e+00 2.878581008160479016e+00 2.915281626105661417e+04
2.124251430814102726e+00 1.066149799939586362e+00 3.177163218342277773e+00 3.666953001635265537e+04
2.020902681817401625e+00 1.192436536851503082e+00 3.498310614462828205e+00 4.264546711517802032e+04
1.816426832308839723e+00 1.132377889995177300e+00 3.036724303934292823e+00 2.666285913549672114e+04
2.200001121121389236e+00 1.088721458790608665e+00 2.923080652485904540e+00 2.750354306525200082e+04
3.055730151638108794e+00 1.877231947237291809e+00 3.078705375236559849e+00 4.973539446106201649e+04
2.149853829741669387e+00 1.325786308924103096e+00 3.038612178571062916e+00 3.079092173208724125e+04
2.634407442407638911e+00 1.650330534431154739e+00 3.164440738677968490e+00 5.376612322322042746e+04
2.056664827995740019e+00 1.030975116876233333e+00 3.339876000008542789e+00 3.477834237458595453e+04
2.218986452684735600e+00 1.688998868093025685e+00 3.229594808966900210e+00 4.413671187537449441e+04
2.095656749013024900e+00 1.132313572915395028e+00 2.983293958952104141e+00 3.267006406150402108e+04
2.290905267970030579e+00 1.557666209323417483e+00 3.414275163204831376e+00 4.816765474026217271e+04
2.217955813335135140e+00 1.503508196952981990e+00 3.462592471090463420e+00 4.655084188479636214e+04
2.513741577367604840e+00 2.051368985846249604e+00 3.305006926650330357e+00 5.724522640241872432e+04
2.817407481753359200e+00 1.914142454938728921e+00 3.028004996561923789e+00 5.769464328860264504e+04
2.577952463010193096e+00 2.013493468745925163e+00 3.092089411154769429e+00 6.472975568534273771e+04
1.798825384682851469e+00 1.098647518253276445e+00 3.193140624195752952e+00 3.475708609797395911e+04
2.378864747132979129e+00 1.723011329066852504e+00 2.801106567497534616e+00 3.348291736325535749e+04
1.826801608860727288e+00 1.132676348955272472e+00 3.197659694270665653e+00 3.501176437931930559e+04
2.183066667531726068e+00 1.538461248912809554e+00 2.894377950792593523e+00 3.470758799400407588e+04
2.435936160656553717e+00 2.057629497819362108e+00 3.381412720951694872e+00 5.897646258192208916e+04
2.139624034043553724e+00 1.240107753509906097e+00 3.095526711831167788e+00 3.371850032331195689e+04
1.856418631432199984e+00 1.892587293837680429e+00 2.826744501157094636e+00 2.906702606860519882e+04
2.053731393404647498e+00 1.729995896728377724e+00 3.157952067600366508e+00 4.165984573962115246e+04
2.127223017890824242e+00 1.353134063095744910e+00 3.081093208618335133e+00 3.900059015554865618e+04
2.516535389185084792e+00 1.860157553204589753e+00 3.286031395021735690e+00 5.524037099899908208e+04
2.934713822154790819e+00 1.473454012941952440e+00 3.383496562866483259e+00 4.693465557925408211e+04
2.202643499188536858e+00 1.360882504431804918e+00 3.134722659747033013e+00 3.509447145807542256e+04
1.963238668498905160e+00 1.076004932319887697e+00 2.706239100889110905e+00 2.434077000066471737e+04
2.862809380117047109e+00 1.793965992430958334e+00 3.150531842622939394e+00 4.741609706413316599e+04
2.797314245138259547e+00 1.997560260793828313e+00 3.141261667424333659e+00 6.127493930050812196e+04
2.638976494630668856e+00 1.688132116834907936e+00 3.183475683936829448e+00 5.142858352169616410e+04
2.143288136439066793e+00 1.511457434615870232e+00 3.317593269512902232e+00 4.660202270286920248e+04
2.357291263417550020e+00 1.609440452603719374e+00 2.999708695942093328e+00 4.014331668069903390e+04
2.934110310461763405e+00 1.077998943788569974e+00 3.084596538513666886e+00 3.717333622303800803e+04
1.999643671917124665e+00 1.864412845347326542e+00 3.242972178908825498e+00 4.779238183395697706e+04
2.255001938655995630e+00 1.750986838468696405e+00 3.380485222233405196e+00 5.810860256883569673e+04
2.180644155801446438e+00 1.771797266160584083e+00 3.243936060722825143e+00 4.339758407566638198e+04
2.211942368520442237e+00 1.320030921579702365e+00 3.439906943260691907e+00 3.936706048519329488e+04
2.083996730572858613e+00 1.198306064675162208e+00 3.111972077819963545e+00 3.520091209505587904e+04
2.242181858966219021e+00 1.333343857078624239e+00 3.049002582943189932e+00 4.028781777939836320e+04
2.326450213734160055e+00 1.105071692437154640e+00 3.111067724252658984e+00 3.389514149173987971e+04
2.084940806561752957e+00 1.359731418498987265e+00 3.037641469809729156e+00 3.621397223301857593e+04
1.988698795233497130e+00 1.490861083027068101e+00 3.106000123943723601e+00 3.635599072076737502e+04
2.490659847060602505e+00 1.194883029091800886e+00 3.249715948517283959e+00 4.098596769624863373e+04
2.047318534756740860e+00 1.769291823595244173e+00 3.420317961431280196e+00 4.923504492255152581e+04
2.443159695520149999e+00 1.198934438171470829e+00 3.440530362729686598e+00 4.660910406727516238e+04
2.264998232972379011e+00 1.176237887502132207e+00 2.809458938973159903e+00 2.973430712113554910e+04
2.095133637581344299e+00 1.678565526101130523e+00 3.065439980048484614e+00 3.814320870546695369e+04
2.993146145325188190e+00 2.039141982351771798e+00 3.160975781425051867e+00 6.518412917376026599e+04
2.841794785224206255e+00 1.826456862415940963e+00 2.903596293320194199e+00 4.865674611044626363e+04
2.022401064027077755e+00 1.382415865589532888e+00 3.454130417197807112e+00 4.734681567643398012e+04
2.507674096348106563e+00 1.390875161536813120e+00 2.951734976452009995e+00 3.553551044731889124e+04
2.150523441424950555e+00 1.262035885825699033e+00 2.951202781517126006e+00 3.018973917768756655e+04
2.644970299990814233e+00 1.221150975635030278e+00 3.001922293234996708e+00 3.355131546550359053e+04
2.256955716398783895e+00 1.754210669524766342e+00 2.999369010990796003e+00 3.905464669589546247e+04
2.208758482845451177e+00 1.261964534968802010e+00 3.173893114752078581e+00 3.495532434206400649e+04
2.920027421578605065e+00 1.700405176989283618e+00 3.215835417721186307e+00 5.973789249521464808e+04
2.432464513395603767e+00 1.340170642831620018e+00 2.879557712475096398e+00 3.363479184320531203e+04
2.063241729340177244e+00 1.172345143311589677e+00 3.140752699807775272e+00 2.820723848607259788e+04
1.864180113111314929e+00 1.322730633886556983e+00 3.367875936515831725e+00 3.643521113448765391e+04
1.940067382506262206e+00 1.822334032016501126e+00 3.136085470924991458e+00 3.757932883760983532e+04
2.032976618293473425e+00 1.252306561713796729e+00 3.159330722194833019e+00 3.120368707427746995e+04
2.565000477908610854e+00 1.612765532384537792e+00 3.398671066327486834e+00 5.619762275243741169e+04
1.870837269336903086e+00 2.003686971166429132e+00 2.955253168304758038e+00 3.690116757372871507e+04
2.313292935980961307e+00 1.735569199567583709e+00 3.212264467147693203e+00 4.416129732246084313e+04
2.339545272470531678e+00 1.860917299200703923e+00 2.807218415776658205e+00 3.442274004650532152e+04
2.104276805285519192e+00 1.163716411036395115e+00 3.024564291648528247e+00 3.391639306893997855e+04
2.242784232582516690e+00 1.667149916608057003e+00 3.257159962760387995e+00 4.912001783802499995e+04
2.493352778189721786e+00 1.520049584422616729e+00 2.779757028227237914e+00 3.510153103914696840e+04
2.182885151730046047e+00 1.088803703725428784e+00 2.924409072059409809e+00 2.824406845861131296e+04
2.531779540358669589e+00 1.692142748516124673e+00 2.964439241828664695e+00 4.769191206776929903e+04
2.168932102454622868e+00 1.549139225364175365e+00 3.484511390083640414e+00 4.535440523849135934e+04
2.240940619386969423e+00 1.595994516832523580e+00 3.301811740499117853e+00 4.385555408916957094e+04
1.823451134032117560e+00 1.067922775846887440e+00 2.978199082732090108e+00 2.154960271917717910e+04
2.496764324317830130e+00 1.787798876394724124e+00 3.352213146104422670e+00 5.159529734178562649e+04
2.884989954468341722e+00 1.918925230687686945e+00 3.458469048878339613e+00 6.526721673826647020e+04
2.310909820161652029e+00 1.514982936082965859e+00 3.420295131008393774e+00 4.496021350845125562e+04
1.999643671917124665e+00 1.864412845347326542e+00 3.242972178908825498e+00 4.779238183395697706e+04
2.828520091785333257e+00 1.241397896333094941e+00 3.156053983338151792e+00 4.475367069897549663e+04
1.950275007969076047e+00 1.951831528448327413e+00 3.464250500566855351e+00 4.883033685728680575e+04
2.303058096691007250e+00 1.227670723409262976e+00 3.287705469918823287e+00 4.224281470394681673e+04
1.958892381769641977e+00 1.456715380556829587e+00 3.047308674003228468e+00 2.288237364074093421e+04
2.544107883038427165e+00 1.395675043130415460e+00 3.242365105835490979e+00 4.967199357277085801e+04
2.311549265334682968e+00 1.309242229659075551e+00 3.490963814955743594e+00 4.508746232058529858e+04
2.951031880942661001e+00 1.441231208966981425e+00 2.859582781107171012e+00 3.618582462768111145e+04
2.144357719165129961e+00 1.220865505896335135e+00 2.986216820788313520e+00 3.236297807609143638e+04
1.981069096236309113e+00 1.867962891101845546e+00 3.122327904977998614e+00 4.447200623765493947e+04
1.818762163755963002e+00 1.362947444939441866e+00 3.377980014790591401e+00 3.752832206754105573e+04
2.393563474971966532e+00 2.119058287343875691e+00 2.953664308725317156e+00 5.339205693352322123e+04
2.132441857969564314e+00 1.197175558765145809e+00 3.082863489890081077e+00 2.973539728497331816e+04
1.749665394204141133e+00 1.862882063281101175e+00 3.399770045445737576e+00 4.487604296577108471e+04
2.150523441424950555e+00 1.262035885825699033e+00 2.951202781517126006e+00 3.018973917768756655e+04
2.522769165125298141e+00 1.550123700903603297e+00 3.094305847115743191e+00 4.324630349364026915e+04
2.260772974528917789e+00 1.576944200169462462e+00 3.463817257794600479e+00 5.093852666854778363e+04
2.251235719796108814e+00 1.422480712524778923e+00 3.104601043485297751e+00 3.391196328679171711e+04
2.390514226188220626e+00 1.626235394134305512e+00 3.131391634133378510e+00 3.982851413056960882e+04
2.361358710875860467e+00 1.784825423365389963e+00 3.380240361367764290e+00 5.477867796879959496e+04
2.175373687447631266e+00 1.518018341120584980e+00 3.365734408979208947e+00 4.596802333340773475e+04
2.055663671821356342e+00 1.725834255791991234e+00 2.880086878267128281e+00 3.136351479793526596e+04
2.125624848986489290e+00 1.482650799742925241e+00 3.144770352098952060e+00 4.158626817932014819e+04
1.816426832308839723e+00 1.132377889995177300e+00 3.036724303934292823e+00 2.666285913549672114e+04
2.122873458062672469e+00 1.597559788493520427e+00 3.264111289623506273e+00 4.210138351138230064e+04
3.198487881719919823e+00 2.065959432418173591e+00 3.254965952525699091e+00 9.031610789969057078e+04
1.846017926478958460e+00 1.472327452248652691e+00 2.941254330280511642e+00 3.233802454810360359e+04
2.829574081414571118e+00 2.054855625785728002e+00 2.801569711650173211e+00 4.076218577010049194e+04
2.648097000911312726e+00 1.926949399307289035e+00 3.312298487194075491e+00 5.516311460305722721e+04
1.946132751787455151e+00 1.680903812116071983e+00 3.268648558876000365e+00 3.940625204811175354e+04
2.245352557730559084e+00 1.643805758455359811e+00 3.228604469913612274e+00 4.280303018925484503e+04
3.053194701726271276e+00 1.542756335808270318e+00 3.213488341512565238e+00 5.077348763151107414e+04
2.749862113690380028e+00 1.949484094168246973e+00 3.461720255889935594e+00 6.543580225697426795e+04
3.212938746078058294e+00 1.543880504885451588e+00 3.492146657860549119e+00 5.313758530028071254e+04
1.859542696536227391e+00 1.222406851644064041e+00 3.301369704966152785e+00 3.850596364210348838e+04
1.889337522771394884e+00 1.242668030290045911e+00 2.862319799584625457e+00 2.514145259409969731e+04
2.128767336492072282e+00 1.028015915887461107e+00 3.001349269945301490e+00 3.152945847986718218e+04
2.182697533617964591e+00 1.241575543657249092e+00 3.314511687950596919e+00 4.183486096168765653e+04
2.494310741395004083e+00 1.047109428999556835e+00 3.490441891875511793e+00 4.461788534767781675e+04
2.360169171670956523e+00 1.458991363157620791e+00 3.047078996993028088e+00 3.978901392602872511e+04
2.407902890388625483e+00 1.932889908856914696e+00 3.100099985936236813e+00 5.327137485835525877e+04
2.306103030474888183e+00 1.307807616403983797e+00 3.248360947094500961e+00 4.335143624383502174e+04
2.332436794390382762e+00 1.172390656992303049e+00 3.421220390917516507e+00 4.805579054525150423e+04
2.573199702984700465e+00 1.427790788404463607e+00 3.373582349228199107e+00 4.893606179391157639e+04
1.883365388450110922e+00 1.518559441638570373e+00 3.127314653772460318e+00 3.435344009592094517e+04
2.298755642553578227e+00 1.014334631479744342e+00 3.238003226935290080e+00 3.809807838022730721e+04
2.474068189534114115e+00 1.704015767725095554e+00 2.862576879843376609e+00 3.798010881945697474e+04
2.487985957696896566e+00 1.548377942512502381e+00 3.239551784181620597e+00 5.227656715357078792e+04
2.882034540833964709e+00 1.717732435403708680e+00 2.929196641376685228e+00 4.309485133726123604e+04
2.002194049787283880e+00 1.193596378717808992e+00 3.170688399131161184e+00 3.701237738865543361e+04
2.475402543701500591e+00 1.773699758119088754e+00 2.772944613970038663e+00 3.835923048927098716e+04
2.009259294373239690e+00 1.094410788759132558e+00 3.003119795876172837e+00 2.990353956389050290e+04
2.264733533087610606e+00 1.265095976314149606e+00 2.872578621478979244e+00 3.091495646600818145e+04
2.648550412559464995e+00 1.666541975932100961e+00 2.882337171506454077e+00 4.453167928659834433e+04
2.185112852966188512e+00 1.463037554233299176e+00 3.127997428793694024e+00 3.725219233850031742e+04
2.980849764746464015e+00 1.426283626875000987e+00 3.344334005315498182e+00 5.823440295295915712e+04
2.327430081850519361e+00 1.621383041262614899e+00 3.379028779911473546e+00 5.169234565687365830e+04
2.306883056591613190e+00 1.011457741760649620e+00 2.994266089720168722e+00 2.823010617198729597e+04
2.249094936506813802e+00 1.193259796564257291e+00 3.026160671592581508e+00 3.320726524104915734e+04
2.259346045885919807e+00 1.234581981210334911e+00 3.122984359792987163e+00 3.814099843071163923e+04
3.250512846668463407e+00 1.841451417460812978e+00 3.343826333168259612e+00 6.299679645471196272e+04
2.513255392953302803e+00 1.560389517312494867e+00 3.107879648992756039e+00 4.323712122489734611e+04
2.157578278219804524e+00 1.645158899799300301e+00 3.054910875806421622e+00 4.236858499966873205e+04
2.666051924413669116e+00 1.765784409542650701e+00 3.322609225844933345e+00 5.808049259147456905e+04
2.167613305829971804e+00 1.501068844492987608e+00 2.912891368758403488e+00 3.723245388867961447e+04
2.660675837011558631e+00 1.946789303984848063e+00 3.163657044077341052e+00 5.182067411569752585e+04
2.107454616734869113e+00 1.424065766993913185e+00 3.301585806959744573e+00 4.269484941493487713e+04
2.134691439837228089e+00 1.909460986519591286e+00 3.062515314045337611e+00 4.014272501796831784e+04
1.927866861469585524e+00 1.618739654110043835e+00 2.975039093721385086e+00 3.353640610635170742e+04
2.422432733989411169e+00 1.502624073090657486e+00 3.149667183433922268e+00 3.920753908317752212e+04
1.826801608860727288e+00 1.132676348955272472e+00 3.197659694270665653e+00 3.501176437931930559e+04
2.829137890571304048e+00 1.946702637491682264e+00 3.469957838317946131e+00 7.114009533037815709e+04
2.184842022713788356e+00 1.527646485331583204e+00 3.245558909596335528e+00 4.092615880933395238e+04
1.877018344693767382e+00 1.297284041024795442e+00 3.365505343791538095e+00 4.048484205736158765e+04
2.156882879778090789e+00 1.614745911247924770e+00 3.321623184099364856e+00 3.976469862399644626e+04
2.312069001251562117e+00 1.599486553856834803e+00 3.180661193282865007e+00 4.656431759982887888e+04
2.015500503291364431e+00 1.759331741601738219e+00 3.265843808323682929e+00 3.573968355824339960e+04
2.121717686788179069e+00 1.627657360540881282e+00 3.161697460179762054e+00 3.789433320270342665e+04
2.452025349489433292e+00 2.229074877436398872e+00 3.046818006632389775e+00 6.443770911488115962e+04
1.856930139355220222e+00 2.042149843425431044e+00 3.300674677603524731e+00 4.180661400756877993e+04
2.228671632132471991e+00 2.326250256006387129e+00 3.068885411821711262e+00 5.059818433460385131e+04
2.051831146281798191e+00 2.014315724624510917e+00 3.100854034976320950e+00 4.775579167246423458e+04
2.082318764160341118e+00 1.325806068728370146e+00 3.325469181940685637e+00 4.101716375232074643e+04
2.079503948304960659e+00 1.878594930899286419e+00 3.181569924536425731e+00 4.681287664051230240e+04
2.535371170015885411e+00 1.419186290518772875e+00 3.349671124458950544e+00 4.600824592377172667e+04
2.100668221290651783e+00 1.654062909901239387e+00 3.329290014803969022e+00 4.553076833529213036e+04
2.331312236406197780e+00 1.608258412809800753e+00 3.172768568494535479e+00 3.920721249808010907e+04
2.173536337056374279e+00 1.840476461803374431e+00 3.290403453903634645e+00 4.486284937361404445e+04
2.248213522106554230e+00 1.390450604393998812e+00 3.035723211082737905e+00 3.573045791920317424e+04
2.540661529170017197e+00 1.238312214062050609e+00 3.211751624584990417e+00 4.310863553463804419e+04
2.056961626604538740e+00 1.801031769013099915e+00 3.296449376034257917e+00 5.049924999986952025e+04
2.012251901848029600e+00 1.202973908407300563e+00 3.127222525567152189e+00 2.965609149649540632e+04
2.535725938034384175e+00 1.179020439654135721e+00 2.943737382735146291e+00 3.181111225084407124e+04
2.638302118232489946e+00 1.023502182453344123e+00 2.787813018166001910e+00 3.217409733640633203e+04
1.805357272940972813e+00 1.061953114821920563e+00 3.101422437088816597e+00 2.805070769425530671e+04
2.022401064027077755e+00 1.382415865589532888e+00 3.454130417197807112e+00 4.734681567643398012e+04
2.128986333471535097e+00 1.582289353279312305e+00 3.204306541351679805e+00 3.982327598651734297e+04
2.255159416273179396e+00 1.640573599186964771e+00 3.194729332889516549e+00 4.434733984106488788e+04
2.081693894472986361e+00 1.560500256979802991e+00 3.030652436544285955e+00 3.217243019565461873e+04
2.331511491643798895e+00 1.449798846687735177e+00 3.405047429629984190e+00 5.249845843056889862e+04
2.402337013635767349e+00 1.824439362316883972e+00 3.084231242451169308e+00 3.856211397478923755e+04
2.962937291419486474e+00 1.593895177708788413e+00 2.730894934482775760e+00 3.357768663720569020e+04
2.236685214124528809e+00 1.160529593374824087e+00 2.887097617249831494e+00 2.740377945749811624e+04
2.030441854813424207e+00 1.410583037504188120e+00 3.141551838780385353e+00 3.227274851630989724e+04
2.328129221043267805e+00 1.394063639841780500e+00 3.232175652081035633e+00 4.018940061840004637e+04
1.947674689095443279e+00 1.012469312689403989e+00 3.258332491532425657e+00 3.509054293323032471e+04
2.793165783453992024e+00 1.062279906151869957e+00 2.930303989501416240e+00 3.217784010743336330e+04
2.238121395326974294e+00 1.887668977754834998e+00 3.065266936554596811e+00 4.307953304904974357e+04
2.248776648060681893e+00 1.322000468812963625e+00 3.302663897294635387e+00 4.234759318324114429e+04
2.464844212243645583e+00 1.324202776255771541e+00 2.768173507182978721e+00 2.235685669667965703e+04
2.361262567297109705e+00 1.042739885737275163e+00 3.089360184488213257e+00 3.306741832796055678e+04
1.869421214869085857e+00 1.288759842696561408e+00 3.054607144164315891e+00 2.601283547462246497e+04
2.272549152502161274e+00 1.734711863762798956e+00 3.374700667937288845e+00 5.205342470072366268e+04
2.157578278219804524e+00 1.645158899799300301e+00 3.054910875806421622e+00 4.236858499966873205e+04
2.552790254720058716e+00 1.676744851904014455e+00 3.135843067927726935e+00 3.896639456431983854e+04
2.417659216786805398e+00 2.112080020310336703e+00 3.069339385381715246e+00 5.444174822191009298e+04
3.163824262886605787e+00 2.077411035910715409e+00 3.256688674003186623e+00 9.241341734714835184e+04
2.453138868133356354e+00 1.888083570672277167e+00 3.301196403028675341e+00 5.077963397620630712e+04
1.892882097614609904e+00 1.587819638558558122e+00 3.212109281061069410e+00 3.530263388052376104e+04
2.390432712239564772e+00 1.543801956028012068e+00 3.253109084574599130e+00 4.174895158875396010e+04
2.218169830084793404e+00 1.020011938837927623e+00 3.249912870642301943e+00 3.949304116522611002e+04
