Mphi g si norm mntot
7.090082549224916875e+00 9.152598304930745221e-02 2.024057730882975470e+00 1.857740279972108510e+01 6.401600057591570747e-02
5.439229906100380152e-01 1.726318868957400429e-02 2.885906430375206888e+00 9.313648236718451656e+00 7.860787228769083868e-02
9.406854102370623139e-01 1.296224465567095800e-02 2.667289853754723161e+00 8.954688064671579184e+00 1.314365059245996559e-01
3.258432333164908812e+01 8.036216997507660345e-04 2.470011676791335820e+00 6.794621814447030950e+00 1.002182186457177548e-01
7.659337204570975999e+00 2.367986345287323782e-03 2.430306410427318209e+00 8.375019297007916919e+00 1.419656197013882126e-01
6.780278332694646970e+00 8.896797001379436187e-02 2.176598709559327993e+00 1.344689755068053216e+01 6.008445283845866708e-02
8.695336001241942281e-01 1.005114898885321913e-02 2.648646436011323768e+00 6.700546468130667677e+00 1.120392349632281376e-01
4.160385666524766407e-02 2.532265910313648630e-02 3.081364950219168897e+00 1.498375717509772898e+01 1.307802191306717265e-01
6.551900944361952472e-01 1.926659625170578857e-02 2.807999359017474994e+00 1.037887136612101813e+01 9.288110816195391251e-02
1.120876571906331165e+01 1.324319235355582158e-01 2.082339341282384293e+00 1.297265996934475396e+01 1.038425951665547520e-01
9.515346262073139105e-02 1.563638186967818144e-02 2.714652183783188288e+00 8.818024953230491292e+00 9.496996942857505175e-02
6.401123379681104453e+00 6.697719258721258895e-02 2.182952610231681412e+00 1.202234044642220034e+01 6.288569641985984615e-02
6.892038729329283964e-01 2.061775613474738783e-02 2.864279356511469032e+00 8.637218037649336821e+00 1.107782075593117810e-01
4.999204402889448340e-01 3.347507991048680621e-03 2.636142059207047694e+00 7.812372320265744463e+00 7.056514577522185472e-02
1.887304177650935832e-01 9.364622716513242365e-03 2.637733605343855814e+00 8.692838658043786637e+00 6.018435451953190601e-02
7.049089855764972823e-01 1.272171862772323962e-02 2.770119207119742022e+00 8.053987371319410116e+00 9.491692210471699975e-02
5.273778745912977017e-01 2.743167806995283620e-02 3.210186680214881516e+00 1.435127797994129928e+01 8.174819673764986694e-02
9.653258269357386512e-01 4.430835981642349810e-04 2.549255611306112002e+00 7.384862559855101871e+00 1.223013962883591765e-01
5.697536561854484871e-01 2.467425297629129155e-02 2.996245419832303192e+00 1.156173354694765543e+01 8.985806449597073808e-02
6.154524692979768119e-01 2.275250441553525443e-03 2.692717105518686704e+00 6.441022705515734970e+00 7.969663884264689691e-02
7.394757750822879006e-01 1.679297065217202900e-02 2.713692400929034854e+00 9.064850083885982457e+00 1.035292472105115852e-01
9.426640825250414579e+00 2.947944100511651171e-03 2.459278937443194035e+00 7.265988198448877888e+00 1.226844313798037545e-01
5.414679007418430334e-01 1.708449174800134862e-02 2.896528287052296591e+00 8.461547254220363357e+00 8.045413491387076732e-02
1.053307718997103515e-01 2.310116197389774570e-02 2.884145165011553047e+00 1.344240905917796169e+01 9.885141411735468009e-02
2.344097777951023864e-01 9.086910280066739024e-03 2.615930472850502397e+00 8.756511373048093461e+00 6.170318720145091113e-02
4.733549861822367588e-01 2.395073650478474550e-02 2.870167030934017927e+00 1.060342239333506953e+01 9.701218715873734244e-02
6.678772168909854479e-01 1.737576368350508089e-03 2.587661096753945067e+00 6.532666333260202407e+00 8.852154067711795471e-02
6.394480284450250185e-01 1.765119372563737909e-02 2.883384380970729133e+00 8.362845971033134873e+00 8.533141147906854462e-02
1.612837126962032852e-01 1.829985505627541517e-02 2.621870433668292755e+00 1.069042953747036684e+01 1.056795594566817820e-01
6.580457704497054472e+00 7.909681786177349960e-02 2.082178972384086002e+00 1.663570703777339688e+01 6.343233143506191163e-02
7.257767245052745508e+00 9.534577392628006132e-02 2.107552265529034408e+00 1.646012217862693916e+01 6.198535057807742776e-02
6.255109625428858067e+00 7.352440568832627199e-02 2.224253045950695284e+00 1.294294741111767166e+01 6.116619180243286491e-02
6.772855790749984228e-01 2.735129787009087446e-02 3.024150591298543134e+00 1.369000967255744783e+01 1.082174899402371798e-01
5.125275124776266372e-02 1.583844494128919039e-04 2.598371085997611907e+00 6.547588502833454172e+00 1.281031799765159906e-01
7.833310477894781343e+01 8.348558774263572513e-01 2.143243523843341158e+00 1.249201326363555964e+01 1.347148813317390892e-01
5.298958899072206963e-01 2.842747865774188781e-02 3.159452455515053160e+00 1.727642274060455208e+01 8.486459043348747178e-02
6.809188905300710415e-01 1.478437523546548803e-02 2.708775899950619070e+00 7.054404454870360830e+00 9.545722822452254452e-02
7.445509807133770863e+00 9.815919250675458896e-03 2.419380060801814558e+00 7.335402094174831689e+00 9.002747114116897709e-02
4.799437130701998955e-01 2.188789708952435659e-02 3.032652861331521343e+00 1.036624804438315905e+01 7.764140487473707164e-02
5.124794345727382572e-01 2.300490799744632844e-02 3.094315286740956239e+00 1.041719798701879007e+01 7.558302494453487952e-02
3.426080327025136929e-02 1.696142856405143812e-02 2.872375444510886222e+00 8.688490819947030985e+00 1.038362450916811425e-01
7.128327267576853865e-01 1.201371358916504886e-02 2.771636169224856339e+00 6.608839260415704686e+00 9.366888824626404264e-02
6.504520391094722465e-01 2.361942172990448563e-02 2.995130194212404451e+00 1.378177484153917298e+01 9.199956736016340342e-02
1.722824664011501083e-01 1.687586604165406887e-02 2.761706802401469929e+00 7.811620569654177615e+00 8.976708303187933002e-02
5.882194853912205090e+00 6.323802573301495755e-02 2.257067401561264397e+00 1.449777152940907321e+01 7.263786305221235640e-02
6.135005362451590116e+00 1.133087956498157051e-02 2.487155958082535978e+00 6.706482900840896377e+00 1.397497953257081649e-01
3.548287499435380521e-02 2.269483936358781748e-02 3.017711057288182452e+00 1.373706768433167724e+01 9.548831600632673444e-02
4.715941789112315097e-01 1.885722877304886469e-02 2.878340366111672211e+00 1.015826922990088832e+01 7.337082071700107289e-02
6.790062486169214928e-01 2.919498954687392220e-02 3.050771441409966034e+00 1.133908952857953167e+01 1.497131513837602901e-01
5.824491565708769691e+00 9.016274070474970814e-03 2.380837520739390367e+00 8.153316093332765746e+00 1.361935328612177143e-01
7.545290300657192972e+00 5.378418457227179816e-02 2.353096297235481860e+00 9.405311893403270673e+00 6.687856607976307155e-02
5.926664133731406325e-01 2.351003283534161201e-02 3.007092108314481038e+00 1.112231575890732671e+01 9.120302199191335224e-02
6.239857638673669271e-01 2.481753207394531840e-02 3.022596226375486417e+00 1.216284579559674839e+01 8.827163693863093741e-02
5.512404780781712255e+00 3.721076378953129538e-03 2.464261365341810617e+00 7.049202020897294751e+00 1.195814723682725039e-01
9.371842202829093471e-02 2.311184732429471395e-02 2.862298664891502309e+00 1.319734361414689339e+01 1.333692701066445663e-01
3.528153839782170453e-01 2.508926684366713511e-02 3.012387829144968165e+00 1.350161173150006277e+01 7.947758955157881167e-02
6.509714534481344517e-01 3.221394457771004777e-02 3.217073300460471685e+00 1.520233193240737712e+01 1.111437195103037873e-01
9.333482140427493134e-02 1.795703339211869934e-02 2.768163495881883929e+00 8.689072619117510499e+00 1.187558267602426554e-01
2.500466385593563823e-01 1.839402363441243471e-02 2.863521443279901213e+00 8.184998390306038374e+00 9.220256087350711671e-02
7.660452113815843234e-01 2.456427155812986388e-02 2.940369924102791188e+00 9.958387874144428054e+00 1.383876004535054549e-01
8.022607596450291867e-01 9.249135356467392405e-03 2.603157690034604510e+00 7.202569107029204609e+00 1.030894709673557397e-01
5.778957250651663990e-01 2.362620198258479770e-02 3.020977264624248093e+00 9.676745483291952610e+00 8.951448197330104384e-02
5.380117227253576884e-01 1.930922704146308816e-02 2.923294199242693736e+00 1.028172524435517232e+01 8.188851712780750858e-02
7.053324467886793236e+00 2.710826843986999159e-03 2.437395208209011788e+00 6.685880117132198208e+00 8.465373953173847832e-02
6.931173174582321295e+00 7.400876914365615844e-02 2.186974902207423632e+00 1.205612694380277006e+01 6.198469016209931515e-02
7.000977687660276061e+00 4.219803233279342120e-02 2.280481230389625580e+00 1.155184046468073333e+01 1.268992397302999842e-01
9.221038556392777141e-02 2.456448866723439858e-02 3.066697104163051080e+00 1.553704599888139803e+01 1.031028417020804777e-01
6.525754925778137761e-01 3.503573990576165208e-03 2.565038344504325440e+00 6.870292291735310641e+00 1.000635085463197349e-01
1.325818100922530329e-01 1.784843526473323116e-02 2.668699366856497335e+00 1.007053504815334755e+01 1.471513676790933700e-01
3.493620299059536638e-01 2.069846171878568476e-04 2.630758733993514564e+00 7.233521315518680161e+00 6.425166289232223105e-02
5.315804999492867305e-02 2.849030279583947972e-02 3.082859675203680094e+00 1.992703099642688258e+01 1.106140800969939442e-01
6.508880302199742118e-01 3.506284766347356890e-02 3.307993134407217983e+00 1.768932340533877579e+01 1.128584934834776510e-01
5.406377669748837489e-01 2.872065148909196119e-02 3.167320736975207218e+00 1.691110949450656875e+01 8.454568585133789838e-02
