Mphi g si norm mntot
6.974069776787397146e+00 8.795464312901531134e-02 2.034194384997913829e+00 7.196319129428283112e+00 2.211787147089466776e-01
7.385151489976689021e+00 7.899598532101236026e-02 2.269079359261002349e+00 8.323202226510478141e+00 1.732109622420777151e-01
5.108049080010591325e+00 7.023547376158005562e-02 2.227362094235564527e+00 7.392652519704415504e+00 7.011374237998362069e-02
6.180692542852769478e+00 1.160432879611873747e-01 2.147073428385829708e+00 7.681263434898395026e+00 6.362330009272998410e-02
1.822395984472536812e-01 1.886790427750556151e-02 2.583040525160845036e+00 9.508075157106036457e+00 1.905110603749697318e-01
6.970583226607144134e+00 4.324676359877463461e-02 2.297928951175652657e+00 8.065435339410177207e+00 2.132656386998942610e-01
5.266778407287523223e+00 8.706947056775915517e-02 2.058129437631924130e+00 6.839548113900820070e+00 6.236490955582425777e-02
5.581036729970000998e+00 3.679737786937610500e-02 2.343071523883188956e+00 7.617712242026139613e+00 1.073926877330778212e-01
4.047983828104542603e+00 5.454502297991644343e-03 2.342262365159681448e+00 7.711870801284622878e+00 1.063707609091473494e-01
5.431620729406314574e+00 5.021636499054200203e-02 2.304807810136892954e+00 8.548041492476944114e+00 7.538901778445310231e-02
1.517567005499257937e-01 2.356478031966872944e-02 2.844879418233303703e+00 1.047752496903575370e+01 1.478621805500491271e-01
1.026767885051659973e-01 2.754031770102472604e-02 2.974471381888702304e+00 1.321983081301158336e+01 1.769052069547047412e-01
6.233755424894088515e-01 1.773630469651316099e-02 2.736601158794891298e+00 9.247742974489135293e+00 8.851025779818402772e-02
5.489630351494955818e+00 1.126072965337815146e-01 2.013211032904314468e+00 7.571798612799573114e+00 6.003899343575848369e-02
7.564529172429829806e+00 9.659617269625681013e-02 2.185440711927553181e+00 8.316073324420599988e+00 1.981243467751105380e-01
4.943122834346456074e+01 9.336876668225153608e-01 2.161736986239557456e+00 8.730042506289111159e+00 2.184660615330069056e-01
5.600563333862133009e-01 2.445997533172898294e-02 3.121455908238794930e+00 1.027743994040541864e+01 8.689694843875195307e-02
4.409946928364862073e-02 1.986060256688267425e-02 2.835851762769030948e+00 9.047365487905592474e+00 2.008867086874287222e-01
5.227633340887437363e+00 6.889265520778714569e-02 2.217166163878181884e+00 7.968745928863505412e+00 6.143888900634508071e-02
5.369525003075160674e-01 2.348800708116235633e-02 2.922962500319468582e+00 1.351219745507231096e+01 8.015869386760070270e-02
2.708993982733918227e-01 2.259190744549411517e-02 3.092787642959050842e+00 1.778616560345595587e+01 6.370170260773098947e-02
8.195645591698996313e+00 1.053944532942829027e-01 2.233475611703616970e+00 8.251962717883777998e+00 2.278346747707524766e-01
5.392743957578944425e+00 3.794322804437075258e-02 2.440630328381117486e+00 7.626877893869235869e+00 1.261069130882547795e-01
6.661724245237399700e+00 1.936115049708178951e-02 2.424402530908255748e+00 7.910801457099277734e+00 1.762139473237934739e-01
8.206175084154649912e-01 3.053914350630497140e-02 2.852269409926051935e+00 1.287650867674862987e+01 1.903101109088796150e-01
7.247929373750680027e-01 2.143451966471552467e-04 2.654039814888849769e+00 5.794937729160332118e+00 1.265159553742245535e-01
5.613951021386400342e+00 5.268277833792728293e-02 2.207095037514693825e+00 9.537857698715544785e+00 1.450985637133886674e-01
2.415902189467976058e+01 4.082637577461036837e-01 2.186709532437518533e+00 9.271561974187395805e+00 1.467989193385445534e-01
5.596311312496175638e+00 4.917673188764947606e-02 2.323259466316200506e+00 7.535955249391093957e+00 6.958270696214249873e-02
5.425226195155422815e+00 9.783426219248129996e-02 2.031514360583583922e+00 8.091704009370378259e+00 6.269491698587283113e-02
7.057481345946506224e+00 8.004878862082677460e-02 2.242185458522902408e+00 9.428203018301934080e+00 1.776348930595381403e-01
5.923133985642854427e+00 4.074152401033429016e-02 2.418120672676107752e+00 8.359821095284077686e+00 2.146319681503103538e-01
5.949141337780414318e+00 1.051724204227462711e-01 2.184041300664176788e+00 7.822875566799289970e+00 8.427383115054264129e-02
1.462495497286832702e+01 2.691689102890893470e-01 2.008323510388495325e+00 7.464272211621411302e+00 1.840475672648503036e-01
3.841425341943752875e-02 2.493059653607905893e-02 2.956817464842855347e+00 1.356093567574377801e+01 1.472620730775465736e-01
7.486583913321266159e+00 8.759847090178693452e-02 2.291747397247090756e+00 8.066950117416539001e+00 1.910440229210859098e-01
4.703101145034561115e-01 1.839924645876010734e-02 2.660545196152298342e+00 8.041830837462256909e+00 9.728112686360979033e-02
6.059967819399431077e-01 1.649052523537762258e-02 2.675590838255044623e+00 7.901656985557039548e+00 8.958122516689807913e-02
1.042048786648695907e-01 2.252367334183361103e-02 2.867059285357448140e+00 1.036670266382717287e+01 1.514526221473964651e-01
6.048027464807247178e+00 5.339018693790548165e-02 2.415555410418191329e+00 8.340870986840933199e+00 8.457397466328876734e-02
5.908806614307690275e+00 5.226789158183483414e-02 2.275965665150446515e+00 8.044035786310379521e+00 1.140666056205539153e-01
1.457238227161947819e+01 3.318547409450048891e-01 2.039978929167740151e+00 7.041403677994501287e+00 7.368598184951200003e-02
2.685835152033422801e+01 6.333605148029134435e-01 2.139627683121675616e+00 9.156446545047129959e+00 7.417354434442077760e-02
6.452238491561839595e+00 1.167299401803703063e-01 2.219818865279454378e+00 7.984806061980207481e+00 6.685680455114000054e-02
6.300198031387288511e-01 2.989628349513349242e-02 3.063954669265900321e+00 1.542109090387977233e+01 9.987289031015034180e-02
5.963092837795549883e+00 1.036426807676499029e-01 2.117848086059871182e+00 8.014679211313783469e+00 6.064466258312713881e-02
7.146226589495668913e-01 3.860316406427527491e-02 2.860614337732980239e+00 1.648717972397174591e+01 2.382006137455442984e-01
5.840107259968608133e+00 3.807967192686451119e-02 2.440188351409568135e+00 8.249686227742504485e+00 1.379768683003389784e-01
6.566617781691113542e+00 1.139863802063730419e-01 2.181144637422286259e+00 7.145798542353947624e+00 6.714160303287301790e-02
4.991591746809556085e-01 2.740014486838832086e-02 2.815107843608637861e+00 1.130994683506910015e+01 1.450321409854287980e-01
8.445749846709484032e+00 1.001212157980777701e-01 2.282310115411056550e+00 9.151445366958247618e+00 2.354587982018113979e-01
5.900143324012760537e+00 5.012894590620471658e-02 2.427640618680947160e+00 7.171745687161570793e+00 7.493440524823757887e-02
6.506270881726269328e-01 2.490185666934829553e-02 2.931589872044854772e+00 1.063817225379736442e+01 1.016523361126554781e-01
7.156857832341266823e-01 3.065972429399285715e-02 2.845660860415264892e+00 1.301935445725183804e+01 1.723452258788113478e-01
6.271899355806663579e+00 8.970180907396667347e-02 2.275810610824665847e+00 7.584865042363678533e+00 6.579177069368898068e-02
