Mphi g si norm
5.984117195392964383e+00 5.856386973186044481e-02 2.389139239041067064e+00 7.715426970701689591e+00
5.567515629026879687e+00 4.716300098627800030e-03 2.479293373467414963e+00 7.623786777770514611e+00
5.751742754533949176e-02 1.974111616281861228e-02 2.890921204532634015e+00 8.470315309252047342e+00
6.977868234561791783e-02 2.861616597089545674e-02 3.034401268185896505e+00 1.681128343879750631e+01
6.988576497780861096e+00 8.844269669553669888e-02 2.152730098529482827e+00 7.584817842911726338e+00
1.718589744816099718e-01 2.340649439602909485e-02 2.850451439725746994e+00 1.054116195667018374e+01
5.456218028002790987e+00 5.755565777774804270e-02 2.207800061048088569e+00 8.873856615465435027e+00
5.510559148978789956e+00 6.021238073668479457e-04 2.377305273329056501e+00 7.398366547358653733e+00
6.437721886584052422e-01 3.820555961113041021e-02 2.983763439959187913e+00 2.119176056776625217e+01
6.088840475220250958e+00 8.103246951052629158e-04 2.507518746787583463e+00 6.650313735076446520e+00
5.972619772048679693e-02 3.703269467072144985e-04 2.499541873127268499e+00 5.408808039133845114e+00
3.600004169198340520e+01 6.203854967517407060e-01 2.237818009612839720e+00 8.183759029802695650e+00
6.128821855665152363e+00 4.692521516087406336e-02 2.310299255204320001e+00 9.430002728300191706e+00
1.065141228842436810e-01 2.828593091445961646e-02 2.918585628801780629e+00 1.853523091128090527e+01
1.853132624246921978e+01 3.384442360860033805e-01 2.009693127589455397e+00 6.926455610629575155e+00
6.180429511483013449e+00 6.190008078990417995e-02 2.201803908963547496e+00 7.202670645251461501e+00
3.044035185960912315e+01 5.748658823901874326e-01 2.046047041152752488e+00 9.358187753757617244e+00
4.946749329320493382e-02 3.664420381137364208e-02 3.238395643056453999e+00 2.894010365455539713e+01
2.027215067499251688e+01 4.081981325572429098e-01 2.045934085873684971e+00 8.125887947375300513e+00
3.752986357175556975e+01 5.695491233686067467e-01 2.353823740616913351e+00 8.750962873103802053e+00
5.775763951701841314e+00 4.632185500696017061e-02 2.353695432217561390e+00 7.948281118242225496e+00
1.147865343301486263e-01 2.644032112053737495e-05 2.453136005417771326e+00 6.495328018039648654e+00
5.482522295743400775e+00 1.102341380567166580e-02 2.403416374042999237e+00 7.070617349040309918e+00
7.564401169780614609e+00 4.683845405800599743e-02 2.415983946753724521e+00 6.625244643863960725e+00
3.706950849327367986e-02 2.732965667240945182e-02 3.049402210242859290e+00 1.813927157778704569e+01
6.848410048724978161e+00 6.579105320332527540e-02 2.336190159265488564e+00 6.397613303180869515e+00
6.808801542795019091e-02 2.844403738914485363e-02 3.063750656927722638e+00 1.558725658395404778e+01
2.685004083387773832e+01 4.874178714572794391e-01 2.178559659152307759e+00 8.476909545994965711e+00
5.842108912636078344e+00 6.646587709402415611e-02 2.350285183715493886e+00 7.898918571521426735e+00
5.941968193232671780e+00 1.049062420603229240e-02 2.458846542684683278e+00 7.537513113138754051e+00
6.023342209576461492e+00 5.029328833038892999e-02 2.269959405318421108e+00 7.876110262212319135e+00
