norm si1 si2 E_break
1.907883338387459604e+00 1.762535401728140938e+00 2.886367844434152730e+00 3.237848254309675031e+04
2.785457688842218449e+00 1.839741243050074360e+00 2.947715908707951193e+00 5.052643980707163428e+04
2.438010297055869913e+00 1.332090389382886819e+00 3.055068596313444740e+00 3.432692877907939692e+04
2.382700089064653692e+00 1.246659863200477281e+00 2.729371517963555149e+00 2.399235299629788278e+04
2.157201937997431873e+00 2.002120571336954313e+00 2.711283109246285683e+00 3.640326066480299050e+04
2.393002860722444058e+00 1.580455861050677369e+00 2.747919071632381360e+00 2.926624628327149912e+04
2.410408565525608005e+00 1.704079960261907445e+00 2.682226223981513336e+00 2.877113047474889026e+04
3.307827612088871660e+00 1.979041517270472061e+00 2.919750317298076325e+00 5.921018087320321501e+04
2.069456709068069333e+00 1.028770276765419212e+00 2.919447432243824192e+00 2.633805019897699822e+04
2.540731649831831973e+00 1.593240034310461795e+00 2.965433045268835777e+00 3.348551988738195359e+04
2.099725753306266984e+00 2.090978325303202823e+00 2.742162198812192475e+00 4.539315329443438532e+04
1.833019043089755273e+00 1.734318086992341579e+00 2.795026213280194405e+00 2.401933105622142466e+04
2.259110443581101801e+00 1.475068968958400006e+00 2.880891435236841325e+00 3.013585167532015839e+04
2.763709064156102624e+00 1.506231043422061600e+00 2.948230083340056318e+00 3.593816206086742750e+04
2.063686480610411156e+00 2.181739496524991662e+00 3.075066444929887233e+00 4.999652286388397624e+04
1.935710575648594389e+00 1.631720353544282576e+00 3.089708547217318912e+00 3.780589096174649603e+04
2.190321961684334351e+00 1.689959960688426133e+00 2.763742776086669295e+00 2.505811601383640300e+04
2.186792160020578191e+00 1.134210529808416856e+00 2.876899745304900335e+00 2.621891749008041370e+04
2.346074183764797372e+00 1.069866270229840488e+00 2.796501017126624689e+00 2.476198680695302392e+04
1.941779192986869518e+00 1.617256973752689397e+00 2.997043511092581269e+00 2.657048493036038053e+04
2.456093323528099504e+00 1.400238570126213444e+00 2.686655249851477745e+00 2.868719044044589100e+04
1.993957359009649322e+00 2.053187207040870099e+00 2.821521857936208910e+00 3.496803682994425617e+04
