,M_phi,g,si,norm
count,85000.0,85000.0,85000.0,85000.0
mean,102.94990730963768,0.08091546848858293,2.891674481992074,3.4547531500809526e-18
std,205.95982252550021,0.1909764046859079,0.12043067672007063,8.115049609457224e-19
min,0.10174160136806787,0.00010022960627532372,2.0050194173260394,2.5400513421925342e-93
25%,5.3500815215868,0.002071438078565898,2.8545442211184398,3.138198667231603e-18
50%,6.009729688857835,0.011767338190811376,2.9230947901673163,3.4872344362111144e-18
75%,76.05448841631176,0.03649075888407943,2.9709627172341677,3.8184759321984624e-18
max,999.836765728471,0.9999816596789216,2.9999943044431587,8.320284895232372e-18
