Mphi g si norm
5.721337945774350731e-01 2.793257789655809870e-02 3.042937835603593211e+00 1.245471112333429531e+01
5.250090765483050426e+00 4.882804195925628116e-02 2.341272817098460024e+00 6.876980957129107175e+00
4.708148229515990657e+00 2.490187371897674765e-02 2.386269119681222239e+00 7.659247342728891184e+00
2.384094341284455609e+01 1.464881055559553178e-04 2.483959915476257940e+00 6.903813450094572701e+00
3.851897110628033638e-01 2.842083711193869877e-02 2.787747928630712302e+00 1.609221051421762638e+01
6.923967869483788284e+00 2.807454274597705537e-02 2.346633408816041211e+00 7.040724499932639269e+00
5.091973202012770372e+00 4.696994217445987774e-02 2.351930278610759650e+00 7.104987422290006904e+00
6.776242435014517840e-01 1.821970520432617327e-02 2.803827143504918240e+00 7.362360230385147197e+00
6.407151753256485893e-01 2.578313374793114038e-02 2.930017648486991533e+00 1.102737854625047831e+01
5.657588007433701494e-01 2.999996729601320591e-02 3.092595933640574390e+00 1.340246028565773528e+01
2.144323859536319432e+01 4.819391264404036535e-01 2.006079258933312737e+00 7.817017380132859294e+00
6.474313569114916733e-01 2.647332257548868847e-02 2.935033287634788657e+00 1.270577879095970530e+01
6.372596055447345975e-01 2.841243112616789399e-02 3.126219412606661141e+00 1.156509875748741223e+01
7.534467299708879073e-01 1.086217357760027764e-02 2.534749275113540534e+00 8.664729151369359172e+00
5.009646429549846403e+00 5.104730818892002503e-02 2.318452245139631440e+00 8.525573939274071478e+00
6.362125581968596233e-01 2.223031569733263657e-02 2.850663318366966514e+00 8.789687401976909342e+00
6.945740833402122005e-01 1.993582485557312406e-02 2.671804939397866452e+00 1.095994706627311110e+01
6.324322976079336245e-01 2.636548158454675092e-02 2.939106317578564109e+00 1.167536301359749729e+01
4.017674376082350229e-02 1.643793782395949407e-02 2.855805308552289645e+00 8.132228457950439804e+00
7.276133128165689357e-01 1.649037792362997856e-02 2.696923190616354216e+00 9.088160812963341328e+00
6.029358959594398604e-01 2.687962244332745346e-02 3.023506003687988386e+00 1.342096020156211900e+01
1.203980137322261529e-01 1.961841235630449459e-02 2.760121200463133917e+00 1.063261557196673124e+01
6.643808418764238777e-01 2.190240829459336527e-02 2.686396345934734420e+00 1.038479840480683336e+01
6.801407886000999659e-01 2.251931570907897764e-02 2.778719954536971404e+00 1.050945583802041305e+01
1.104565241907081580e-01 1.757232071256530775e-02 2.787318459624839484e+00 9.332757532698096270e+00
6.659613373832271588e-01 2.031997371949803219e-02 2.794920136817232947e+00 9.771745313997035609e+00
6.775226863308249081e-01 2.754787994671139759e-02 2.983134792977591765e+00 1.309282700561872126e+01
6.518224861635074641e-01 3.258083292626070410e-02 3.002052444326373859e+00 1.784152477625109867e+01
6.046269926695183594e-01 3.128927255326393458e-02 3.072656732450963268e+00 1.452334749438312045e+01
3.807312647491559510e+00 1.944199035133283709e-02 2.383407073240460416e+00 6.766933598974620878e+00
7.279708888726716953e-01 1.617961132321348028e-02 2.786485292684494297e+00 6.281629096192492767e+00
5.663173210730132467e-01 3.429552067081211020e-02 3.195756575995604809e+00 1.712395265004993661e+01
7.134482950921758881e-01 1.557369729055927028e-02 2.625657838304893854e+00 7.270638030370544236e+00
5.074391428700484319e-01 2.608441070861656011e-02 3.007294963871268934e+00 1.137682735311330262e+01
6.626651565001575594e-01 1.906101975892702041e-02 2.951785801378638663e+00 6.999100957692030001e+00
6.474085156831647092e-01 3.151946314265646754e-02 3.044593015834139216e+00 1.783146686216113963e+01
6.617932665655369417e-01 1.834108490987401349e-02 2.752580680438472704e+00 7.821185661923746757e+00
5.622741385847936257e+00 6.495321508231179097e-02 2.286507737973877852e+00 8.811350905332176353e+00
4.314233748372225108e+01 9.414714538055645177e-01 2.088497107162944566e+00 8.938523134610722565e+00
3.905749257211304837e+00 2.426345079043222813e-03 2.444939367519932905e+00 6.657010935429040543e+00
6.360422044178951628e-01 2.998591185622785302e-02 3.081091799746280113e+00 1.391654186004581106e+01
