Mphi g si norm mntot
7.586424593766408764e-01 2.073581026200706570e-02 2.761527832886041978e+00 9.678115585904457419e+00 1.321218662585796066e-01
8.990543827410914235e-02 1.676710809592379600e-02 2.866749703110149206e+00 1.101941270627702707e+01 1.046516016600498311e-01
4.043842034389769680e+01 5.798805113515853593e-01 2.040924819450895544e+00 1.920549422988232635e+01 1.236767717676137274e-01
6.287869050001828608e-01 1.084284456579386394e-02 2.839669653015948647e+00 5.607346940107180266e+00 1.223944311830460763e-01
6.275263515561313454e-01 1.759203481968121471e-02 2.764265268418992783e+00 7.770838134886197679e+00 1.272465277184863242e-01
7.802032044824416257e-01 1.892765812408635576e-02 2.927507500876523672e+00 6.923812734913479261e+00 1.357047270547935558e-01
8.507554555111881966e-02 2.849979153451542499e-02 2.966963147206888252e+00 1.931643704484497448e+01 1.467207008076616970e-01
6.472374688924950048e-01 1.680452086999247030e-02 2.716586053513339483e+00 8.001933492986138319e+00 1.257795653409289893e-01
6.141572887662006819e-01 2.839675615209807241e-02 3.052750615340496410e+00 1.454649339343486858e+01 1.278310377967595834e-01
7.127511863388874325e+00 7.503902830112572919e-02 2.209930682992027329e+00 1.225179905374895206e+01 1.151068314626782912e-01
6.528167042698362010e+00 5.400726163030346999e-02 2.301313852772187474e+00 1.010807661392128587e+01 1.019258006609090050e-01
7.036170030305671785e-01 2.242388463336723523e-02 2.992913750731243105e+00 9.353826212565602205e+00 1.292922603880032051e-01
6.334311824965300097e+00 1.830587592860883142e-02 2.432621006781642947e+00 7.362912381978038212e+00 1.162104470587426025e-01
4.604904799020915762e-01 2.762906022549790550e-02 2.923463391480688678e+00 1.224310066545693054e+01 1.463007399708170786e-01
6.771624687521091346e+01 7.434766519561978315e-01 2.144303745614626777e+00 1.374592775839891168e+01 1.267222129939388486e-01
1.098822650404781776e+00 2.614884278655217002e-03 2.448376714322391567e+00 1.048121408240653096e+01 1.006000147513107651e-01
5.564763827081702363e-01 2.440897480687932372e-02 2.886762505379876664e+00 1.326498116912810588e+01 1.239065904794926648e-01
7.622105676178493328e-01 1.452432217391289894e-02 2.708459265240339420e+00 8.031681127209740367e+00 1.363042747409346778e-01
6.348118915843040000e+00 5.139242155166245940e-02 2.184418974826001225e+00 1.088290096884074387e+01 1.034077958771699168e-01
5.568337878006671682e-01 2.929032475731331228e-02 3.008429845777491618e+00 1.442424083656577061e+01 1.248893596281736296e-01
6.706098959694741790e-01 2.583303351485572580e-02 2.866941055076052791e+00 1.333573766931883853e+01 1.302971172775313491e-01
3.969858369720257185e-01 1.866390893982041235e-02 2.882345992670088286e+00 9.876815074959356622e+00 1.085639646333314001e-01
9.583692502271232150e-02 1.928362747202547189e-02 2.830148728555851978e+00 1.099864042261187436e+01 1.236722303384134025e-01
5.832823609061268400e+00 2.506053566786175385e-02 2.398248091234711055e+00 7.438980728758421535e+00 1.488026081576495907e-01
5.837368832679822317e-01 1.784440784581986517e-02 2.721425950403654426e+00 9.664577133054027769e+00 1.219722808886327670e-01
6.397050733071304451e-01 1.503872639329783580e-02 2.561156163236860905e+00 8.020863684939760319e+00 1.282738253961991093e-01
8.073306111034815880e-01 1.809027057112159304e-02 2.692008013856997728e+00 9.435025805300686130e+00 1.339092781748914274e-01
5.349344503953600005e-02 2.404004604749208213e-02 3.064909831845888277e+00 1.334926184049912479e+01 1.193062842858551020e-01
8.705022034793415964e-01 1.101247513885598647e-02 2.639393370760304336e+00 8.002576917001036350e+00 1.329380717548176716e-01
6.259442224204007088e-01 2.760288318040544572e-02 2.851756094478856252e+00 1.273763224907808400e+01 1.399845869738376436e-01
4.396006791010338977e-01 1.171737748877476649e-02 2.636196469099294948e+00 7.349206602559441137e+00 1.090227902060352527e-01
8.417038116669079972e-01 5.752433473754464850e-03 2.618223004857640035e+00 7.534512785408654878e+00 1.201981979025397301e-01
2.313254553571884864e-01 1.497665735750861732e-02 2.685885446446410363e+00 1.187744469518931112e+01 1.023737856339862334e-01
5.370940388432074997e-01 2.560508966459890123e-02 2.900883047567004880e+00 1.386285082337936103e+01 1.201540154763810209e-01
1.206361461606977326e-01 1.645421520872645399e-02 2.674239296810974942e+00 8.066990006797166046e+00 1.423893137936632081e-01
5.598764199370778183e-01 3.377415937703804466e-02 3.240232469664641624e+00 1.792505994758513665e+01 1.248955874048566089e-01
7.431858113119665932e-01 1.893853111786729382e-02 2.860506140375707940e+00 7.835880651883621262e+00 1.351109617417582398e-01
7.776084164471136484e-01 1.691235204264871644e-02 2.837781255930242885e+00 7.996300069388346365e+00 1.342192289969197927e-01
1.091438022165038269e-01 1.086214331268544123e-02 2.663188363107202861e+00 8.231956619247840834e+00 1.010204941040076243e-01
7.872767649948687607e-01 6.667707409400532503e-04 2.767452614389337651e+00 6.111969879379171466e+00 1.260096230853220145e-01
2.886927434072352838e+01 3.814166625174768011e-01 2.149328391635381585e+00 1.772477234363086041e+01 1.439761396349842071e-01
6.748646114012222252e-01 1.993694603286981157e-02 2.858100854128381663e+00 9.715948872341053644e+00 1.230130097308779064e-01
4.363410899076479166e-01 2.549838211915330527e-02 2.937936158103648943e+00 1.413019514372284036e+01 1.171151329770016847e-01
6.259370664877957902e-01 2.489958977782861030e-02 3.149431129929083362e+00 1.018647613186598733e+01 1.266925797283988131e-01
5.902867414090399167e-01 1.505570985523531358e-02 2.760776888080687996e+00 8.934300123280518591e+00 1.183787450727063484e-01
2.884945817934896084e+01 4.078766889023331399e-01 2.079845599014872981e+00 1.788909321549209608e+01 1.165730767058019840e-01
5.951562603539121143e-01 1.625906334112886195e-02 2.677026896418786883e+00 9.602349238032115153e+00 1.188647474542373489e-01
1.125351878902705849e+01 1.464732134165863953e-01 2.189926310967241108e+00 1.503260478894024921e+01 1.023682884692171807e-01
3.212015634344163317e-02 1.960916099026754206e-02 2.917821983030706168e+00 1.100692179612423516e+01 1.211918111491852579e-01
4.861862011273635487e-01 2.569255241578557655e-02 3.054696458652364832e+00 1.136478044457719960e+01 1.224550439247187872e-01
5.102878218500517260e-01 2.704155100691606542e-02 2.961738095298001028e+00 1.461644010525952453e+01 1.175461152899516942e-01
7.266712121409955039e-01 7.841911228709173148e-03 2.776639599516274259e+00 6.039544651873193004e+00 1.295416993801757621e-01
5.793174229432052069e-01 3.089136017855119085e-02 3.060338109331238066e+00 1.858661835011787744e+01 1.219936570313469304e-01
6.182718309944156054e+00 4.664052068228997233e-02 2.336512629971127186e+00 9.298869394022338142e+00 1.120452398895333823e-01
5.572287159059826633e-01 2.530673117032636657e-02 2.878523471985303672e+00 8.580744349889789291e+00 1.418404735883323498e-01
1.198384609774158227e-01 1.978277413538230556e-02 2.792598858247067550e+00 9.619962837917041654e+00 1.243725640630297946e-01
7.500533172901040047e+00 6.057000827104495888e-02 2.358644509954035851e+00 8.873336993501855119e+00 1.160972888156421856e-01
6.372304773267392086e-01 2.556248653478775459e-02 3.142620610995567443e+00 1.050866861345913428e+01 1.245837671855253431e-01
8.026431821230450847e-01 1.696553155153951789e-02 2.698642439104496304e+00 8.497420757903382693e+00 1.338655936265536472e-01
4.993280907779547584e-01 3.144574721876857576e-02 3.230590343111670926e+00 1.907456188442895240e+01 1.176571568329995987e-01
1.735245087072039005e-01 1.200137972720679083e-02 2.664949792583305666e+00 7.675447828335125067e+00 1.024260045909233252e-01
5.259294064047749240e-01 2.080746920878469644e-02 2.941110794222444369e+00 9.881209561516584472e+00 1.152430444968927242e-01
2.363969157921931696e+01 3.151653841365436026e-01 2.125652979146462229e+00 1.574314461875503923e+01 1.204028748074469080e-01
5.394120762562908400e-01 1.894665113327588177e-02 2.911452400081082637e+00 7.855830745344511534e+00 1.177521900830933582e-01
6.454903769280287973e-01 1.850357141355171361e-02 2.899242451532799691e+00 8.298790204866168807e+00 1.264902715722034943e-01
8.341536098642198249e-01 1.094517053386487825e-02 2.673891162822095158e+00 7.089268854722878821e+00 1.377118803524265134e-01
5.277085914010141293e-02 1.885640315774097381e-02 2.779904751299546728e+00 1.153870420727606927e+01 1.300858681940852135e-01
7.455601959707283122e-01 1.290643557448780711e-02 2.688459041384440695e+00 8.648358666130697259e+00 1.371776846248647930e-01
5.673796433560778230e-01 1.760137933775460586e-02 2.912798944604027440e+00 7.911815279139273294e+00 1.176489843661436968e-01
5.082219662637547097e-01 3.028071802287576192e-02 3.080505924785498451e+00 1.802752484819053080e+01 1.183675762343411458e-01
6.791594186245020204e-01 3.322222813559345261e-02 3.169043897335636295e+00 1.708818365096101743e+01 1.324289177329556200e-01
8.104390917753450108e-01 3.236539380424934800e-04 2.591467621116390951e+00 7.285197717600929934e+00 1.370981157351412738e-01
1.046354390622868058e+00 2.651513166321003284e-02 2.482250212005191692e+00 1.480098097665383072e+01 1.009084429958519435e-01
5.510571433951058085e-01 3.121956122815028323e-02 3.267580981015951735e+00 1.643608410796139196e+01 1.196060487980840636e-01
5.509417480446571203e-01 1.768088069088190675e-02 2.983789900105164872e+00 7.739963640144062573e+00 1.161208445553224000e-01
5.232579088800776823e+00 1.932777171392876343e-03 2.473402360950944789e+00 7.756071716976517649e+00 1.348363218601840996e-01
6.665800252782746460e-01 2.759509086011123838e-02 3.097226847959566598e+00 1.239961676080919339e+01 1.334306901085644814e-01
5.366787805222644758e-01 2.762172999384802236e-02 3.166257302899902371e+00 1.410883287200822167e+01 1.200381037884234031e-01
7.479973200327406646e-01 2.268359339221603585e-02 2.452499401317398409e+00 1.377378425437460585e+01 1.000489470600346431e-01
6.295500692496677209e-01 3.352189016150108891e-02 3.060641529811285455e+00 1.389570154733859475e+01 1.405616346346378887e-01
5.457270119580335255e-01 3.149287431877897253e-02 2.959841096041867736e+00 1.673684453056301891e+01 1.345677705508445121e-01
3.259542156393257367e-02 1.163457281548213769e-02 2.769782428810832808e+00 7.851552564943529156e+00 1.052130260223043817e-01
5.942423568687382129e+01 6.272718712010748598e-01 2.272181061366379762e+00 1.123010946429791979e+01 1.327425787075098562e-01
6.683784560550705134e-01 2.834797610124219908e-02 3.085456067610290454e+00 1.158178984037119719e+01 1.306981756230474745e-01
4.441054880776356545e-02 2.599899747203799141e-02 3.000063383812311191e+00 1.342577159746971383e+01 1.415695441470411209e-01
6.267848340116011219e-01 3.423491364808146920e-02 3.289059531963588245e+00 1.851120496879390132e+01 1.288154872074304402e-01
9.130555686107267865e-01 2.775161836396910706e-02 2.667624091393513197e+00 1.280303831295153216e+01 1.003816686816974835e-01
8.186435618425382810e-01 2.892502154818295257e-03 2.678314336767162018e+00 6.491708415171591362e+00 1.413666500638800505e-01
6.230967019046247390e-01 2.366540670021569093e-02 3.110606579691762352e+00 9.780071184389848682e+00 1.227770729140212347e-01
4.801076538251451975e-01 2.751258495915345770e-02 3.098363510737461635e+00 1.477425467290593275e+01 1.153022410555088056e-01
5.493223011231841424e-01 2.072267221089788003e-02 2.787312186803750258e+00 9.490962923244953942e+00 1.233490858881920171e-01
8.072370714563101401e+00 1.123855030499847405e-04 2.395901794774500715e+00 7.327053495957871476e+00 1.282912183410943596e-01
6.465419000225807178e-01 3.211040041476105611e-02 3.128279161664369479e+00 1.834336481713523526e+01 1.329335304332675827e-01
6.495327201356434488e-01 3.196797810968347170e-02 3.082244522784739260e+00 1.967097679683325140e+01 1.285772896622749684e-01
9.792536004083692847e-01 4.893975220363668563e-04 2.599888129951786642e+00 8.430050068654278306e+00 1.270800874624768428e-01
5.928156324054717485e-01 1.824709224942219418e-02 2.747424959588209425e+00 1.131600998218113929e+01 1.180265792683960341e-01
6.767736771519894390e-01 2.575655709101349125e-02 2.986662216507788070e+00 1.407783189301437510e+01 1.245275617867641904e-01
4.527896442602505900e-01 2.538793277717992999e-02 2.951043816622997529e+00 1.434018200464868187e+01 1.124367918158922230e-01
5.489542179987592085e+00 5.268705834279626549e-02 2.131539524729871626e+00 1.295562968662562220e+01 1.123379259852254342e-01
7.223601790855904703e-01 1.559566699829029873e-02 2.676365386976583327e+00 7.318307756602304259e+00 1.385346640610550517e-01
2.770664143242652599e+01 4.050796961881871772e-01 2.028682212241146754e+00 1.954488348035564727e+01 1.143684930051839937e-01
7.244216144437118032e+01 9.769301666923182470e-01 2.123619666362396075e+00 1.883372820677203663e+01 1.146595789338177435e-01
6.814086313391884975e-01 2.123404681015166051e-02 2.940713849053737672e+00 1.046220103896183140e+01 1.293378712441511091e-01
5.148486000520403616e-01 2.818676831966283186e-02 3.198502666177911458e+00 1.408901894035732028e+01 1.171869436612372889e-01
5.045659461236092769e-01 1.796656112795918733e-02 2.719185741992289795e+00 9.691811839924612926e+00 1.142023579933421767e-01
6.663031305385912484e-01 2.234995549482424529e-02 2.979320886328185924e+00 9.493351222160502090e+00 1.256364486367055888e-01
6.264942326289194563e-01 3.420072730686824630e-02 3.168173226051109737e+00 1.788657894521825753e+01 1.444106643122867739e-01
5.346119625597749864e-02 1.967541407607439202e-02 3.003849435982295368e+00 1.032067298577514691e+01 1.140373996726613409e-01
