norm si1 si2 E_break
1.934735660632859178e+00 1.073051382609454096e+00 2.549949928004387800e+00 8.529439877880924541e+03
2.303599607032844165e+00 1.012132267513590644e+00 2.549126954215034324e+00 1.162302649342940697e+02
2.316029905248890852e+00 1.385084474359801199e+00 2.512830939590169343e+00 1.416357008355085725e+02
1.995363294300452006e+00 1.495625784238162392e+00 2.476405920738038446e+00 7.260727040138149277e+02
2.129001413053466685e+00 1.676933874519680678e+00 2.425118331248542702e+00 1.122525197815439469e+03
2.069735024329301343e+00 1.975946578133633835e+00 2.519205606366919703e+00 1.359829527512869447e+02
1.853155149859992301e+00 2.040349786619282568e+00 2.624863733633373997e+00 8.897824701636418467e+03
2.524353833193427210e+00 1.260820413922537186e+00 2.533002065643204404e+00 9.353094869530859796e+03
2.287799259789672135e+00 1.129763025281192323e+00 2.547892483228005212e+00 9.830375171784078702e+03
2.059336690175621154e+00 1.155501604762892542e+00 2.549337684969468221e+00 5.000157551169154431e+02
2.322048873977758277e+00 1.663411454469426953e+00 2.421296285792628122e+00 1.350297093776113115e+03
2.255953906872359749e+00 1.597819728661193484e+00 2.546782588931290725e+00 1.272052876446957157e+02
2.145042447703098709e+00 1.261830335786271684e+00 2.596448892365005090e+00 9.877489603085956333e+03
1.931651697118554889e+00 2.095054101222694420e+00 2.527509309355268741e+00 1.396779763507485086e+02
2.223741252392690271e+00 1.963994936190690321e+00 2.550235591476995189e+00 5.690890784920395163e+03
1.965610523650194619e+00 1.326550388284419624e+00 2.495106338968203996e+00 4.000203738068381426e+03
2.199862780740137858e+00 1.318556134963903004e+00 2.553962111617356534e+00 9.852232245696142854e+03
2.328856822722070063e+00 1.023228799265647915e+00 2.499799924911207061e+00 2.040187062373345043e+03
2.314265009396001993e+00 1.445436470549515517e+00 2.481079003344775824e+00 2.202554783459774512e+02
2.040808836022586892e+00 2.079896503345830983e+00 2.522116873735994247e+00 8.533133896409013914e+02
2.409003203591756570e+00 1.303987912039685781e+00 2.509280540048651087e+00 6.882849457177134354e+03
2.448456054926614112e+00 2.177009966647298622e+00 2.427773850125711341e+00 3.186175063390655851e+03
2.157563700323858136e+00 1.922187381005112883e+00 2.544472855470055528e+00 9.642676040916154307e+03
2.431183667765702161e+00 2.480701788141176145e+00 2.469258268624621167e+00 6.471066184188718580e+03
2.252074563214998992e+00 2.189230950530075326e+00 2.554104117931939477e+00 7.203914346727876364e+03
2.077058701718748068e+00 1.452823347870753734e+00 2.470621768741232849e+00 9.170182219300560973e+03
1.999613627012629902e+00 1.894460856550823191e+00 2.633771771007781926e+00 5.423094407712092107e+03
2.253903899233673069e+00 1.571117896617872933e+00 2.465419080554547726e+00 2.018199211967907559e+03
1.982572704466138536e+00 1.365072306474286457e+00 2.560046193926502234e+00 2.671439662307804497e+02
2.181417750599481398e+00 2.183594407948734162e+00 2.412613962621799502e+00 9.030802011098718140e+03
2.099531129053123557e+00 1.369808333889917185e+00 2.540006151348492835e+00 6.736086440278580994e+03
2.466952031636214127e+00 1.417194892746946877e+00 2.443529476288130109e+00 9.547127789550171656e+03
2.151767382247194771e+00 2.283637660789179957e+00 2.520282222925593008e+00 4.871146844944300028e+03
1.741978165092231690e+00 2.384086691612496978e+00 2.517248707167910382e+00 6.116576039181725264e+02
1.912404571716558532e+00 1.498034469788708023e+00 2.474173497973882974e+00 6.315021178527398433e+02
2.065562366342877265e+00 1.234648217669885861e+00 2.485917722494377813e+00 9.902004604868980095e+03
2.010438968501208290e+00 1.331804256096749128e+00 2.536145249959297576e+00 8.790093543517194121e+03
2.182983177337135761e+00 1.253593726900623206e+00 2.479149072175580226e+00 7.894670803809100107e+03
2.155215155667238314e+00 1.346306520010969621e+00 2.536970876336419600e+00 6.217672597505585145e+03
2.054945880182315054e+00 1.034610811463261504e+00 2.560311099370181420e+00 8.675752283216246724e+03
2.398258799860560231e+00 1.138610435840477608e+00 2.559274173357091620e+00 5.957743830251000645e+02
2.179916139478988324e+00 1.503205772816963881e+00 2.576326195849672374e+00 6.134070307021711415e+03
2.541178848367025456e+00 1.537449222825352013e+00 2.377824310267273145e+00 2.232377997824279191e+03
2.502241837364472588e+00 1.783315668941898302e+00 2.467578137604046429e+00 7.021594025059587693e+03
2.078699940812734237e+00 1.764100076180818544e+00 2.473475149387572181e+00 2.489689529172222592e+03
1.817131452066977904e+00 1.931227016838701793e+00 2.602647726363442438e+00 3.186892873812258244e+02
2.094965280725588297e+00 1.585276887274281732e+00 2.537735329282334806e+00 8.405495013110226864e+03
1.838753998858704719e+00 1.179451807593454582e+00 2.589719356711458698e+00 7.458832839077205790e+03
2.347121958082560855e+00 1.368952537973657568e+00 2.490521975739474758e+00 1.439423544419055588e+03
2.338667548405606755e+00 1.291711135784420872e+00 2.495559174059920338e+00 5.071660585667011674e+02
1.919826602222285405e+00 1.756653633623128208e+00 2.533733103833664124e+00 6.919529038419765129e+03
2.286574525834691229e+00 1.359968424057206082e+00 2.574835288289713198e+00 2.842628297800052337e+02
1.985394984379616812e+00 1.748072976254825051e+00 2.531405713303663596e+00 7.418409907835177819e+02
2.200413522713795533e+00 2.360382799961315392e+00 2.567256958041490567e+00 1.944903894174376546e+03
2.445556620150631577e+00 1.312035994750664347e+00 2.490661831687118077e+00 1.073691619801654724e+03
2.308833562157885044e+00 1.495963076013441029e+00 2.494396538779257266e+00 4.030545429806346078e+02
2.184598643841303200e+00 1.258568400673918397e+00 2.610703677872045603e+00 6.775123502105682746e+03
2.015134378998778342e+00 1.152113144621035312e+00 2.524103462825270761e+00 2.300859071921128361e+03
2.259018806281040348e+00 1.429505887864327640e+00 2.350299015766891930e+00 1.596922933725142229e+03
2.250435842657574348e+00 1.730062568606873574e+00 2.443902745889664274e+00 1.214910267650989795e+02
2.234941265443405545e+00 1.319502319834041648e+00 2.603764552814596289e+00 9.511294223825672816e+03
1.855747657775386861e+00 1.492529090591641294e+00 2.655775542821256163e+00 9.866147850357438074e+03
2.129001413053466685e+00 1.676933874519680678e+00 2.425118331248542702e+00 1.122525197815439469e+03
2.746818799979997117e+00 1.218752947856171609e+00 2.413525433825739253e+00 8.319257735842429611e+02
1.811640180460986960e+00 2.098662197994860534e+00 2.577106271847831476e+00 2.365842514292430224e+03
2.181941513774390717e+00 2.064741328387535102e+00 2.528657302562085540e+00 1.261265726749447111e+02
1.917511992746081750e+00 2.403018611401643412e+00 2.546314382653798614e+00 1.760505269184732811e+02
2.058447966877797519e+00 1.591688010444011647e+00 2.536994217440050381e+00 7.294295565840176096e+03
2.104003465857422928e+00 1.417941876791046107e+00 2.628025449992726692e+00 1.812888022591940285e+02
2.289380015810928537e+00 1.375314425179320121e+00 2.617141714241539407e+00 9.704418861719699635e+03
2.233039346799394753e+00 1.133295581343531921e+00 2.516899482939283228e+00 2.379086130252056137e+03
2.629757363022257266e+00 1.875812441747575665e+00 2.473020084553421150e+00 6.849247089003391693e+02
2.156949028698402326e+00 2.281590110841588803e+00 2.467723157084268149e+00 9.631297001420282413e+02
1.953579630778246035e+00 2.199672891697546095e+00 2.546624790284673256e+00 5.596387455059179956e+03
2.329419174893594846e+00 1.890252337654036330e+00 2.466301871036296944e+00 2.785370282018912349e+03
2.200413522713795533e+00 2.360382799961315392e+00 2.567256958041490567e+00 1.944903894174376546e+03
2.315375514176719829e+00 1.431511023202219679e+00 2.492631871550177181e+00 8.226676740729384619e+03
2.484238789218787158e+00 1.802159298736216275e+00 2.443654302366021547e+00 9.288682574629392548e+03
2.309334582687530890e+00 2.426854493199277929e+00 2.521186135280474527e+00 6.240132330669809562e+03
2.039430517933897402e+00 1.483567920156039222e+00 2.510582826312635518e+00 3.205292872660777448e+02
2.029082179445611533e+00 1.441165647075803857e+00 2.480828841229329118e+00 9.661870614237055634e+03
2.143806634653470322e+00 1.132785615780629307e+00 2.554945336528470001e+00 1.672513476419994731e+03
2.123655256857059026e+00 1.299417465186160969e+00 2.483804501340067361e+00 3.688348652789681523e+02
1.724704567007594225e+00 1.385734606376066491e+00 2.586911380328372978e+00 1.308611475372327959e+03
2.060896302317293483e+00 1.586338165197229699e+00 2.517064857546905454e+00 5.539833687159163674e+03
1.960089509475145597e+00 1.402010641966574322e+00 2.526437590491292795e+00 1.823367726589253380e+03
2.002917324487647033e+00 1.446407122068090301e+00 2.585193934600789056e+00 7.456231161395168101e+02
2.073688873796204035e+00 1.802146554597997108e+00 2.690977654443068356e+00 9.649320946581608951e+03
1.920940195067582623e+00 2.484133977920427228e+00 2.565425045182677888e+00 2.880628419110855134e+02
2.592228650400257628e+00 1.131838209341949009e+00 2.398859812280106141e+00 6.190214848394535693e+03
