,M_phi,g,si,norm
count,12000.0,12000.0,12000.0,12000.0
mean,142.39003072344863,0.14992604931484338,2.5019357904023933,3.1724063564020094e-18
std,255.2483776857652,0.21169579173066883,0.26309379570030716,3.2359186489605933e-18
min,0.11257070099208251,0.00015585363914092862,2.006479188696948,2.197335255318059e-19
25%,1.2818653066095909,0.005932251900562642,2.312900037262201,5.411160741635617e-19
50%,18.789212952925865,0.04970860699161446,2.5520731091287847,1.2442182252920083e-18
75%,233.50570062630834,0.18194577325910416,2.7152833272601558,6.688657608383348e-18
max,964.5225786748488,0.9541711662661125,2.9991996306796316,9.967886076529193e-18
