,M_phi,g,si
count,30000.0,30000.0,30000.0
mean,117.25087184692323,0.08097229216693767,2.9182771087045527
std,222.59970563715694,0.18340048713157245,0.0784224977906583
min,0.10179452156566793,0.0001075682687616819,2.0512600290455927
25%,5.384893606614939,0.0026320680196153666,2.8849980948874947
50%,5.88576909483715,0.011426900007630419,2.9402294530562845
75%,103.03423844040086,0.0381513652045725,2.974492756462136
max,999.9920428945147,0.9996689354450432,2.999962924252444
