,Unnamed: 0,nu_e,nu_mu,nu_tau,total
0,,0.009352796504923292,0.0030520626409396147,0.005731624500918629,0.018136483646781536
1,,0.010512221912253341,0.0037435109729762753,0.006924535813587317,0.021180268698816933
2,,0.012213206771949855,0.004719294094043229,0.008355073841919615,0.0252875747079127
3,,0.013453098040858882,0.006061959233026894,0.00951194111348702,0.0290269983873728
4,,0.014748698146102733,0.0070356890653933265,0.011693464627547188,0.03347785183904325
5,,0.01599320101344783,0.008650440331280016,0.012647362353566168,0.037291003698294016
6,,0.017202320314429594,0.009840959227332082,0.014383174605647057,0.04142645414740873
7,,0.01881662289999563,0.011851254285991732,0.0160875889763318,0.04675546616231917
8,,0.02024101765919701,0.013128222691722924,0.01758435800042109,0.05095359835134103
9,,0.02231175342196007,0.01508013017545979,0.020168291026091453,0.05756017462351132
10,,0.023121062920075562,0.016326031545126504,0.02165054459393651,0.06109763905913858
11,,0.025463745784312812,0.018644662952576916,0.022743552924977924,0.06685196166186766
12,,0.026974138469419165,0.02041935811024331,0.026393899361270862,0.07378739594093334
13,,0.028608708221712294,0.02213005466618834,0.026928583750585044,0.07766734663848568
14,,0.030530882949069256,0.024668994376269144,0.029565749222768993,0.0847656265481074
15,,0.032878955413088856,0.02745418788928864,0.030822524807664817,0.09115566811004232
16,,0.033528178681195286,0.030335650523596595,0.033721858327826114,0.09758568753261801
17,,0.035474489742574576,0.03171793802225788,0.03646868154016863,0.10366110930500108
18,,0.03647564733052185,0.03418493439950354,0.038648040842601525,0.10930862257262693
19,,0.04104354307430434,0.03582612243430106,0.04295491870599877,0.11982458421460418
20,,0.04285885612125481,0.04029614457214406,0.044800188643772054,0.12795518933717093
21,,0.04525441130494209,0.04218117152674346,0.04774026898033148,0.13517585181201702
22,,0.04717894206305497,0.045556720743539704,0.05221750012760876,0.14495316293420343
23,,0.05085524202590619,0.0469121685841632,0.05302779601299707,0.15079520662306645
24,,0.05528260927803454,0.051611558369686374,0.055102758639390695,0.1619969262871116
25,,0.056347059422777415,0.0522499725943882,0.062439606030471696,0.1710366380476373
26,,0.06038618289451191,0.05582233713679966,0.06502752616494935,0.18123604619626094
27,,0.06407748567588939,0.05773834116453238,0.06920949497417783,0.1910253218145996
28,,0.06841796134896048,0.06518432121469164,0.06352628878521974,0.19712857134887188
29,,0.06890633779494525,0.06505058693066637,0.07338105663314358,0.2073379813587552
30,,0.07934230560082171,0.07207142276337282,0.08062057929754586,0.23203430766174038
31,,0.08545945542836166,0.07456396145655514,0.08276824250846435,0.24279165939338113
32,,0.09711348054891475,0.0769806052599458,0.08528496836574061,0.25937905417460116
33,,0.11643732643329742,0.08084390415283144,0.09305146104870296,0.2903326916348318
34,,0.19861717549446367,0.08532544501213807,0.09719700565468034,0.38113962616128205
35,,1.3272913293244364,0.08834262374560185,0.10683837458012244,1.5224723276501606
36,,1.4191700466861514,0.09119714609782902,0.11457618124123838,1.6249433740252188
37,,0.21094656813231852,0.09768338105779217,0.11103188965527969,0.4196618388453903
38,,0.1328369828697818,0.09709306108122713,0.12113122151686051,0.3510612654678694
39,,0.12748758708585609,0.10759197700792078,0.1273918713252218,0.3624714354189987
