,nu_e,nu_mu,nu_tau
16280459815069.941,6.282659127148776e-17,6.282659126454004e-17,6.282659126641129e-17
16405897731995.387,6.186953195004353e-17,6.186953194324807e-17,6.18695319450783e-17
16532302124756.365,6.092705184619261e-17,6.092705183954606e-17,6.092705184133619e-17
16659680439869.553,5.999892886964116e-17,5.999892886314005e-17,5.9998928864891e-17
16788040181225.59,5.908494431326993e-17,5.908494430691106e-17,5.90849443086237e-17
16917388910531.402,5.818488280161139e-17,5.818488279539146e-17,5.818488279706668e-17
17047734247755.256,5.729853224007654e-17,5.729853223399251e-17,5.729853223563113e-17
17179083871575.86,5.642568376500005e-17,5.642568375904875e-17,5.642568376065163e-17
17311445519834.916,5.556613169438997e-17,5.556613168856849e-17,5.55661316901364e-17
17444826989992.559,5.4719673479504176e-17,5.471967347380958e-17,5.471967347534331e-17
17579236139586.895,5.388610965707575e-17,5.388610965150518e-17,5.3886109653005507e-17
17714680886697.117,5.3065243802339644e-17,5.306524379689032e-17,5.3065243798358e-17
17851169210409.54,5.2256882482736825e-17,5.2256882477406054e-17,5.2256882478841793e-17
17988709151287.91,5.146083521233615e-17,5.1460835207121174e-17,5.146083520852573e-17
18127308811846.97,5.067691440693676e-17,5.0676914401835057e-17,5.0676914403209104e-17
18266976357030.035,4.990493533988414e-17,4.990493533489321e-17,4.990493533623742e-17
18407720014689.582,4.914471609851979e-17,4.914471609363713e-17,4.914471609495218e-17
18549548076072.156,4.839607754132956e-17,4.8396077536552744e-17,4.839607753783929e-17
18692468896307.043,4.765884325572646e-17,4.7658843251053076e-17,4.7658843252311765e-17
18836490894898.02,4.6932839516465926e-17,4.693283951189377e-17,4.693283951312519e-17
18981622556219.574,4.6217895244734216e-17,4.6217895240260937e-17,4.621789524146573e-17
19127872430016.953,4.551384196781285e-17,4.551384196343627e-17,4.551384196461502e-17
19275249131909.367,4.482051377939308e-17,4.482051377511112e-17,4.4820513776264385e-17
19423761343897.855,4.413774730046343e-17,4.413774729627385e-17,4.413774729740224e-17
19573417814876.58,4.3465381640836815e-17,4.3465381636737715e-17,4.346538163784173e-17
19724227361148.535,4.280325836120857e-17,4.280325835719776e-17,4.2803258358277996e-17
19876198866944.47,4.215122143584199e-17,4.2151221431917667e-17,4.2151221432974605e-17
20029341284946.46,4.150911721579819e-17,4.150911721195836e-17,4.150911721299255e-17
20183663636815.598,4.0876794392715156e-17,4.0876794388957965e-17,4.0876794389969895e-17
20339175013722.93,4.0254103963174734e-17,4.02541039594983e-17,4.025410396048848e-17
20495884576885.383,3.9640899193573584e-17,3.9640899189976175e-17,3.964089919094507e-17
20653801558105.27,3.90370355855543e-17,3.9037035582034166e-17,3.903703558298224e-17
20812935260314.477,3.844237084195222e-17,3.8442370838507676e-17,3.84423708394354e-17
20973295058121.992,3.7856764833263676e-17,3.7856764829892996e-17,3.785676483080083e-17
21134890398366.434,3.728007956463408e-17,3.7280079561335636e-17,3.728007956222401e-17
21297730800672.805,3.6712179143321726e-17,3.671217914009396e-17,3.6712179140963297e-17
21461825858012.797,3.615292974669133e-17,3.615292974353269e-17,3.6152929744383406e-17
21627185237270.246,3.560219959067677e-17,3.5602199587585645e-17,3.560219958841818e-17
21793818679810.445,3.505985889872205e-17,3.505985889569699e-17,3.505985889651173e-17
21961736002054.367,3.4525779871199314e-17,3.452577986823889e-17,3.452577986903622e-17
22130947096056.41,3.3999836655303596e-17,3.399983665240637e-17,3.3999836653186676e-17
22301461930087.414,3.3481905315383687e-17,3.3481905312548256e-17,3.348190531331193e-17
22473290549222.168,3.297186380374782e-17,3.297186380097286e-17,3.297186380172024e-17
22646443075930.617,3.246959193189579e-17,3.2469591929179916e-17,3.246959192991138e-17
22820929710674.46,3.197497134220093e-17,3.1974971339542834e-17,3.1974971340258744e-17
22996760732508.332,3.148788548002278e-17,3.148788547742124e-17,3.1487885478121914e-17
23173946499684.797,3.1008219566231615e-17,3.100821956368538e-17,3.100821956437116e-17
23352497450264.918,3.0535860570177845e-17,3.0535860567685704e-17,3.0535860568356914e-17
23532424102732.99,3.007069718303859e-17,3.0070697180599296e-17,3.007069718125627e-17
