1051.418330790812, 2.196414417054918e-8
1325.1897160810938, 2.339606704029625e-8
1749.367573099732, 2.5317951957589156e-8
2204.873026870155, 2.6968521820076224e-8
2844.0442446599163, 2.9183868324188235e-8
3668.504973760351, 3.108647141022716e-8
4731.9688390127985, 3.364008952186417e-8
6246.617177476502, 3.640347622942916e-8
8838.908944534593, 4.002079525636756e-8
12220.871498600281, 4.399755789413533e-8
16510.31821800258, 4.761176547735097e-8
21795.079573620835, 5.152286445817562e-8
32300.759212639867, 5.7543993733715665e-8
40711.32552730648, 4.8369481122187215e-8
51311.85973925162, 4.065770469210271e-8
66186.66816445637, 3.3113112148259144e-8
87372.25293357702, 2.5720873548526663e-8
110122.49612513997, 2.094801408031743e-8
138796.51428984807, 1.7060823890031277e-8
196395.85983438877, 1.3044534070694707e-8
247533.98919503653, 1.0623942568223747e-8
326766.74794789695, 8.516981703635538e-9
431360.9937434219, 6.615633360992986e-9
596409.2748468136, 5.138745894968997e-9
805745.0663004575, 3.991561794938596e-9
1088556.3643091912, 3.1004774099478002e-9
1576358.3130072593, 2.260922700171487e-9
2179507.9573620833, 1.7286787193686874e-9
2877143.1740334663, 1.364134343436371e-9
4071132.5527306483, 1.0266645618874534e-9
5251314.232038583, 8.230544577226935e-10
7260583.498622462, 6.194410750767837e-10
9584612.059799518, 4.965923214503378e-10
12080281.427773764, 4.1087932228265903e-10
