,nu_e,nu_mu,nu_tau
62134575174807.52,8.602260619353495e-19,8.602260619353494e-19,8.602260619353494e-19
64071761886755.375,8.089951712679439e-19,8.089951712679438e-19,8.089951712679437e-19
66069344800759.64,7.608153438904178e-19,7.608153438904178e-19,7.608153438904178e-19
68129206905796.22,7.155048732761594e-19,7.155048732761595e-19,7.155048732761594e-19
70253289897305.35,6.728928744576712e-19,6.728928744576711e-19,6.728928744576711e-19
72443596007498.9,6.328186395470625e-19,6.328186395470624e-19,6.328186395470624e-19
74702189892733.12,5.9513103163851e-19,5.951310316385099e-19,5.951310316385099e-19
77031200579721.47,5.5968791480703335e-19,5.596879148070333e-19,5.596879148070333e-19
79432823472428.22,5.263556180537323e-19,5.263556180537323e-19,5.263556180537323e-19
81909322421529.84,4.9500843117587265e-19,4.9500843117587265e-19,4.950084311758726e-19
84463031858396.7,4.655281306604872e-19,4.655281306604871e-19,4.655281306604871e-19
87096358995607.97,4.378035338134451e-19,4.378035338134451e-19,4.378035338134451e-19
89811786096069.4,4.1173007944245873e-19,4.1173007944245864e-19,4.1173007944245864e-19
92611872812879.38,3.872094335125437e-19,3.8720943351254363e-19,3.8720943351254363e-19
95499258602143.69,3.6414911828674945e-19,3.641491182867494e-19,3.6414911828674945e-19
98476665211015.98,3.4246216355346434e-19,3.424621635534643e-19,3.424621635534643e-19
101546899243307.86,3.220667786249202e-19,3.220667786249202e-19,3.220667786249202e-19
104712854805089.84,3.0288604386990043e-19,3.0288604386990043e-19,3.0288604386990043e-19
107977516232770.94,2.8484762061720853e-19,2.848476206172086e-19,2.848476206172086e-19
111343960906236.19,2.6788347833595357e-19,2.678834783359535e-19,2.678834783359535e-19
114815362149688.4,2.5192963806359616e-19,2.519296380635961e-19,2.5192963806359616e-19
118394992222930.4,2.369259311141939e-19,2.369259311141939e-19,2.369259311141939e-19
122086225405906.94,2.2281577215681333e-19,2.228157721568133e-19,2.228157721568133e-19
125892541179416.62,2.0954594580830745e-19,2.0954594580830743e-19,2.0954594580830745e-19
129817527504984.89,1.9706640593555039e-19,1.970664059355504e-19,1.970664059355504e-19
133864884206999.4,1.8533008691030488e-19,1.8533008691030486e-19,1.8533008691030486e-19
138038426460288.67,1.742927261047954e-19,1.7429272610479534e-19,1.7429272610479534e-19
142342088386433.88,1.6391269695860395e-19,1.639126969586039e-19,1.639126969586039e-19
146779926762206.75,1.5415085198730092e-19,1.5415085198730092e-19,1.5415085198730092e-19
151356124843620.72,1.4497037514068833e-19,1.4497037514068833e-19,1.4497037514068836e-19
156074996309211.12,1.3633664295389785e-19,1.3633664295389785e-19,1.3633664295389785e-19
160940989326253.62,1.2821709396764725e-19,1.2821709396764723e-19,1.2821709396764725e-19
165958690743756.3,1.2058110592518856e-19,1.2058110592518854e-19,1.2058110592518854e-19
171132830416178.44,1.1339988028281262e-19,1.1339988028281262e-19,1.133998802828126e-19
176468285661949.8,1.0664633359835556e-19,1.0664633359835555e-19,1.0664633359835555e-19
181970085860998.25,1.0029499538806535e-19,1.0029499538806535e-19,1.0029499538806534e-19
187643417195608.56,9.432191206662375e-20,9.432191206662374e-20,9.432191206662375e-20
193493627539095.4,8.870455660804226e-20,8.870455660804225e-20,8.870455660804226e-20
199526231496888.28,8.342174358670208e-20,8.342174358670207e-20,8.342174358670208e-20
205746915604783.6,7.845354927814957e-20,7.845354927814956e-20,7.845354927814956e-20
212161543689268.22,7.3781236518295e-20,7.3781236518295e-20,7.3781236518295e-20
218776162394955.2,6.938718403763537e-20,6.938718403763537e-20,6.938718403763538e-20
225597006884357.72,6.525482000398259e-20,6.525482000398258e-20,6.525482000398259e-20
232630506715362.88,6.136855952307566e-20,6.136855952307564e-20,6.136855952307566e-20
239883291901948.5,5.771374586133807e-20,5.771374586133806e-20,5.771374586133806e-20
247362199163861.75,5.427659516913926e-20,5.427659516913926e-20,5.427659516913926e-20
255074278371135.66,5.104414449605157e-20,5.1044144496051563e-20,5.1044144496051563e-20
263026799189538.16,4.800420290208803e-20,4.800420290208803e-20,4.800420290208803e-20
271227257933202.97,4.5145305480496364e-20,4.514530548049636e-20,4.514530548049636e-20
279683384630908.06,4.2456670118745675e-20,4.245667011874567e-20,4.245667011874567e-20
288403150312661.2,3.992815683461858e-20,3.9928156834618576e-20,3.9928156834618576e-20
297394774523460.2,3.755022953403918e-20,3.7550229534039175e-20,3.7550229534039175e-20
306666733071318.06,3.5313920046430084e-20,3.531392004643007e-20,3.531392004643007e-20
316227766016837.94,3.321079430194138e-20,3.321079430194139e-20,3.321079430194139e-20
326086885911893.56,3.1232920523003575e-20,3.123292052300357e-20,3.123292052300357e-20
336253386295163.1,2.937283931023682e-20,2.937283931023682e-20,2.937283931023682e-20
346736850452530.94,2.76235355098979e-20,2.76235355098979e-20,2.76235355098979e-20
357547160450620.9,2.5978411756763263e-20,2.5978411756763263e-20,2.5978411756763263e-20
368694506451957.3,2.4431263592675285e-20,2.4431263592675285e-20,2.4431263592675282e-20
380189396320561.25,2.2976256066901185e-20,2.2976256066901182e-20,2.2976256066901185e-20
392042665527015.56,2.1607901730063555e-20,2.1607901730063552e-20,2.1607901730063552e-20
404265487362344.94,2.0321039938646936e-20,2.0321039938646936e-20,2.0321039938646936e-20
416869383470336.4,1.911081739202645e-20,1.911081739202645e-20,1.911081739202645e-20
429866234708227.2,1.797266982861337e-20,1.7972669828613366e-20,1.797266982861337e-20
443268292346008.7,1.690230481209719e-20,1.6902304812097188e-20,1.690230481209719e-20
457088189614875.2,1.5895685542846238e-20,1.5895685542846238e-20,1.5895685542846238e-20
471338953615741.0,1.4949015633430802e-20,1.4949015633430802e-20,1.4949015633430802e-20
486034017599022.6,1.405872479083678e-20,1.4058724790836777e-20,1.405872479083678e-20
501187233627271.44,1.3221455351380101e-20,1.3221455351380096e-20,1.3221455351380096e-20
516812885632603.0,1.2434049617535044e-20,1.2434049617535042e-20,1.2434049617535042e-20
