norm alpha beta
2.884195323335990935e+00 2.513914925643597531e+00 2.936728386500768728e-01
3.354590114401307055e+00 2.653386792423663820e+00 4.663210472634760073e-01
3.147477594089951314e+00 2.537888385260850921e+00 4.853790916725529425e-01
3.001508350320795770e+00 2.617119123797363667e+00 5.569720546233918324e-01
2.850185815684821655e+00 2.458141622759782763e+00 2.115248026934243852e-01
3.381406676327359584e+00 2.532574470421267598e+00 3.264075167359579144e-01
2.446247723293915932e+00 2.704277561289370801e+00 3.295691564390912376e-01
2.546051685771201001e+00 2.531809561267631903e+00 2.397530264651578924e-01
2.679245805742546782e+00 2.723399750157430965e+00 4.680695721174206181e-01
2.910429838127023494e+00 2.520883071653932994e+00 3.269308567835990109e-01
2.669999074979582776e+00 2.676100128179178306e+00 3.205230166090711763e-01
2.686959010067176745e+00 2.656399790426661411e+00 3.126693432786599725e-01
2.431489375892923910e+00 2.519769615408447461e+00 1.364315972291014756e-01
2.625849008449078426e+00 2.575139813438677372e+00 2.966479292733482098e-01
3.087776159711718371e+00 2.597559069517064056e+00 4.395804301632199595e-01
2.618533724116512307e+00 2.489239888278781621e+00 2.411619749873197827e-01
3.046107800435206681e+00 2.613895381007333985e+00 4.656829430554058624e-01
2.871575760787961062e+00 2.536043244198962654e+00 3.497346117635650176e-01
2.547585169895745683e+00 2.530526785980506066e+00 1.063746754099970104e-01
3.221461258732636779e+00 2.541974890720017921e+00 3.871935160118334385e-01
2.527368437189921657e+00 2.711997572580341131e+00 3.164689454096624166e-01
3.227561166455593877e+00 2.425935055950001029e+00 4.127168721731404033e-01
3.125821264970799263e+00 2.611758418491957556e+00 5.728117485009319720e-01
2.930359951350920866e+00 2.616131054346781948e+00 3.718045484236061071e-01
3.154631940787180788e+00 2.527259573302883755e+00 4.215450790014625415e-01
3.125821264970799263e+00 2.611758418491957556e+00 5.728117485009319720e-01
2.617946994519934290e+00 2.695233351145108536e+00 3.564867016646234288e-01
2.844107545169059392e+00 2.586104762241354216e+00 3.104267662320586152e-01
2.702321637275491906e+00 2.630140696742037321e+00 2.501661192878876783e-01
2.945110858526284403e+00 2.580859741364056603e+00 3.382806488860533589e-01
