weight logl norm alpha beta
0.000000000000000000e+00 -1.349470642750696243e+03 8.686352569101072341e-01 8.850603191502577349e-01 1.680495442847140808e-02
0.000000000000000000e+00 -8.594055042033668315e+02 6.477399292512640017e-01 9.402507380940808845e-01 9.829095998818726532e-02
4.053792325597120529e-219 -5.101956164938812321e+02 6.978686940687005569e-01 9.268579439314053037e-01 1.650373457971007207e-01
3.253310931369959736e-202 -4.712691495067805931e+02 4.393723041221013759e-01 9.650815459266054441e-01 1.392663303757858406e-01
1.114835167223155501e-194 -4.539169354268150300e+02 2.240893050408300224e-01 9.816191661905774302e-01 5.713727708796179083e-02
6.212289953227281729e-179 -4.176578360132958778e+02 4.564640183784055560e-01 9.873578195845648109e-01 2.021555904689023020e-01
2.107163434156596246e-136 -3.197253638960120270e+02 8.600997627283309965e-01 9.352224718657773384e-01 3.087632825204673637e-01
3.373754980898579318e-132 -3.100418398613635418e+02 7.381971319266962261e-01 9.608610084815437657e-01 3.186232722522455152e-01
1.666461255162237122e-127 -2.992317383888430982e+02 9.716397562298219048e-01 7.540673435906437572e-01 4.498209039187106573e-02
2.012531399692424137e-124 -2.921327921466082671e+02 4.740327947275191356e-02 7.835083048650041126e-01 8.890813945979169075e-01
1.546685210885392379e-122 -2.877884012258459165e+02 2.709770761040546372e-01 9.210804027131170857e-01 4.592765843265866899e-02
4.680865687218226487e-122 -2.866785322244157328e+02 1.136860977861184896e-01 9.899039986805457936e-01 6.383771705843788169e-02
4.813061138151826895e-106 -2.498068205122838776e+02 1.788115655127197057e-01 8.699493953108160538e-01 9.998377669465018380e-01
4.094609781243937400e-104 -2.453608121979988823e+02 7.994320048459884198e-01 7.874558064539229907e-01 7.415036126202800837e-02
8.965014092419457684e-101 -2.376668986612723984e+02 1.281650077892749762e-01 7.490988351225157382e-01 9.842732885260189191e-01
1.174459841526662147e-100 -2.373943349147133119e+02 2.470399958255524719e-01 9.685534215595216212e-01 1.444920299747323167e-01
1.779395502052448981e-100 -2.369763695462352473e+02 2.115788181567113124e-01 8.825601216117587855e-01 9.988096388994088803e-01
8.603275077861945650e-94 -2.215824897355354324e+02 1.609521273174048250e-01 9.752780833358524193e-01 6.984992856549402385e-01
1.882228445351873797e-93 -2.207970911781639245e+02 7.076867840836320589e-02 6.825837451276856038e-01 8.374378237599301444e-01
6.777693108208989103e-92 -2.172108257087917309e+02 1.833672019146063148e-01 8.186397240224305705e-01 9.395782204332907561e-01
7.619196186513434155e-90 -2.124861214405310648e+02 7.798715650453335035e-01 9.780176782636692545e-01 4.609873353613780367e-01
1.239838949030173056e-88 -2.096941406399757000e+02 6.409387350841573294e-01 9.727682652335786218e-01 3.837704818732865508e-01
3.571009791149479579e-86 -2.040286035348956375e+02 1.027734184093077596e-01 6.463873216607274319e-01 9.316311982618735721e-01
3.167610135078591261e-82 -1.949356341704217925e+02 2.094292586504400422e-01 9.506820400577913333e-01 1.196072556840127588e-01
2.346831124469127849e-77 -1.837201201479124677e+02 5.018479490700576973e-01 8.539822189360296578e-01 1.071498221337288115e-01
6.306138598083265703e-76 -1.804265774757696477e+02 6.144188786245305955e-01 9.553591637597842467e-01 3.639871938018182096e-01
8.621559377611645503e-76 -1.801113350448246990e+02 2.165205665397051948e-02 5.640992005152940525e-01 6.567896928621549391e-01
9.593725418529140171e-74 -1.753968215468803180e+02 1.581444194524300739e-01 9.060867561985710417e-01 6.019964188799681315e-01
5.090700194237494990e-72 -1.714228452596182990e+02 5.154162255018570615e-01 9.531361123142594316e-01 3.190286079340228786e-01
3.565042023163724689e-70 -1.671714146159498284e+02 8.521304995424787698e-01 9.954443422559789978e-01 7.085404138352123793e-01
1.364763865337056481e-68 -1.635239388502172915e+02 6.102119202386747654e-01 8.174637692061675898e-01 1.076361502503154766e-01
2.338010496237520574e-68 -1.629831199190137454e+02 2.005765194418325237e-01 7.130385542273199873e-01 9.063749898626477508e-01
1.738785914047724254e-67 -1.609741480593302470e+02 1.240612796215468938e-01 6.847216511928588822e-01 7.561472896011133260e-01
2.227873820438457112e-67 -1.607237874915623479e+02 3.196043998304275435e-01 9.407782312628845123e-01 7.684551648134932966e-01
1.476093339660449570e-66 -1.588303511230429876e+02 9.982805864012112007e-02 6.863313937331678716e-01 6.742115457688392377e-01
1.725850444190033771e-66 -1.586715301453562290e+02 1.743450173342431242e-03 5.391038288791594191e-01 4.827212626180894528e-01
1.536369034334334341e-65 -1.564827431298835734e+02 3.092627139118087065e-02 3.956163724935995996e-01 8.641606937652185350e-01
3.937363486698021077e-65 -1.555391536589742998e+02 2.396663013649724672e-01 7.355335793894726137e-01 9.200600661675722991e-01
4.347233955499957899e-65 -1.554376252219308867e+02 9.708787195198187447e-01 8.900536758092413292e-01 4.143304704558270490e-01
1.328967369413763520e-64 -1.543176776727924278e+02 4.140075780653831306e-01 9.959677212276434322e-01 4.285381933884632177e-01
1.669067834582070275e-63 -1.517847295187903853e+02 4.999896319839975956e-01 9.794833386375074724e-01 4.215558940523222997e-01
3.057348789295947647e-63 -1.511769466748035029e+02 3.698098899541644169e-01 9.485338452559014533e-01 7.695275166994955951e-01
3.274937703448975422e-63 -1.511056959594333478e+02 5.216930794589735854e-01 4.035193288914773468e-03 1.917300527996834703e-02
7.076080900528007161e-63 -1.503327745971722038e+02 5.472474029797678163e-01 9.493242689673987433e-01 9.064970825507061569e-01
1.665291531610600353e-62 -1.494744095113323112e+02 3.247148983092605912e-01 8.403817353898968001e-01 8.847746385814515557e-01
1.855269661923189004e-62 -1.493638796576948096e+02 2.743983017162081595e-01 8.604902991824234793e-01 7.835508079864295095e-01
4.153509233475632269e-61 -1.462528710451503855e+02 8.672016970944074199e-01 9.525314648731205702e-01 5.686925155055082559e-01
5.653401791516881569e-61 -1.459420671695330896e+02 1.432490143452546105e-01 5.191863656952711015e-02 9.328895301039619170e-02
4.155700982839898341e-60 -1.439447584051673914e+02 5.641791055755662754e-01 9.067750409343400264e-01 9.810978171310350548e-01
5.247408156017388205e-60 -1.437090052573767878e+02 5.285275126560909920e-01 9.747961287924709062e-01 7.828032610680042414e-01
2.770517982956846678e-59 -1.420426201343410639e+02 6.945816011652398148e-01 9.376858727201751176e-01 9.637514228629179280e-01
1.999791860169510958e-58 -1.400635262362927165e+02 9.865898557585196516e-01 8.005257591589177713e-01 2.540381164347232934e-01
2.169059228478125958e-58 -1.399797758032365209e+02 5.757785888192833434e-01 1.665388196260420006e-02 1.796016004561741264e-01
4.269442641987627488e-58 -1.393000860516093837e+02 4.981241463309613593e-01 9.628162296180949875e-01 7.809818600004423406e-01
1.972754861368564399e-57 -1.377670532758519357e+02 4.267569541863347471e-01 2.383037622083750140e-02 1.914146119661186418e-01
3.810121935668815075e-57 -1.371063230557886925e+02 1.988186148389770036e-02 3.707853769871071181e-01 7.075555076947962485e-01
6.744053000703591642e-57 -1.365328231689172469e+02 8.091461680222488129e-01 4.708771889975060798e-02 8.479949279782061922e-02
2.475868740240771496e-56 -1.352298078149433991e+02 1.398403703721248226e-01 1.538134391075215435e-01 1.621507707110669827e-03
1.816321450856742270e-55 -1.332345007876413661e+02 1.158193494040479221e-01 8.898877355462921912e-01 9.748988458391338874e-03
1.378618396397572595e-54 -1.312051471339046884e+02 1.040627373820615098e-01 6.284124639171916327e-01 6.392631510441366682e-01
1.756979924341605946e-54 -1.309601325865063188e+02 8.368645395785793140e-01 9.594675653828010908e-01 6.846548763627766654e-01
3.280928151323044438e-54 -1.303331026142145106e+02 8.724049817463457313e-01 3.779258126553575181e-02 2.038756032233745019e-01
1.087604537152448987e-53 -1.291321662710734586e+02 5.928011375915527292e-01 8.895790067213531493e-01 9.657652244484153936e-01
3.178904740663796894e-53 -1.280571071602609550e+02 4.592155904687866830e-03 2.043476718399961367e-01 7.706605136772721742e-01
3.255465273977233101e-53 -1.280308086697920942e+02 8.688136444015167603e-01 9.529065191777441601e-02 1.525776441837733977e-02
3.331936229631869446e-53 -1.280050902911960407e+02 4.930056216060224594e-01 9.291461559340264964e-01 3.124404801828664091e-01
6.347076834458583636e-53 -1.273581495106665500e+02 5.458464369732228816e-01 9.748274575077628956e-01 6.482958489465018292e-01
2.098509574811661513e-52 -1.261598314170832111e+02 2.716669307288066548e-02 7.642748225721296418e-01 1.630965996357571779e-01
3.869398704674992990e-52 -1.255454596620565155e+02 6.508995897215791304e-01 8.313459780754128836e-02 1.493640931720483511e-01
5.455025471769810904e-52 -1.251995214948480140e+02 2.500108153385744991e-01 6.832177316004380829e-01 8.797616652546461635e-01
6.737364634847174892e-52 -1.249858899388270572e+02 5.154607806847222307e-02 8.037587155942121919e-01 2.194412374173705382e-01
8.173876814458027981e-52 -1.247901154689402858e+02 9.703133656148743569e-02 3.528060675614556052e-01 9.639423504017698985e-01
9.146517722785848657e-52 -1.246751855534525077e+02 4.961954359190666741e-01 8.782964211008196243e-01 9.009518285346650446e-01
1.002569490296676674e-51 -1.245809074957630287e+02 1.708448141404522724e-01 9.282412121283913908e-01 3.814143928124488214e-01
1.238957819079564860e-51 -1.243667031328223800e+02 5.916927393111959255e-02 5.845777075725533400e-01 4.969510988370741122e-01
7.196708404306429681e-51 -1.226048499351422691e+02 7.642466036292862031e-01 9.422018296724468112e-01 8.438304046261861924e-01
8.205522465612306687e-51 -1.224711662915572106e+02 1.011907397189752977e-01 9.082743917526320265e-01 8.602078439850979752e-02
9.924654280768309656e-51 -1.222784516977688440e+02 2.338381134273581630e-02 3.139996675360565703e-01 6.500640117294644860e-01
3.906495045584462335e-50 -1.209057480333647590e+02 4.951050269778615176e-01 1.376341295135762310e-01 7.546492921858305447e-02
4.241051684111005784e-50 -1.208210773203766308e+02 1.819735782098097499e-02 1.230208348740785551e-01 1.504877312682353363e-01
8.388503980030272806e-50 -1.201365264028785163e+02 9.746673407370065600e-01 9.240871497132270296e-01 6.321359794962818635e-01
2.656421148639478655e-49 -1.189813237205314778e+02 9.848157594759598954e-01 1.346957583323431518e-01 2.886957609395734980e-02
5.715241470249618645e-49 -1.182126669562090058e+02 8.141146483701476866e-01 7.127779945213190693e-01 5.649123529852440040e-02
6.429046391198732459e-49 -1.180924772835142278e+02 2.899194744459676620e-02 1.746782278898995067e-02 9.602588972659088506e-01
7.593756538647794226e-49 -1.179234771029784099e+02 8.435567536496593188e-01 4.395939314737773440e-02 2.772627121696816799e-01
3.763856828131451018e-48 -1.163202742277411659e+02 1.402056375313217584e-01 4.389829718364798294e-01 9.065194013251018923e-01
4.807653857867902904e-48 -1.160730092098959574e+02 8.441688195773511261e-03 8.827489617223516216e-02 2.925929613697099141e-01
5.227333155791381382e-48 -1.159868171764048554e+02 5.257776197092302040e-01 1.450499045807973619e-01 9.439480582679338205e-02
3.143033991078012245e-47 -1.141904447459789083e+02 3.840930552936361320e-02 7.937998590304007340e-02 8.014640581905526640e-01
4.284250308619301937e-47 -1.138781877389926791e+02 2.257412282084424460e-01 8.969169401696689414e-01 5.047806842272022365e-01
1.138698755474727622e-46 -1.128981620576945630e+02 5.843533420487440067e-01 9.488524401900900740e-01 4.880582215119940726e-01
1.884416028471868125e-46 -1.123919302519101109e+02 1.188105695610585100e-01 5.827321645087740754e-01 6.368252465499080195e-01
2.072033501069035131e-46 -1.122945177328570878e+02 1.480584995641301971e-01 9.343219454332363227e-02 2.165985473027790542e-01
2.559884508969526694e-46 -1.120805860818031903e+02 9.795155955886443166e-01 1.449499086704053585e-01 1.056631435937233077e-01
5.289481817866416228e-46 -1.113523279395556358e+02 2.182331870589016010e-02 2.242447671001323029e-01 4.482543973319577102e-01
8.101729160564398171e-46 -1.109234707100848425e+02 2.581446268679832290e-02 1.949139528319729919e-01 4.639329178131468279e-01
1.063181186351981665e-45 -1.106491975996435997e+02 6.164786660887644487e-02 3.721686302395188495e-02 4.866212519388116720e-01
2.886599571869051338e-45 -1.096478839419645510e+02 5.393796054863687628e-01 2.154106721110971012e-02 3.525480607427591284e-01
4.393947391386967720e-45 -1.092252351315379855e+02 8.934762969558205370e-01 2.315898688651674142e-03 3.979689351210164983e-01
5.643352556337077154e-45 -1.089724848188072457e+02 8.288748275083290817e-02 8.307329128700002840e-02 9.035972892891035446e-01
9.215730304817175309e-45 -1.084795512928740635e+02 9.036671276625651839e-02 3.169965254068610738e-01 7.969679885074422154e-01
1.936462747471826101e-44 -1.077345150568576173e+02 6.773942893365481055e-02 1.322346507593824549e-01 2.194476688336922665e-01
2.385962807393415371e-44 -1.075232753038994389e+02 4.956337422694518935e-01 9.206288301791483164e-01 7.277808783109457336e-01
4.463356749997149987e-44 -1.068944769221319859e+02 1.072470963886426043e-01 2.377251531710453669e-01 9.156344208317456212e-01
5.009401344663230691e-44 -1.067765616237312969e+02 1.341973020586578746e-01 3.121488075036435994e-01 9.464187574107664203e-01
7.539771285172521659e-44 -1.063651861915768393e+02 3.869299518850290998e-01 8.867358486294124598e-01 7.060702888235923513e-01
1.074088419438155230e-43 -1.060088206266895128e+02 3.768882167334621780e-01 6.994388138430209789e-01 9.589489329769669279e-01
1.211607711404240863e-43 -1.058858447818151092e+02 9.314060049463331881e-01 1.970560932439063828e-01 1.470748024645107677e-02
1.652227260448027931e-43 -1.055731687141166049e+02 4.962831047786474548e-01 8.852461308697386899e-01 8.007491112489928398e-01
1.968227154144876134e-43 -1.053956597307877416e+02 2.333418197407609584e-01 2.318260643104141927e-01 2.686521260426200097e-02
2.341770981586589214e-43 -1.052193854737548264e+02 7.134838702738384164e-01 8.490581031105917109e-01 9.968131377340543331e-01
