,M_phi,g,si,norm
count,17000.0,17000.0,17000.0,17000.0
mean,231.14383893388,0.18698740288896337,2.909307073424274,3.2627176346968085e-18
std,259.76198133703383,0.26387179692301915,0.1342584210532598,9.046948972680314e-19
min,0.11151572453790069,0.0001025004455621185,2.0078719103203326,2.5400513421925342e-93
25%,41.27421997184737,0.0034828055423959175,2.8967747091884704,3.0806393770638056e-18
50%,122.8536934522686,0.04069919772752639,2.950763985511444,3.383729403821162e-18
75%,342.00033388206,0.2960125830996025,2.9795696376453695,3.693253883445905e-18
max,996.9180004821887,0.9978426582416831,2.9999338866206795,8.711961933800973e-18
