Mphi g si norm mntot
6.698371175214870021e+00 1.142590543198227226e-01 2.156014081605239330e+00 7.165813806353016346e+00 1.021356610355969169e-01
1.760564728914563304e+01 3.592175527427340920e-01 2.062990913457949382e+00 8.108405591546731017e+00 1.067226611731661029e-01
3.354527687990820767e-02 2.497114781368790087e-02 3.044023360815873325e+00 1.527914409335661716e+01 1.281209944876191553e-01
5.596553267759309058e+00 4.598268602844873126e-02 2.438364767392831034e+00 6.896234232523103636e+00 1.354519464300967535e-01
5.441485343619024917e+00 5.114348902744778741e-02 2.300572653704710202e+00 8.032405847086533157e+00 1.177676728088175168e-01
6.758302518230244083e+00 6.463876052967568175e-02 2.364116686943564360e+00 7.265031169410106848e+00 1.071001417277265555e-01
5.381074346978659051e+00 5.336638549881540794e-02 2.272623811211839318e+00 8.007422857761575585e+00 1.080028243075319971e-01
5.887066251110608661e+00 9.432332949050552251e-02 2.160030450499228927e+00 7.200299474495579055e+00 1.010582374452960591e-01
6.944103019498474971e+00 8.880221605503310633e-02 2.160187773483651874e+00 6.942540788065121760e+00 1.083176160952887268e-01
8.941850783736126074e-01 8.336922760423233578e-04 2.639277492948697734e+00 6.226581610139613865e+00 1.288373868991357085e-01
5.485104770881914504e+00 8.292549468507949550e-02 2.228172005424025492e+00 7.941910713168698344e+00 1.078661196847513770e-01
6.327060155910857908e+00 3.424004945270121142e-02 2.280765721387217226e+00 9.694465932580568435e+00 1.281872700557888656e-01
5.493066889320715518e+00 4.452011751928858924e-02 2.416662693870122780e+00 7.486152632456025025e+00 1.104186565309633744e-01
4.722776405559670820e+01 9.672787017804846954e-01 2.130063789542918862e+00 7.433250048568939228e+00 1.195985001368204681e-01
6.494453027621890362e-01 3.027843397638565678e-02 2.961352513160212752e+00 1.538580207109776765e+01 1.328403177662354773e-01
5.910996988895949045e+00 8.959213770106744246e-02 2.126540621839381640e+00 7.330717330016041977e+00 1.188174197750899441e-01
5.759799810368208206e+00 8.331244078085173199e-02 2.114828204822415181e+00 7.560842767212257343e+00 1.024696197345947440e-01
7.059175962515086944e+00 9.091759388782243156e-02 2.298441868588373627e+00 8.739556347098121236e+00 1.129190987860806961e-01
6.672182454444912203e+00 6.017451833950209633e-02 2.378527244393568552e+00 7.182739455548136753e+00 1.272036934988697854e-01
6.141740464137154021e+00 1.099253031206148812e-01 2.024978398487597531e+00 7.569276742170645278e+00 1.066986929509799176e-01
4.617292599182444945e+00 1.712072051481610671e-03 2.323810778980272662e+00 7.844097904771602181e+00 1.374140437868920650e-01
5.443094352756299159e+00 5.283629033062538227e-02 2.346658404183609825e+00 7.499959148238636963e+00 1.289017982105451487e-01
7.171866912553900519e+00 8.421027587767959677e-02 2.363025968342821859e+00 7.580032780793679592e+00 1.095815011012463563e-01
6.416529749799626536e+00 8.903036880585779578e-02 2.208492816052905816e+00 7.572424473366133668e+00 1.487781293803660532e-01
5.553865443783951861e+00 8.721538815062299110e-02 2.049594805082913584e+00 8.540902679037104761e+00 1.072743676303668375e-01
6.267764884488248311e-01 6.668082407533400778e-03 2.553171394075656853e+00 7.068070835873789370e+00 1.239483426343791633e-01
6.583850503258992681e+00 7.802298446596656056e-02 2.272673515943469003e+00 7.113468952474225837e+00 1.082885092061344617e-01
3.445389310541682182e-01 3.040787711146481637e-02 2.896568587399531491e+00 1.859294156694476996e+01 1.257171169296821267e-01
