Mphi g si norm
5.587412990971296622e+00 6.461236581829869763e-02 2.113767484376670946e+00 7.520753078565903138e+00
5.736505721435636751e+00 6.742747448126784615e-02 2.281349331088249333e+00 7.749605049246439670e+00
6.381132846523837721e+00 1.079051171444189994e-01 2.086998059903685476e+00 7.755294070932510664e+00
6.942282995528911371e+00 9.048990516704054354e-02 2.240577577194488690e+00 8.152126361715733793e+00
3.083485916035335062e-01 1.698107362485653388e-02 2.801579842143539167e+00 1.040368986487385605e+01
6.406575563937893847e+00 7.927664449400183277e-02 2.321203797368478039e+00 7.826955748924416589e+00
6.113287307148019600e+00 8.505923821926839046e-02 2.223975098716909571e+00 8.708227303648186535e+00
6.560256997954539315e+00 1.177204191686414686e-01 2.049213166258823993e+00 6.963511149557366053e+00
6.125961046137367916e+00 1.092133481023397495e-01 2.030427193334932934e+00 7.264204151400568854e+00
5.465357251630506674e+00 6.205910615718564921e-02 2.336075703861018926e+00 7.556672243744806394e+00
5.568103653269262487e+00 9.995358840731852212e-02 2.006414394974623594e+00 7.045885342083863634e+00
6.302305098066683264e+00 8.422887002002395207e-02 2.308507460775392595e+00 8.151706900852360604e+00
6.121197633895887336e+00 7.713565314154285923e-02 2.290834188465123766e+00 7.258170850952225805e+00
6.236810191189886332e+00 9.393806367216706033e-02 2.181088553692067666e+00 7.918303658160161795e+00
6.255603711724158522e+00 1.066786465939562334e-01 2.001467168727487422e+00 6.178362136717369779e+00
6.147809686256413997e+00 1.117066470515860888e-01 2.073840032622722429e+00 7.325249172282839893e+00
5.572321818695303186e+00 1.062994752169064971e-01 2.074666144745870078e+00 7.858417654540415853e+00
6.164175694805606120e+00 1.185432550412273967e-01 2.093638871247081923e+00 6.870473985298207964e+00
5.590064823847958664e+00 1.085795667545032400e-01 2.102747066323884084e+00 6.942934352678180154e+00
6.656314766056460996e+00 8.864066383427039730e-02 2.312600996320795410e+00 7.592094892734864153e+00
5.012496695008419323e+00 7.748245854336921479e-02 2.191539934309801207e+00 8.338464043881511856e+00
6.405448911075120044e+00 7.757294810327686196e-02 2.331538155296294601e+00 8.059886577471942815e+00
2.985316380046276752e-01 2.136505080202897797e-02 3.056410675491975759e+00 1.321395069939826072e+01
6.442297950797091666e+00 1.130049553403551371e-01 2.098079669868381458e+00 6.226205635984767284e+00
5.459188679837422953e+00 8.061561113900332642e-02 2.257383876854955673e+00 7.823920432591553897e+00
5.789428615244364806e+00 1.120073624316756528e-01 2.203082558709275052e+00 8.905040336337771478e+00
3.997649591351510462e-02 1.578844613268266459e-02 2.802799112270231596e+00 1.323208785399082998e+01
3.383401214217374164e-01 7.779735177374963971e-03 2.602779602353948452e+00 7.242210352331079903e+00
6.404715203794303591e+00 1.027629984752531089e-01 2.224072174473745722e+00 8.893159343100482062e+00
6.292083930269892100e+00 1.078251549130496423e-01 2.047247328775028130e+00 6.518519912547192874e+00
1.527284202223391851e+01 3.647061983477914993e-01 2.057866937749022185e+00 7.593732574221400355e+00
6.738100540080648848e+00 9.702241260984124926e-02 2.241508140668475146e+00 6.835656609381837612e+00
6.004100284937885945e+00 8.945556973176929660e-02 2.163413364684184881e+00 7.047807334526185130e+00
6.299354669122004147e+00 1.131650710106149316e-01 2.012409176507182540e+00 5.796492853843631998e+00
5.305267062615747875e+00 7.189507425798184748e-02 2.275958454202463788e+00 6.989952857310745671e+00
5.777285607104455600e+00 1.055954002111152701e-01 2.044028740255262822e+00 6.776855319259508015e+00
5.986465444993124052e+00 9.260787512826468282e-02 2.145684665374421041e+00 7.297027471463659154e+00
5.230820592325706286e+00 9.144410242787869014e-02 2.069633861537305553e+00 6.880869491982378960e+00
5.074494788864945427e+00 6.284441492213030389e-02 2.261859303835913604e+00 7.460898912631561686e+00
5.746571738514438366e+00 7.582461079536080562e-02 2.347021080318307806e+00 8.520296101795468147e+00
5.293678493870938695e+00 9.383121089245166635e-02 2.107090033981488197e+00 6.969994210343827490e+00
5.761762468526058001e+00 6.050414836098798321e-02 2.242584215237516609e+00 8.732152000478739851e+00
6.473140405296845756e+00 1.242736659300511110e-01 2.006605360825875817e+00 7.274154778717818459e+00
6.211912906534833745e+00 1.082470477696150513e-01 2.081137882807206907e+00 6.829880289214829148e+00
6.334196445574819201e+00 1.319404979939290679e-01 2.003954746293064471e+00 7.034102212075256766e+00
2.983228318869305951e-01 1.549651260312011336e-02 2.748115039139568783e+00 8.467270682373911228e+00
6.190245686664233027e+00 1.217508952065847611e-01 2.057644390350962027e+00 7.603699129961608350e+00
6.461390550602184035e+00 8.303083202451018441e-02 2.226715500315564533e+00 7.791048007817851229e+00
6.124897539475100849e+00 1.142691239429485667e-01 2.061087915012998373e+00 6.966916021871067066e+00
5.795664624710273216e+00 1.175036480640558739e-01 2.005529243786027926e+00 8.097616472038055235e+00
5.970387862824310332e+00 9.146954464375459115e-02 2.096166884984293155e+00 6.725522643730583283e+00
5.234300795186867639e+00 7.578813039948806285e-02 2.190503161601189408e+00 8.539714740864834397e+00
6.445720843405429612e+00 7.974316724893318331e-02 2.293704360611199977e+00 7.350902392196466018e+00
3.299013357573918337e-01 1.092427707573952883e-02 2.615747205652152463e+00 7.290935047532626001e+00
6.168951594806249439e+00 1.183949728217731368e-01 2.054240121802195063e+00 7.602643319840239222e+00
4.682636423850907725e+00 5.443258590266802227e-02 2.266547191456966814e+00 8.122692882318585106e+00
6.138379792007854441e+00 9.617858040325323599e-02 2.167261760963857142e+00 7.535708906235115023e+00
2.060021864248495405e+01 4.309517306969447570e-01 2.072788547564938799e+00 7.557358460139454337e+00
6.477682483615605058e+00 1.249613410958510251e-01 2.041673423154322986e+00 6.900505267209554816e+00
5.975284018609677616e+00 1.326930269839096399e-01 2.051105524493493260e+00 8.473689194155175741e+00
4.563378050230086558e+01 9.196413384747514908e-01 2.196770902787140933e+00 6.938973148357118426e+00
6.176138330209702154e+00 1.243218988328760599e-01 2.074306207773156441e+00 8.169226087788512558e+00
