,background
11885.022274370189,0.041702812572403915
16788.040181225588,1.1119083435891932
23713.737056616552,8.674072142944858
33496.54391578279,21.84302284074733
47315.12589614803,10.955801669463618
66834.39175686149,7.347537166776391
94406.08762859226,5.26544291996958
133352.1432163324,2.9773834617093584
188364.9089489802,1.459063027507156
266072.50597988087,0.5603102120986989
375837.4042884443,0.22403982449216642
530884.4442309879,0.09536918673175165
749894.2093324559,0.03293914007943499
1059253.7251772897,0.012080021738832158
1496235.6560944328,0.003508232959447355
2113489.0398366475,0.0012578296959446789
2985382.618917957,0.0004289828695078768
4216965.034285823,0.000149167011088025
5956621.435290097,6.504389618555706e-05
8413951.416451948,1.320546229521824e-05
