,events
11885.022274370189,0
16788.040181225588,1
23713.737056616552,8
33496.54391578279,8
47315.12589614803,7
66834.39175686149,12
94406.08762859226,8
133352.1432163324,6
188364.9089489802,2
266072.50597988087,1
375837.4042884443,1
530884.4442309879,0
749894.2093324559,0
1059253.7251772897,0
1496235.6560944328,0
2113489.0398366475,0
2985382.618917957,0
4216965.034285823,1
5956621.435290097,0
8413951.416451948,0
