,events
11885.022274370189,0.038521213689845006
16788.040181225588,0.8085486151981158
23713.737056616552,2.876813298584603
33496.54391578279,5.508024246220104
47315.12589614803,3.7020464565852365
66834.39175686149,3.2341984570123437
94406.08762859226,2.333916081174088
133352.1432163324,1.3110240189462878
188364.9089489802,0.5912528331661235
266072.50597988087,0.24742542335042117
375837.4042884443,0.10371473536706333
530884.4442309879,0.0423803734318966
749894.2093324559,0.01511575299733181
1059253.7251772897,0.005610947896180107
1496235.6560944328,0.0015272777660122472
2113489.0398366475,0.0006008818546874295
2985382.618917957,0.00023630310705158308
4216965.034285823,8.836151254243418e-05
5956621.435290097,4.70763309650124e-05
8413951.416451948,9.24481744135619e-06
