,events
11885.022274370189,0
16788.040181225588,1
23713.737056616552,18
33496.54391578279,25
47315.12589614803,25
66834.39175686149,23
94406.08762859226,27
133352.1432163324,23
188364.9089489802,8
266072.50597988087,4
375837.4042884443,4
530884.4442309879,1
749894.2093324559,1
1059253.7251772897,2
1496235.6560944328,0
2113489.0398366475,1
2985382.618917957,0
4216965.034285823,1
5956621.435290097,0
8413951.416451948,0
