,events
11885.022274370189,0.0031815988825589095
16788.040181225588,0.2402821496202171
23713.737056616552,5.722030325616191
33496.54391578279,16.22956137993258
47315.12589614803,7.15860681441675
66834.39175686149,4.012860467079335
94406.08762859226,2.8175593599894455
133352.1432163324,1.6315587307439614
188364.9089489802,0.8315158061550392
266072.50597988087,0.3006696121705801
375837.4042884443,0.11379266348576067
530884.4442309879,0.050536000681340454
749894.2093324559,0.016830153822773752
1059253.7251772897,0.006181212572037964
1496235.6560944328,0.001834020903856981
2113489.0398366475,0.0006241947978082862
2985382.618917957,0.00018056228960006138
4216965.034285823,5.525007181006458e-05
5956621.435290097,1.6351954066351482e-05
8413951.416451948,3.826174861387699e-06
