,events
11885.022274370189,0
16788.040181225588,0
23713.737056616552,10
33496.54391578279,17
47315.12589614803,18
66834.39175686149,11
94406.08762859226,19
133352.1432163324,17
188364.9089489802,6
266072.50597988087,3
375837.4042884443,3
530884.4442309879,1
749894.2093324559,1
1059253.7251772897,2
1496235.6560944328,0
2113489.0398366475,1
2985382.618917957,0
4216965.034285823,0
5956621.435290097,0
8413951.416451948,0
