,events
11885.022274370189,0.0
16788.040181225588,0.06307757877086001
23713.737056616552,0.07522851874406364
33496.54391578279,0.10543721459462882
47315.12589614803,0.09514839846168888
66834.39175686149,0.1004782426848374
94406.08762859226,0.11396747880610225
133352.1432163324,0.03480071201907187
188364.9089489802,0.03629438818588271
266072.50597988087,0.012215176577879516
375837.4042884443,0.006532425639307227
530884.4442309879,0.002452812618343514
749894.2093324559,0.0009932332595203874
1059253.7251772897,0.00028786127064883704
1496235.6560944328,0.00014693428955059318
2113489.0398366475,3.275304344974028e-05
2985382.618917957,1.2117472897865689e-05
4216965.034285823,5.5554267340829355e-06
5956621.435290097,1.61561114864206e-06
8413951.416451948,1.3446997493282709e-07
