norm si1 si2 E_break
2.264375889112223206e+00 1.691985778305201915e+00 2.601906047967014857e+00 2.171412598607820473e+04
3.169416798168350535e+00 1.873407297831528151e+00 2.638669138804089265e+00 3.807460255709597550e+04
2.337097882693533801e+00 1.965432842476733555e+00 2.908679331936899537e+00 3.832700344261658756e+04
2.110082370002795304e+00 2.013484825235914766e+00 2.570740680330527717e+00 2.154471703594389692e+04
2.491282210813106079e+00 1.288689740110439352e+00 2.817561116026711332e+00 2.359268184661870691e+04
2.316201228850575333e+00 1.710681704206258535e+00 2.823647359305112570e+00 3.787032821457533282e+04
2.271170027277640724e+00 1.877732848088057072e+00 3.054298984817054752e+00 4.897031849464635161e+04
2.355930669606367100e+00 1.480843410452600040e+00 2.879605159209075893e+00 3.700909068472923536e+04
2.377749798692620598e+00 1.970645020842254347e+00 2.772993691009045580e+00 3.114923175518289281e+04
2.218001192423894263e+00 1.842086153921202119e+00 2.944612360784049088e+00 3.262718133253813721e+04
2.461895140128986803e+00 1.852500707743136799e+00 2.866518992439205604e+00 3.965593562755027233e+04
2.088379693825536343e+00 1.047965176212168892e+00 2.935167482492366808e+00 2.279011574823437331e+04
1.993535744326168535e+00 1.534527279682617706e+00 2.892523883852385680e+00 2.703698513654840281e+04
2.401199426183857621e+00 1.899413115398207896e+00 2.721872893244252190e+00 3.231913921027785545e+04
2.020969267987454021e+00 1.871654457330076182e+00 2.664189899378301973e+00 3.239799640339232792e+04
1.852697446281121207e+00 1.816391959477130946e+00 2.690163163615101105e+00 2.343443452778224309e+04
2.619297042251993890e+00 1.765222976522995868e+00 2.899040918844653536e+00 3.869610435363036959e+04
3.203018465713021179e+00 2.037574286413466496e+00 3.228080376094498494e+00 6.054144081081327022e+04
2.402229922557374664e+00 1.041515311643053554e+00 2.849896341571614755e+00 2.646850720375364108e+04
2.843715785619157721e+00 1.849030360956617436e+00 2.922142971863536332e+00 5.447682837257837673e+04
2.390513784545698073e+00 1.944383312799210506e+00 2.704946163486286359e+00 3.150373029132207375e+04
2.356720861320553695e+00 1.254261624994950086e+00 2.630632799316484416e+00 2.504547772837098091e+04
2.417190153839629208e+00 1.250123591167560111e+00 2.923620493134177600e+00 3.301046341767585545e+04
2.636697499599150341e+00 1.091009088829523188e+00 2.718772721145204407e+00 3.349025740721918555e+04
2.616238287434720977e+00 1.786923193889156103e+00 2.925396358446903378e+00 3.645029175501002464e+04
2.464329582794930307e+00 1.044807871177159120e+00 2.734580783084040512e+00 2.409923590016947492e+04
2.388857889468753548e+00 1.690393788029295630e+00 2.539928368650664403e+00 2.787458678479726586e+04
2.113981573268046255e+00 1.161867505689539781e+00 2.608970378245702548e+00 2.266677380991528844e+04
2.285769092408661329e+00 1.420742817029608362e+00 2.743433856008648419e+00 3.108854485348539311e+04
2.290658779049850491e+00 1.402873662587806880e+00 2.748801092914998634e+00 2.242149694445217028e+04
2.288625748662413084e+00 1.796958331755987182e+00 2.725498018166877312e+00 2.845775213639922731e+04
3.426058063531064235e+00 2.108847909781496277e+00 3.083821114954725662e+00 8.328616403151628037e+04
2.550348197038391440e+00 1.448101225836008421e+00 2.744020096059266223e+00 2.845865363484302725e+04
2.655518199565870763e+00 1.537038321513877648e+00 2.796801406456387085e+00 3.782327123302488326e+04
2.515010564643233248e+00 1.787284508284507023e+00 2.967853554122247051e+00 4.292174644040995190e+04
2.349368122545065773e+00 1.191745602053750464e+00 2.722232325006709974e+00 1.919853723218911546e+04
2.068205441142309198e+00 1.020326594949545029e+00 3.046886202945943367e+00 3.291796954949751671e+04
2.456162610761681631e+00 2.090682579676153008e+00 2.698464475037746446e+00 4.664597316147399397e+04
2.537514352908421866e+00 1.522344420020938838e+00 2.615951012709442747e+00 3.058559540953682517e+04
