energy,events
11220.18454301963,0.011988378888641175
12589.254117941662,0.03131705791579799
14125.375446227554,0.09242273164279705
15848.93192461114,0.2685919585766663
17782.794100389227,0.7550523127397706
19952.62314968879,1.7992456629394102
22387.21138568338,3.4493568178640044
25118.864315095823,5.71874315461621
28183.82931264455,9.224422556135448
31622.776601683792,11.567069141298784
35481.33892335753,10.48897663799459
39810.71705534969,9.75870198164209
44668.359215096345,8.854290025744739
50118.72336272725,8.088008197401791
56234.13251903491,8.259574866693598
63095.7344480193,8.769531414091219
70794.57843841374,9.272988989837728
79432.82347242821,9.617319121182106
89125.0938133746,9.576011797371152
100000.0,7.749029061670157
