,weights
100000.0,56.470456401819284
112201.84543019629,55.965304753331274
125892.54117941661,50.20193611638886
141253.75446227554,46.06146234387175
158489.3192461114,40.1457405272936
177827.94100389228,37.12356906512369
199526.2314968879,31.90642878475169
223872.11385683378,28.31963492933465
251188.6431509582,25.399759521922505
281838.2931264455,22.47069537457584
316227.7660168379,19.839500075996504
354813.3892335753,17.804866612076086
398107.1705534969,15.452216079758392
446683.5921509635,13.842105831096665
501187.2336272725,12.141395062931407
562341.3251903491,10.873429117637892
630957.344480193,9.52960094675934
707945.7843841374,8.18760152276775
794328.2347242822,7.415155632216076
891250.9381337459,6.629076090021571
1000000.0,5.597746516493871
1122018.4543019629,5.11201128537552
1258925.411794166,4.37326791774846
1412537.5446227554,4.082659578666658
1584893.1924611141,3.4057305144409953
1778279.410038923,3.178520320453786
1995262.3149688789,2.8575162695392606
2238721.138568338,2.355578165402805
2511886.4315095823,2.06937267949049
2818382.931264455,1.7651049762405806
3162277.6601683795,1.5045424189875163
3548133.892335753,1.4769963517846427
3981071.7055349695,1.2564722147854683
4466835.921509635,1.445065808166473
5011872.336272725,2.0899464791978697
5623413.251903491,3.6445452530379674
6309573.44480193,3.3054993445109115
7079457.843841373,1.318511241401734
7943282.347242822,0.8238406736477728
8912509.381337458,0.4005367769792081
