,weights
10000.0,0.008511128110991919
11220.18454301963,0.007700161151440795
12589.254117941662,0.0702752562076434
14125.375446227554,0.10929513089595906
15848.93192461114,0.3916738588135358
17782.794100389227,1.4063945742624355
19952.62314968879,4.044642962753246
22387.21138568338,3.0617319834810046
25118.864315095823,6.965403896463635
28183.82931264455,16.87674911405338
31622.776601683792,9.171922437502037
35481.33892335753,8.767040314015324
39810.71705534969,10.019367367531926
44668.359215096345,7.996448181549347
50118.72336272725,8.091826431046684
56234.13251903491,8.825057167091495
63095.7344480193,9.042368272456478
70794.57843841374,9.830664027835255
79432.82347242821,9.283880732721114
89125.0938133746,9.381688868304604
