,nu_e_CC,nu_e_NC,nu_e_GR,nu_mu_CC,nu_mu_NC,nu_mu_GR,nu_tau_CC,nu_tau_NC,nu_tau_GR
10592.537251772897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11885.022274370189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13335.21432163324,0.0006502339926260957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14962.35656094436,0.0016550299958049085,0.0,0.0,0.0,0.0,0.0,0.00016386538301005246,0.0,0.0
16788.040181225588,0.005214048978119189,0.0,0.0,0.0002306889441464569,0.0,0.0,0.0009095542641133162,0.0,0.0
18836.49089489802,0.02206614132591116,0.0,0.0,0.001209858628907234,0.0,0.0,0.0023976254679469013,0.00016000190846454188,0.0
21134.890398366475,0.04244589101602269,0.0005554363532880585,0.00013513868879856065,0.0031986894614833045,0.0009143606663086132,0.0,0.00814236122326028,0.0015367672847445832,0.0
23713.737056616552,0.09179379858093688,0.0018379175629432665,0.0,0.005061863311735942,0.0019023208658936052,0.0,0.015928473697165636,0.0005651943308080112,0.0
26607.25059798814,0.15589208286590944,0.0022881027644035697,0.0,0.010338759479979177,0.003568482590460479,0.0,0.04366226401472984,0.003249095283865963,0.0
29853.82618917957,0.2516055339007144,0.007032086201113232,0.0004319816035615075,0.024836061295745136,0.005872595583571242,0.0,0.07270477390719154,0.005700490422118157,0.0
33496.54391578279,0.3738958230203319,0.014457097657777444,0.0018676630121078073,0.03850008180817694,0.015581680667789144,0.0,0.11890274208178946,0.012238656450171732,0.0
37583.74042884443,0.5336961087576172,0.019558451702662093,0.00045009461601123313,0.06331936459949696,0.019054902358661644,0.0,0.20501342257254582,0.021326706007095308,0.0
42169.65034285822,0.7432926431588552,0.030678280958246627,0.0007072185757540222,0.10155340800698041,0.02811904199494195,0.0,0.30406857391985265,0.03762990884962335,0.0
47315.12589614812,1.0411070025053115,0.04616588268705303,0.005023007786766592,0.16702311349680343,0.04990150086916858,0.0,0.4646684709533459,0.04233715213654382,0.0
53088.444423098794,1.5367661124201122,0.07447589171788893,0.004791140921905154,0.22731802160620282,0.06377642809857138,0.0,0.6122722405840342,0.07562761630550956,0.0
59566.214352901094,2.0245956643674523,0.07915987312206635,0.011170620731790934,0.35357922207375914,0.09878827735343848,0.0,0.8702191268894363,0.09090753689253421,0.0
66834.39175686149,2.668019127824213,0.13971392230092725,0.019208282469209383,0.529766352467909,0.12450861886876115,0.0,1.2771244819853722,0.14853623932613974,0.0
74989.42093324558,3.2299866229779646,0.1991362068108029,0.011828100629867874,0.6971889044013329,0.19392923545931,0.0,1.5701008518628992,0.181149262216161,0.0
84139.51416451964,3.931398527869083,0.26836338870427195,0.021329019156114775,0.9560904836707734,0.2796295866944826,0.0,2.1558645763500417,0.27567075165370264,0.0
94406.08762859226,4.796487196613444,0.34273898566685346,0.024551106056394233,1.315935744359995,0.33445989705627693,0.0,2.678525016490049,0.2907995851716076,0.0
105925.37251772897,5.7530446624541,0.43850015689803484,0.03506370118595456,1.6314578718695072,0.40044769090692395,0.0,3.3819641927778443,0.4338551652027289,0.0
118850.22274370189,6.419837228158185,0.5422059888420007,0.03649640553866716,2.0078025840769564,0.4844497762012509,0.0,4.070260673866393,0.5397674119820234,0.0
133352.1432163324,7.460281425027775,0.6142304868943667,0.056515860397175745,2.475619864914416,0.6662831636749302,0.0,4.879500455549712,0.682948352405213,0.0
149623.56560944358,8.154324075121455,0.7518962509305839,0.05033207022294632,3.2035728478472447,0.8322451720202642,0.0,5.522563965057295,0.8101185677228203,0.0
167880.4018122559,8.739656520841496,0.9962430667861665,0.08327721852250881,3.7752299615661387,0.9088902369718395,0.0,6.84784479114481,0.9372624447264271,0.0
188364.9089489802,9.526029600741001,1.089810092223427,0.03195375393273441,4.60994688410253,1.1492567798504127,0.0,7.399677746125689,1.0205566946594868,0.0
211348.90398366476,10.077780941566104,1.2624976348218129,0.11258483676064789,5.260597664527561,1.2912604469559075,0.0,8.297504338696573,1.2784442076999873,0.0
237137.37056616554,10.91889411498397,1.5169403787473332,0.09187176518191272,6.423813289838596,1.4664990838631071,0.0,9.139838537631212,1.570935132289598,0.0
266072.5059798814,11.79958999620637,1.5867945532351986,0.08974115478831492,7.110512644761588,1.6300350021490813,0.0,9.871674172327648,1.8356926625339391,0.0
298538.26189179573,12.802835536524713,1.9150638067406294,0.13698382692305744,8.024879913847887,2.015279983851168,0.0,11.252887566395227,2.1749054571123905,0.0
334965.43915782793,13.05311123979391,2.2220428541926376,0.11865738593049344,8.751140044837609,2.1185960350853135,0.0,12.219809269045006,2.1949433345055533,0.0
375837.4042884443,14.215318090853392,2.5726055107945327,0.16573710051036333,10.037414251891922,2.3761282131940367,0.0,12.762182531461288,2.3803845804749306,0.0
421696.5034285823,14.942672212838582,2.792413217122139,0.22430571615175526,10.780315141640264,2.814900871702664,0.0,14.461752023345309,3.111315715153329,0.0
